,Opponent,z_score,Av_GW_Points,Position,Difficulty
23,LIV (H),-0.22,3.05,FWD,5
24,MCI (A),-0.22,3.03,FWD,5
25,MCI (H),-0.14,3.32,FWD,4
26,MUN (A),-0.05,3.62,FWD,3
27,MUN (H),-0.15,3.26,FWD,4
28,NEW (A),-0.15,3.27,FWD,4
29,NEW (H),-0.05,3.61,FWD,3
30,NFO (A),-0.17,3.2,FWD,4
31,NFO (H),0.09,4.08,FWD,2
32,SOU (A),0.15,4.31,FWD,2
33,SOU (H),0.44,5.27,FWD,1
34,TOT (A),-0.17,3.22,FWD,4
35,TOT (H),-0.07,3.56,FWD,3
36,WHU (A),0.26,4.68,FWD,1
37,WHU (H),0.14,4.26,FWD,2
38,WOL (A),0.25,4.63,FWD,1
39,WOL (H),0.3,4.81,FWD,1
