,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,vs Arsenal,48.5,12,132,1080,12,12,9,21,11,1,1,33,0,12.3,11.5,8.4,19.9,249,368,1,0.75,1.75,0.92,1.67,1.02,0.7,1.72,0.96,1.65
1,vs Aston Villa,47.8,12,132,1080,12,19,13,32,18,1,2,40,1,14.6,13,10.3,23.3,207,377,1.58,1.08,2.67,1.5,2.58,1.21,0.86,2.07,1.08,1.94
2,vs Bournemouth,54.8,12,132,1080,12,17,13,30,17,0,0,38,2,15.3,15.3,12.1,27.5,217,423,1.42,1.08,2.5,1.42,2.5,1.28,1.01,2.29,1.28,2.29
3,vs Brentford,53.4,12,132,1080,12,21,18,39,21,0,0,31,1,20.5,20.5,15.7,36.2,280,556,1.75,1.5,3.25,1.75,3.25,1.71,1.31,3.01,1.71,3.01
4,vs Brighton,46.9,12,132,1080,12,16,11,27,14,2,2,33,3,20,18.4,16.5,34.9,203,415,1.33,0.92,2.25,1.17,2.08,1.67,1.38,3.04,1.54,2.91
5,vs Chelsea,44.8,12,132,1080,12,14,8,22,11,3,4,41,1,16.2,13,10,23,203,414,1.17,0.67,1.83,0.92,1.58,1.35,0.83,2.18,1.08,1.92
6,vs Crystal Palace,55.6,12,132,1080,12,17,13,30,17,0,1,26,0,19.2,18.4,15,33.3,224,521,1.42,1.08,2.5,1.42,2.5,1.6,1.25,2.84,1.53,2.78
7,vs Everton,59.1,12,132,1080,12,17,14,31,17,0,1,12,1,17.1,16.3,13.7,29.9,212,510,1.42,1.17,2.58,1.42,2.58,1.42,1.14,2.56,1.36,2.5
8,vs Fulham,46,12,132,1080,12,16,15,31,16,0,0,21,2,14,14,11.2,25.2,183,412,1.33,1.25,2.58,1.33,2.58,1.17,0.94,2.1,1.17,2.1
9,vs Ipswich Town,59.3,12,132,1080,12,23,14,37,21,2,2,19,0,25,23.4,18.1,41.5,257,494,1.92,1.17,3.08,1.75,2.92,2.08,1.51,3.59,1.95,3.46
10,vs Leicester City,53.2,12,132,1080,12,21,15,36,20,1,1,30,2,22.8,22,15.5,37.4,237,577,1.75,1.25,3,1.67,2.92,1.9,1.29,3.19,1.83,3.12
11,vs Liverpool,42.4,12,132,1080,12,8,6,14,8,0,1,36,0,10.6,9.6,7.9,17.5,180,374,0.67,0.5,1.17,0.67,1.17,0.88,0.66,1.54,0.8,1.46
12,vs Manchester City,36.6,12,132,1080,12,16,13,29,15,1,1,33,1,15.6,14.8,12.8,27.5,164,252,1.33,1.08,2.42,1.25,2.33,1.3,1.06,2.36,1.23,2.29
13,vs Manchester Utd,47.2,12,132,1080,12,13,10,23,12,1,2,23,1,18.3,16.8,14.1,30.8,220,399,1.08,0.83,1.92,1,1.83,1.53,1.17,2.7,1.4,2.57
14,vs Newcastle Utd,50.7,12,132,1080,12,12,12,24,12,0,0,37,0,15.5,15.5,12.7,28.2,242,433,1,1,2,1,2,1.29,1.06,2.35,1.29,2.35
15,vs Nott'ham Forest,58.6,12,132,1080,12,13,9,22,12,1,1,43,1,12.3,11.5,9.1,20.7,310,610,1.08,0.75,1.83,1,1.75,1.03,0.76,1.79,0.96,1.72
16,vs Southampton,44.9,12,132,1080,12,24,16,40,22,2,2,28,1,25.5,24.1,20.5,44.6,246,494,2,1.33,3.33,1.83,3.17,2.13,1.71,3.84,2.01,3.72
17,vs Tottenham,40.2,12,132,1080,12,13,8,21,13,0,0,32,2,15.1,15.1,11.7,26.8,167,342,1.08,0.67,1.75,1.08,1.75,1.26,0.97,2.23,1.26,2.23
18,vs West Ham,54.3,12,132,1080,12,18,16,34,18,0,0,18,0,20.1,20.1,17.3,37.5,257,515,1.5,1.33,2.83,1.5,2.83,1.68,1.44,3.12,1.68,3.12
19,vs Wolves,55.8,12,132,1080,12,28,23,51,26,2,2,32,0,20.8,19.2,15.9,35.1,299,591,2.33,1.92,4.25,2.17,4.08,1.73,1.32,3.05,1.6,2.92
