,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,vs Arsenal,50.9,8,88,720,8.0,8,5,13,7,1,1,21,0,9.1,8.3,5.7,14.0,194,265,1.0,0.62,1.62,0.87,1.5,1.13,0.71,1.84,1.03,1.74
1,vs Aston Villa,48.4,8,88,720,8.0,10,6,16,9,1,2,30,1,8.5,7.0,5.6,12.5,129,235,1.25,0.75,2.0,1.13,1.87,1.07,0.69,1.76,0.87,1.56
2,vs Bournemouth,55.1,8,88,720,8.0,10,8,18,10,0,0,24,1,9.6,9.6,7.9,17.5,142,275,1.25,1.0,2.25,1.25,2.25,1.2,0.99,2.19,1.2,2.19
3,vs Brentford,53.8,8,88,720,8.0,14,12,26,14,0,0,22,0,14.1,14.1,11.4,25.5,180,370,1.75,1.5,3.25,1.75,3.25,1.77,1.42,3.19,1.77,3.19
4,vs Brighton,43.8,8,88,720,8.0,10,7,17,8,2,2,24,3,13.3,11.7,10.5,22.2,123,238,1.25,0.87,2.12,1.0,1.87,1.66,1.31,2.98,1.46,2.78
5,vs Chelsea,44.3,8,88,720,8.0,10,6,16,9,1,2,26,1,9.7,8.2,6.1,14.3,154,290,1.25,0.75,2.0,1.13,1.87,1.22,0.76,1.98,1.02,1.78
6,vs Crystal Palace,51.4,8,88,720,8.0,11,7,18,11,0,0,17,0,12.0,12.0,9.3,21.3,136,310,1.37,0.87,2.25,1.37,2.25,1.5,1.17,2.66,1.5,2.66
7,vs Everton,61.8,8,88,720,8.0,15,12,27,15,0,1,7,0,13.2,12.4,10.0,22.4,156,375,1.87,1.5,3.38,1.87,3.38,1.65,1.25,2.9,1.55,2.8
8,vs Fulham,50.4,8,88,720,8.0,10,9,19,10,0,0,18,1,9.8,9.8,7.7,17.4,140,293,1.25,1.13,2.37,1.25,2.37,1.22,0.96,2.18,1.22,2.18
9,vs Ipswich Town,57.9,8,88,720,8.0,16,9,25,15,1,1,16,0,17.1,16.3,11.8,28.0,168,312,2.0,1.13,3.12,1.87,3.0,2.13,1.47,3.6,2.03,3.5
10,vs Leicester City,55.8,8,88,720,8.0,13,10,23,12,1,1,18,1,16.6,15.8,12.0,27.8,164,418,1.62,1.25,2.87,1.5,2.75,2.08,1.5,3.57,1.98,3.47
11,vs Liverpool,42.1,8,88,720,8.0,3,2,5,3,0,0,27,0,6.1,6.1,5.0,11.1,116,245,0.37,0.25,0.62,0.37,0.62,0.77,0.63,1.39,0.77,1.39
12,vs Manchester City,34.8,8,88,720,8.0,8,6,14,7,1,1,23,1,8.5,7.7,6.9,14.7,99,163,1.0,0.75,1.75,0.87,1.62,1.07,0.87,1.93,0.97,1.83
13,vs Manchester Utd,47.6,8,88,720,8.0,9,8,17,9,0,1,15,1,12.2,11.4,9.7,21.1,161,267,1.13,1.0,2.12,1.13,2.12,1.52,1.21,2.73,1.42,2.63
14,vs Newcastle Utd,50.5,8,88,720,8.0,7,7,14,7,0,0,26,0,11.4,11.4,9.0,20.4,165,286,0.87,0.87,1.75,0.87,1.75,1.43,1.12,2.55,1.43,2.55
15,vs Nott'ham Forest,58.8,8,88,720,8.0,6,3,9,5,1,1,30,0,8.8,8.0,6.1,14.0,206,414,0.75,0.37,1.13,0.62,1.0,1.1,0.76,1.85,1.0,1.76
16,vs Southampton,44.5,8,88,720,8.0,18,12,30,17,1,1,20,1,16.7,16.1,13.7,29.7,158,322,2.25,1.5,3.75,2.12,3.62,2.09,1.71,3.8,2.01,3.72
17,vs Tottenham,38.4,8,88,720,8.0,9,6,15,9,0,0,19,2,8.8,8.8,7.4,16.3,94,200,1.13,0.75,1.87,1.13,1.87,1.1,0.93,2.03,1.1,2.03
18,vs West Ham,54.5,8,88,720,8.0,14,13,27,14,0,0,13,0,12.9,12.9,11.6,24.5,185,344,1.75,1.62,3.38,1.75,3.38,1.61,1.44,3.06,1.61,3.06
19,vs Wolves,55.6,8,88,720,8.0,23,19,42,21,2,2,20,0,15.4,13.9,11.6,25.5,220,401,2.87,2.37,5.25,2.62,5.0,1.93,1.45,3.38,1.73,3.18
