,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,vs Arsenal,43.7,28,308,2520,28.0,24,17,41,22,2,2,65,1,24.4,22.8,16.9,39.7,478,712,0.86,0.61,1.46,0.79,1.39,0.87,0.6,1.47,0.81,1.42
1,vs Aston Villa,48.6,29,319,2610,29.0,45,32,77,44,1,2,78,2,40.0,38.5,29.2,67.7,501,965,1.55,1.1,2.66,1.52,2.62,1.38,1.01,2.39,1.33,2.33
2,vs Bournemouth,53.4,28,308,2520,28.0,34,25,59,30,4,4,73,2,37.9,34.8,28.1,62.8,521,980,1.21,0.89,2.11,1.07,1.96,1.35,1.0,2.36,1.24,2.24
3,vs Brentford,51.6,28,308,2520,28.0,42,32,74,41,1,1,58,2,43.6,42.8,33.2,76.0,634,1194,1.5,1.14,2.64,1.46,2.61,1.56,1.19,2.74,1.53,2.71
4,vs Brighton,47.8,28,308,2520,28.0,38,24,62,32,6,6,70,3,39.3,34.6,30.1,64.7,435,903,1.36,0.86,2.21,1.14,2.0,1.4,1.07,2.48,1.24,2.31
5,vs Chelsea,41.9,28,308,2520,28.0,36,26,62,31,5,6,72,2,38.8,34.0,28.5,62.6,440,847,1.29,0.93,2.21,1.11,2.04,1.38,1.02,2.4,1.22,2.23
6,vs Crystal Palace,56.1,28,308,2520,28.0,31,24,55,30,1,2,57,2,35.4,33.8,27.3,61.1,497,1126,1.11,0.86,1.96,1.07,1.93,1.26,0.98,2.24,1.21,2.18
7,vs Everton,59.7,28,308,2520,28.0,35,27,62,35,0,2,34,2,34.8,33.1,26.4,59.6,518,1211,1.25,0.96,2.21,1.25,2.21,1.24,0.94,2.19,1.18,2.13
8,vs Fulham,47.5,28,308,2520,28.0,36,29,65,34,2,2,55,3,32.1,30.5,23.9,54.4,445,1003,1.29,1.04,2.32,1.21,2.25,1.15,0.85,2.0,1.09,1.94
9,vs Ipswich Town,59.0,28,308,2520,28.0,57,36,93,52,5,5,48,2,55.9,51.9,40.5,92.5,591,1199,2.04,1.29,3.32,1.86,3.14,2.0,1.45,3.44,1.86,3.3
10,vs Leicester City,54.3,28,308,2520,28.0,59,45,104,58,1,2,46,2,52.5,50.9,39.9,90.9,536,1349,2.11,1.61,3.71,2.07,3.68,1.88,1.43,3.3,1.82,3.24
11,vs Liverpool,42.9,29,319,2610,29.0,27,21,48,27,0,1,69,1,25.1,24.2,19.1,43.3,510,877,0.93,0.72,1.66,0.93,1.66,0.87,0.66,1.53,0.83,1.49
12,vs Manchester City,39.3,28,308,2520,28.0,37,30,67,34,3,3,61,1,37.4,35.0,30.1,65.1,434,690,1.32,1.07,2.39,1.21,2.29,1.33,1.08,2.41,1.25,2.33
13,vs Manchester Utd,47.1,28,308,2520,28.0,39,26,65,36,3,4,55,1,43.2,40.2,30.3,70.5,514,907,1.39,0.93,2.32,1.29,2.21,1.54,1.08,2.63,1.43,2.52
14,vs Newcastle Utd,49.7,28,308,2520,28.0,37,34,71,37,0,0,73,1,35.4,35.4,28.5,63.9,520,1012,1.32,1.21,2.54,1.32,2.54,1.26,1.02,2.28,1.26,2.28
15,vs Nott'ham Forest,60.2,28,308,2520,28.0,33,25,58,31,2,2,75,2,33.6,32.0,23.7,55.7,751,1490,1.18,0.89,2.07,1.11,2.0,1.2,0.85,2.05,1.14,1.99
16,vs Southampton,49.9,28,308,2520,28.0,68,47,115,62,6,6,46,1,67.2,62.8,49.8,112.5,594,1149,2.43,1.68,4.11,2.21,3.89,2.4,1.78,4.18,2.24,4.02
17,vs Tottenham,42.7,28,308,2520,28.0,39,28,67,37,2,2,67,3,47.4,45.8,34.8,80.6,487,919,1.39,1.0,2.39,1.32,2.32,1.69,1.24,2.94,1.64,2.88
18,vs West Ham,53.0,28,308,2520,28.0,45,35,80,42,3,3,41,1,46.2,43.9,37.2,81.1,642,1255,1.61,1.25,2.86,1.5,2.75,1.65,1.33,2.98,1.57,2.89
19,vs Wolves,51.9,28,308,2520,28.0,54,39,93,48,6,7,69,3,44.9,39.4,32.5,71.9,581,1140,1.93,1.39,3.32,1.71,3.11,1.6,1.16,2.76,1.41,2.57
