,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,vs Arsenal,47.9,14,154,1260,14.0,14,10,24,13,1,1,40,0,14.0,13.2,9.2,22.4,272,413,1.0,0.71,1.71,0.93,1.64,1.0,0.66,1.66,0.94,1.6
1,vs Aston Villa,49.2,14,154,1260,14.0,23,15,38,22,1,2,44,1,17.1,15.5,11.8,27.3,248,453,1.64,1.07,2.71,1.57,2.64,1.22,0.84,2.06,1.11,1.95
2,vs Bournemouth,55.9,14,154,1260,14.0,19,15,34,19,0,0,45,2,16.7,16.7,13.1,29.8,267,519,1.36,1.07,2.43,1.36,2.43,1.19,0.94,2.13,1.19,2.13
3,vs Brentford,52.1,14,154,1260,14.0,25,20,45,24,1,1,34,1,23.9,23.1,17.9,41.0,318,613,1.79,1.43,3.21,1.71,3.14,1.71,1.28,2.98,1.65,2.93
4,vs Brighton,46.6,14,154,1260,14.0,19,12,31,17,2,2,39,3,22.0,20.5,17.7,38.2,230,472,1.36,0.86,2.21,1.21,2.07,1.57,1.27,2.84,1.46,2.73
5,vs Chelsea,44.2,14,154,1260,14.0,15,9,24,12,3,4,44,2,18.9,15.8,12.5,28.3,228,462,1.07,0.64,1.71,0.86,1.5,1.35,0.89,2.24,1.13,2.02
6,vs Crystal Palace,55.1,14,154,1260,14.0,17,13,30,17,0,1,31,0,19.7,18.9,15.4,34.3,249,571,1.21,0.93,2.14,1.21,2.14,1.41,1.1,2.51,1.35,2.45
7,vs Everton,58.9,14,154,1260,14.0,21,18,39,21,0,1,14,1,18.9,18.1,15.4,33.5,247,571,1.5,1.29,2.79,1.5,2.79,1.35,1.1,2.45,1.29,2.4
8,vs Fulham,47.1,14,154,1260,14.0,18,17,35,18,0,0,23,2,16.2,16.2,12.6,28.8,222,490,1.29,1.21,2.5,1.29,2.5,1.16,0.9,2.06,1.16,2.06
9,vs Ipswich Town,57.3,14,154,1260,14.0,25,15,40,22,3,3,24,0,28.2,25.9,20.3,46.2,290,560,1.79,1.07,2.86,1.57,2.64,2.02,1.45,3.47,1.85,3.3
10,vs Leicester City,54.2,14,154,1260,14.0,26,19,45,25,1,1,33,2,28.2,27.4,20.2,47.6,276,704,1.86,1.36,3.21,1.79,3.14,2.01,1.44,3.46,1.96,3.4
11,vs Liverpool,43.4,14,154,1260,14.0,11,9,20,11,0,1,41,0,13.5,12.6,9.9,22.4,220,438,0.79,0.64,1.43,0.79,1.43,0.96,0.7,1.67,0.9,1.6
12,vs Manchester City,36.9,14,154,1260,14.0,18,14,32,16,2,2,38,1,20.0,18.4,15.4,33.9,206,306,1.29,1.0,2.29,1.14,2.14,1.43,1.1,2.53,1.32,2.42
13,vs Manchester Utd,46.9,14,154,1260,14.0,15,12,27,14,1,2,27,1,21.0,19.5,16.3,35.8,249,456,1.07,0.86,1.93,1.0,1.86,1.5,1.16,2.66,1.39,2.55
14,vs Newcastle Utd,51.1,14,154,1260,14.0,16,16,32,16,0,0,45,0,19.2,19.2,15.3,34.5,272,513,1.14,1.14,2.29,1.14,2.29,1.37,1.09,2.46,1.37,2.46
15,vs Nott'ham Forest,58.9,14,154,1260,14.0,16,12,28,15,1,1,48,1,15.3,14.5,11.9,26.4,368,695,1.14,0.86,2.0,1.07,1.93,1.09,0.85,1.94,1.03,1.89
16,vs Southampton,46.2,14,154,1260,14.0,30,22,52,28,2,2,30,1,32.4,31.0,25.1,56.1,293,595,2.14,1.57,3.71,2.0,3.57,2.31,1.8,4.11,2.21,4.01
17,vs Tottenham,40.4,14,154,1260,14.0,15,10,25,15,0,0,35,3,20.1,20.1,15.0,35.2,208,420,1.07,0.71,1.79,1.07,1.79,1.44,1.07,2.51,1.44,2.51
18,vs West Ham,53.6,14,154,1260,14.0,26,22,48,24,2,2,21,0,25.3,23.8,20.8,44.6,305,589,1.86,1.57,3.43,1.71,3.29,1.81,1.49,3.29,1.7,3.18
19,vs Wolves,53.8,14,154,1260,14.0,34,24,58,29,5,5,35,0,25.1,21.2,17.3,38.5,322,645,2.43,1.71,4.14,2.07,3.79,1.79,1.24,3.03,1.51,2.75
