,Team,Per 90 MinutesxG+xAG,PerformanceG+A
0,vs Arsenal,1.85,8
1,vs Aston Villa,1.76,14
2,vs Bournemouth,2.48,16
3,vs Brentford,3.48,16
4,vs Brighton,2.94,13
5,vs Chelsea,1.92,11
6,vs Crystal Palace,2.61,15
7,vs Everton,2.96,27
8,vs Fulham,1.92,10
9,vs Ipswich Town,3.42,17
10,vs Leicester City,3.48,20
11,vs Liverpool,1.37,3
12,vs Manchester City,1.46,8
13,vs Manchester Utd,3.24,15
14,vs Newcastle Utd,2.94,12
15,vs Nott'ham Forest,1.38,7
16,vs Southampton,3.32,20
17,vs Tottenham,2.02,10
18,vs West Ham,3.29,20
19,vs Wolves,2.91,30
