,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,vs Arsenal,49.9,10,110,900,10.0,11,8,19,10,1,1,27,0,10.4,9.6,6.8,16.4,213,317,1.1,0.8,1.9,1.0,1.8,1.04,0.68,1.72,0.96,1.64
1,vs Aston Villa,48.1,10,110,900,10.0,15,10,25,14,1,2,38,1,11.3,9.7,8.0,17.7,170,314,1.5,1.0,2.5,1.4,2.4,1.13,0.8,1.93,0.97,1.77
2,vs Bournemouth,56.2,10,110,900,10.0,12,10,22,12,0,0,32,1,12.9,12.9,10.2,23.1,191,359,1.2,1.0,2.2,1.2,2.2,1.29,1.02,2.31,1.29,2.31
3,vs Brentford,53.3,10,110,900,10.0,19,17,36,19,0,0,27,1,16.7,16.7,13.1,29.9,228,463,1.9,1.7,3.6,1.9,3.6,1.67,1.31,2.99,1.67,2.99
4,vs Brighton,44.8,10,110,900,10.0,14,10,24,12,2,2,28,3,16.2,14.7,13.1,27.8,156,307,1.4,1.0,2.4,1.2,2.2,1.62,1.31,2.94,1.47,2.78
5,vs Chelsea,45.0,10,110,900,10.0,12,7,19,10,2,3,35,1,13.5,11.2,8.5,19.6,178,357,1.2,0.7,1.9,1.0,1.7,1.35,0.85,2.2,1.12,1.96
6,vs Crystal Palace,53.4,10,110,900,10.0,13,9,22,13,0,0,22,0,14.3,14.3,11.3,25.7,171,404,1.3,0.9,2.2,1.3,2.2,1.43,1.13,2.57,1.43,2.57
7,vs Everton,61.9,10,110,900,10.0,17,14,31,17,0,1,11,0,15.2,14.4,11.9,26.3,187,461,1.7,1.4,3.1,1.7,3.1,1.52,1.19,2.71,1.44,2.63
8,vs Fulham,47.5,10,110,900,10.0,12,11,23,12,0,0,20,1,11.2,11.2,9.0,20.1,156,362,1.2,1.1,2.3,1.2,2.3,1.12,0.9,2.01,1.12,2.01
9,vs Ipswich Town,58.5,10,110,900,10.0,21,12,33,19,2,2,18,0,22.6,21.0,16.1,37.2,211,413,2.1,1.2,3.3,1.9,3.1,2.26,1.61,3.87,2.1,3.72
10,vs Leicester City,52.4,10,110,900,10.0,17,12,29,16,1,1,27,2,19.3,18.5,13.6,32.1,196,472,1.7,1.2,2.9,1.6,2.8,1.93,1.36,3.29,1.85,3.21
11,vs Liverpool,43.3,10,110,900,10.0,6,5,11,6,0,0,30,0,8.0,8.0,6.7,14.7,154,326,0.6,0.5,1.1,0.6,1.1,0.8,0.67,1.47,0.8,1.47
12,vs Manchester City,35.7,10,110,900,10.0,10,8,18,9,1,1,28,1,10.8,10.0,8.4,18.4,133,210,1.0,0.8,1.8,0.9,1.7,1.08,0.84,1.92,1.0,1.84
13,vs Manchester Utd,47.7,10,110,900,10.0,12,9,21,11,1,2,22,1,16.1,14.6,12.6,27.2,198,340,1.2,0.9,2.1,1.1,2.0,1.61,1.26,2.87,1.46,2.72
14,vs Newcastle Utd,51.7,10,110,900,10.0,9,9,18,9,0,0,36,0,14.1,14.1,11.6,25.6,202,374,0.9,0.9,1.8,0.9,1.8,1.41,1.16,2.56,1.41,2.56
15,vs Nott'ham Forest,58.1,10,110,900,10.0,7,4,11,6,1,1,39,1,9.5,8.7,6.7,15.4,258,490,0.7,0.4,1.1,0.6,1.0,0.95,0.67,1.62,0.87,1.54
16,vs Southampton,44.8,10,110,900,10.0,19,13,32,18,1,1,23,1,21.2,20.5,17.9,38.4,213,411,1.9,1.3,3.2,1.8,3.1,2.12,1.79,3.91,2.05,3.84
17,vs Tottenham,39.0,10,110,900,10.0,11,7,18,11,0,0,23,2,11.4,11.4,9.1,20.5,122,257,1.1,0.7,1.8,1.1,1.8,1.14,0.91,2.05,1.14,2.05
18,vs West Ham,54.8,10,110,900,10.0,18,16,34,18,0,0,15,0,17.4,17.4,15.3,32.7,225,436,1.8,1.6,3.4,1.8,3.4,1.74,1.53,3.27,1.74,3.27
19,vs Wolves,53.9,10,110,900,10.0,27,22,49,25,2,2,25,0,19.1,17.5,14.5,32.0,258,482,2.7,2.2,4.9,2.5,4.7,1.91,1.45,3.36,1.75,3.2
