,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,vs Arsenal,45.0,21,231,1890,21.0,19,13,32,17,2,2,54,0,18.6,17.0,12.3,29.3,370,557,0.9,0.62,1.52,0.81,1.43,0.89,0.58,1.47,0.81,1.39
1,vs Aston Villa,49.6,21,231,1890,21.0,32,21,53,31,1,2,58,1,25.5,24.0,18.1,42.1,379,712,1.52,1.0,2.52,1.48,2.48,1.22,0.86,2.08,1.14,2.0
2,vs Bournemouth,54.0,21,231,1890,21.0,25,19,44,24,1,1,57,2,27.0,26.2,21.1,47.3,377,736,1.19,0.9,2.1,1.14,2.05,1.28,1.0,2.29,1.25,2.25
3,vs Brentford,52.2,21,231,1890,21.0,36,26,62,35,1,1,44,2,34.1,33.3,25.5,58.8,492,934,1.71,1.24,2.95,1.67,2.9,1.62,1.21,2.84,1.59,2.8
4,vs Brighton,47.4,21,231,1890,21.0,28,18,46,25,3,3,55,3,30.8,28.4,24.4,52.8,327,676,1.33,0.86,2.19,1.19,2.05,1.46,1.16,2.63,1.35,2.51
5,vs Chelsea,41.9,21,231,1890,21.0,26,18,44,21,5,6,62,2,29.9,25.2,21.1,46.3,324,644,1.24,0.86,2.1,1.0,1.86,1.43,1.01,2.43,1.2,2.21
6,vs Crystal Palace,56.4,21,231,1890,21.0,26,21,47,26,0,1,43,1,29.8,29.0,23.9,52.9,398,866,1.24,1.0,2.24,1.24,2.24,1.42,1.14,2.56,1.38,2.52
7,vs Everton,59.3,20,220,1800,20.0,26,23,49,26,0,2,20,1,27.8,26.2,21.8,48.0,371,852,1.3,1.15,2.45,1.3,2.45,1.39,1.09,2.48,1.31,2.4
8,vs Fulham,47.4,21,231,1890,21.0,29,25,54,28,1,1,43,3,25.9,25.1,19.9,45.0,332,748,1.38,1.19,2.57,1.33,2.52,1.23,0.95,2.18,1.2,2.14
9,vs Ipswich Town,59.0,21,231,1890,21.0,37,22,59,32,5,5,35,1,42.0,38.1,30.5,68.6,441,888,1.76,1.05,2.81,1.52,2.57,2.0,1.45,3.45,1.81,3.27
10,vs Leicester City,53.6,21,231,1890,21.0,44,33,77,43,1,1,42,2,41.1,40.3,30.7,71.0,402,1027,2.1,1.57,3.67,2.05,3.62,1.96,1.46,3.42,1.92,3.38
11,vs Liverpool,42.7,20,220,1800,20.0,20,16,36,20,0,1,54,0,18.0,17.1,13.7,30.8,328,599,1.0,0.8,1.8,1.0,1.8,0.9,0.69,1.59,0.86,1.54
12,vs Manchester City,38.9,21,231,1890,21.0,28,22,50,25,3,3,50,1,30.8,28.5,24.0,52.4,328,504,1.33,1.05,2.38,1.19,2.24,1.47,1.14,2.61,1.35,2.5
13,vs Manchester Utd,46.2,21,231,1890,21.0,28,20,48,25,3,4,41,1,31.3,28.2,22.8,51.0,361,657,1.33,0.95,2.29,1.19,2.14,1.49,1.09,2.58,1.34,2.43
14,vs Newcastle Utd,48.9,21,231,1890,21.0,21,20,41,21,0,0,58,1,25.1,25.1,19.9,45.0,381,752,1.0,0.95,1.95,1.0,1.95,1.19,0.95,2.14,1.19,2.14
15,vs Nott'ham Forest,60.6,21,231,1890,21.0,20,15,35,19,1,1,62,2,23.2,22.4,17.4,39.9,552,1156,0.95,0.71,1.67,0.9,1.62,1.11,0.83,1.94,1.07,1.9
16,vs Southampton,48.1,21,231,1890,21.0,47,31,78,44,3,3,40,1,49.1,46.9,37.1,84.0,442,834,2.24,1.48,3.71,2.1,3.57,2.34,1.77,4.1,2.23,4.0
17,vs Tottenham,42.7,21,231,1890,21.0,31,20,51,29,2,2,53,3,35.1,33.5,25.5,58.9,348,686,1.48,0.95,2.43,1.38,2.33,1.67,1.21,2.88,1.59,2.81
18,vs West Ham,53.4,21,231,1890,21.0,39,32,71,37,2,2,33,0,37.8,36.2,31.3,67.6,467,928,1.86,1.52,3.38,1.76,3.29,1.8,1.49,3.29,1.73,3.22
19,vs Wolves,52.6,21,231,1890,21.0,45,34,79,40,5,6,51,1,34.9,30.2,25.3,55.5,460,890,2.14,1.62,3.76,1.9,3.52,1.66,1.21,2.87,1.44,2.64
