Unnamed: 0,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,vs Arsenal,44.8,1,253,2070,23.0,0,0,36,19,2,2,59,1,0.8,18.8,0.6,32.6,398,606,0.91,0.65,1.57,0.83,1.48,0.89,0.6,1.49,0.82,1.42
1,vs Aston Villa,50.5,1,253,2070,23.0,1,1,59,34,1,2,63,1,1.3,26.6,0.9,46.5,413,815,1.52,1.04,2.57,1.48,2.52,1.22,0.86,2.09,1.16,2.02
2,vs Bournemouth,53.9,1,253,2070,23.0,0,0,46,25,1,1,61,2,0.9,27.9,0.8,50.2,420,822,1.13,0.87,2.0,1.09,1.96,1.25,0.97,2.22,1.21,2.18
3,vs Brentford,52.3,1,253,2070,23.0,1,1,68,38,1,1,49,2,1.1,37.8,0.7,67.2,528,1038,1.7,1.26,2.96,1.65,2.91,1.68,1.28,2.96,1.64,2.92
4,vs Brighton,46.9,1,253,2070,23.0,1,0,48,25,5,5,62,3,0.9,29.1,0.1,54.2,351,728,1.3,0.78,2.09,1.09,1.87,1.44,1.09,2.53,1.27,2.36
5,vs Chelsea,42.3,1,253,2070,23.0,3,3,51,25,5,6,67,2,2.2,28.3,2.0,51.8,357,705,1.3,0.91,2.22,1.09,2.0,1.43,1.02,2.46,1.23,2.25
6,vs Crystal Palace,56.1,1,253,2070,23.0,2,1,50,27,1,2,48,2,1.2,29.7,0.4,54.2,425,919,1.22,0.96,2.17,1.17,2.13,1.36,1.06,2.43,1.29,2.36
7,vs Everton,60.0,1,242,1980,22.0,0,0,52,28,0,2,25,1,0.7,28.0,0.4,50.8,424,966,1.27,1.09,2.36,1.27,2.36,1.35,1.03,2.38,1.27,2.31
8,vs Fulham,47.2,1,253,2070,23.0,1,0,55,29,1,1,47,3,0.2,26.0,0.2,46.3,362,814,1.3,1.09,2.39,1.26,2.35,1.17,0.88,2.05,1.13,2.01
9,vs Ipswich Town,59.9,1,253,2070,23.0,4,3,77,42,5,5,36,1,2.0,43.1,1.6,77.8,503,1017,2.04,1.3,3.35,1.83,3.13,2.04,1.51,3.55,1.87,3.38
10,vs Leicester City,54.2,1,253,2070,23.0,1,1,83,46,1,1,44,2,1.1,43.4,0.9,76.6,448,1109,2.04,1.57,3.61,2.0,3.57,1.92,1.44,3.36,1.89,3.33
11,vs Liverpool,42.0,1,242,1980,22.0,1,1,38,21,0,1,58,0,0.4,18.3,0.4,33.1,355,632,0.95,0.77,1.73,0.95,1.73,0.87,0.67,1.55,0.83,1.51
12,vs Manchester City,38.9,1,253,2070,23.0,1,1,52,26,3,3,52,1,1.8,30.8,1.8,56.9,360,551,1.26,1.0,2.26,1.13,2.13,1.44,1.14,2.58,1.34,2.48
13,vs Manchester Utd,46.5,1,253,2070,23.0,0,0,53,28,3,4,44,1,0.7,30.8,0.4,55.7,413,713,1.35,0.96,2.3,1.22,2.17,1.47,1.08,2.55,1.34,2.42
14,vs Newcastle Utd,48.9,1,253,2070,23.0,1,1,51,26,0,0,65,1,0.7,27.8,0.5,49.9,419,816,1.13,1.09,2.22,1.13,2.22,1.21,0.96,2.17,1.21,2.17
15,vs Nott'ham Forest,59.9,1,253,2070,23.0,5,4,48,26,1,1,68,2,1.7,25.0,0.8,44.1,611,1228,1.17,0.91,2.09,1.13,2.04,1.12,0.83,1.95,1.09,1.92
16,vs Southampton,48.0,1,253,2070,23.0,3,2,89,49,4,4,40,1,2.9,51.1,1.8,91.4,483,911,2.3,1.57,3.87,2.13,3.7,2.35,1.75,4.1,2.22,3.97
17,vs Tottenham,42.2,1,253,2070,23.0,2,2,59,33,2,2,60,3,1.6,36.9,1.4,65.4,382,736,1.52,1.04,2.57,1.43,2.48,1.67,1.24,2.91,1.6,2.84
18,vs West Ham,52.8,1,253,2070,23.0,1,1,76,39,3,3,35,0,0.8,37.6,0.7,70.2,506,1007,1.83,1.48,3.3,1.7,3.17,1.74,1.42,3.15,1.64,3.05
19,vs Wolves,52.9,1,253,2070,23.0,1,0,85,44,5,6,56,2,1.0,34.3,0.7,62.8,507,963,2.13,1.57,3.7,1.91,3.48,1.69,1.24,2.94,1.49,2.73
