Unnamed: 0,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,vs Arsenal,51.3,1,99,810,9.0,2,2,17,9,1,1,23,0,0.8,9.1,0.7,15.5,205,294,1.11,0.78,1.89,1.0,1.78,1.1,0.71,1.81,1.01,1.72
1,vs Aston Villa,47.8,1,99,810,9.0,1,1,18,10,1,2,36,1,0.3,7.3,0.2,13.1,147,269,1.22,0.78,2.0,1.11,1.89,0.98,0.65,1.63,0.81,1.45
2,vs Bournemouth,55.3,1,99,810,9.0,1,1,20,11,0,0,31,1,1.8,11.4,1.3,20.6,160,312,1.22,1.0,2.22,1.22,2.22,1.26,1.03,2.29,1.26,2.29
3,vs Brentford,51.7,1,99,810,9.0,3,3,32,17,0,0,25,1,1.3,15.4,0.8,27.6,192,393,1.89,1.67,3.56,1.89,3.56,1.71,1.35,3.06,1.71,3.06
4,vs Brighton,44.3,1,99,810,9.0,2,1,20,10,2,2,27,3,1.3,13.0,1.3,24.8,139,270,1.33,0.89,2.22,1.11,2.0,1.63,1.31,2.94,1.45,2.76
5,vs Chelsea,44.8,1,99,810,9.0,1,1,18,10,1,2,29,1,1.9,10.0,1.7,17.8,160,329,1.22,0.78,2.0,1.11,1.89,1.29,0.87,2.16,1.11,1.98
6,vs Crystal Palace,53.0,1,99,810,9.0,0,0,18,11,0,0,21,0,0.8,12.8,0.5,22.6,161,364,1.22,0.78,2.0,1.22,2.0,1.42,1.09,2.52,1.42,2.52
7,vs Everton,61.6,1,99,810,9.0,1,1,29,16,0,1,7,0,1.2,13.6,1.2,24.8,169,419,1.78,1.44,3.22,1.78,3.22,1.6,1.24,2.84,1.51,2.75
8,vs Fulham,49.2,1,99,810,9.0,1,1,21,11,0,0,19,1,0.7,10.5,0.8,19.0,148,326,1.22,1.11,2.33,1.22,2.33,1.17,0.94,2.11,1.17,2.11
9,vs Ipswich Town,58.7,1,99,810,9.0,3,2,30,17,2,2,16,0,4.0,19.5,3.1,34.5,187,376,2.11,1.22,3.33,1.89,3.11,2.35,1.66,4.01,2.17,3.83
10,vs Leicester City,53.4,1,99,810,9.0,3,1,27,15,1,1,21,1,1.7,17.5,0.7,30.2,183,449,1.78,1.22,3.0,1.67,2.89,2.03,1.42,3.45,1.94,3.36
11,vs Liverpool,42.4,1,99,810,9.0,2,2,9,5,0,0,29,0,1.0,7.1,1.0,13.1,132,284,0.56,0.44,1.0,0.56,1.0,0.79,0.67,1.46,0.79,1.46
12,vs Manchester City,35.7,1,99,810,9.0,0,0,14,7,1,1,26,1,0.2,8.0,0.2,15.1,114,184,0.89,0.67,1.56,0.78,1.44,0.97,0.79,1.76,0.88,1.68
13,vs Manchester Utd,47.1,1,99,810,9.0,2,1,20,10,1,2,20,1,2.8,13.5,2.1,25.2,182,302,1.22,1.0,2.22,1.11,2.11,1.66,1.31,2.97,1.49,2.8
14,vs Newcastle Utd,50.6,1,99,810,9.0,2,2,18,9,0,0,32,0,1.7,13.1,1.5,23.6,185,320,1.0,1.0,2.0,1.0,2.0,1.45,1.17,2.62,1.45,2.62
15,vs Nott'ham Forest,59.4,1,99,810,9.0,1,1,11,6,1,1,35,0,0.6,8.6,0.5,15.2,241,470,0.78,0.44,1.22,0.67,1.11,1.04,0.74,1.78,0.96,1.69
16,vs Southampton,45.9,1,99,810,9.0,1,1,32,18,1,1,21,1,2.9,19.0,2.8,35.5,196,387,2.11,1.44,3.56,2.0,3.44,2.18,1.83,4.02,2.11,3.94
17,vs Tottenham,37.9,1,99,810,9.0,1,1,17,10,0,0,23,2,0.9,9.7,0.6,17.7,109,234,1.11,0.78,1.89,1.11,1.89,1.07,0.89,1.96,1.07,1.96
18,vs West Ham,54.8,1,99,810,9.0,1,1,29,15,0,0,14,0,2.0,14.9,1.7,28.2,201,390,1.67,1.56,3.22,1.67,3.22,1.65,1.48,3.13,1.65,3.13
19,vs Wolves,55.1,1,99,810,9.0,2,2,46,23,2,2,23,0,1.3,15.2,1.0,27.8,241,451,2.78,2.33,5.11,2.56,4.89,1.86,1.4,3.26,1.68,3.08
