Unnamed: 0,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,vs Arsenal,47.9,1,154,1260,14.0,0,0,24,13,1,1,40,0,0.2,13.2,0.2,22.4,272,413,1.0,0.71,1.71,0.93,1.64,1.0,0.66,1.66,0.94,1.6
1,vs Aston Villa,49.2,1,154,1260,14.0,1,2,38,22,1,2,44,1,1.1,15.5,1.5,27.3,248,453,1.64,1.07,2.71,1.57,2.64,1.22,0.84,2.06,1.11,1.95
2,vs Bournemouth,55.2,0,143,1170,13.0,0,0,34,19,0,0,43,2,0.0,15.8,0.0,28.3,236,460,1.46,1.15,2.62,1.46,2.62,1.22,0.96,2.17,1.22,2.17
3,vs Brentford,52.1,1,154,1260,14.0,3,1,45,24,1,1,34,1,2.4,23.1,1.2,41.0,318,613,1.79,1.43,3.21,1.71,3.14,1.71,1.28,2.98,1.65,2.93
4,vs Brighton,46.9,0,143,1170,13.0,0,0,28,15,2,2,37,3,0.0,19.4,0.0,36.7,222,447,1.31,0.85,2.15,1.15,2.0,1.61,1.33,2.95,1.49,2.83
5,vs Chelsea,44.2,1,154,1260,14.0,1,1,24,12,3,4,44,2,1.9,15.8,2.5,28.3,228,462,1.07,0.64,1.71,0.86,1.5,1.35,0.89,2.24,1.13,2.02
6,vs Crystal Palace,55.1,1,154,1260,14.0,0,0,30,17,0,1,31,0,0.5,18.9,0.4,34.3,249,571,1.21,0.93,2.14,1.21,2.14,1.41,1.1,2.51,1.35,2.45
7,vs Everton,58.9,1,154,1260,14.0,0,4,39,21,0,1,14,1,-0.5,18.1,1.7,33.5,247,571,1.5,1.29,2.79,1.5,2.79,1.35,1.1,2.45,1.29,2.4
8,vs Fulham,46.4,0,143,1170,13.0,0,1,33,17,0,0,21,2,-0.2,14.8,0.6,26.5,197,452,1.31,1.23,2.54,1.31,2.54,1.14,0.91,2.04,1.14,2.04
9,vs Ipswich Town,57.3,1,154,1260,14.0,1,1,40,22,3,3,24,0,1.6,25.9,1.4,46.2,290,560,1.79,1.07,2.86,1.57,2.64,2.02,1.45,3.47,1.85,3.3
10,vs Leicester City,54.2,1,154,1260,14.0,1,1,45,25,1,1,33,2,3.0,27.4,2.6,47.6,276,704,1.86,1.36,3.21,1.79,3.14,2.01,1.44,3.46,1.96,3.4
11,vs Liverpool,43.4,1,154,1260,14.0,3,3,20,11,0,1,41,0,2.4,12.6,2.0,22.4,220,438,0.79,0.64,1.43,0.79,1.43,0.96,0.7,1.67,0.9,1.6
12,vs Manchester City,36.9,1,154,1260,14.0,0,1,32,16,2,2,38,1,2.7,18.4,2.6,33.9,206,306,1.29,1.0,2.29,1.14,2.14,1.43,1.1,2.53,1.32,2.42
13,vs Manchester Utd,46.9,1,154,1260,14.0,2,2,27,14,1,2,27,1,1.5,19.5,2.2,35.8,249,456,1.07,0.86,1.93,1.0,1.86,1.5,1.16,2.66,1.39,2.55
14,vs Newcastle Utd,51.1,1,154,1260,14.0,3,3,32,16,0,0,45,0,2.0,19.2,1.2,34.5,272,513,1.14,1.14,2.29,1.14,2.29,1.37,1.09,2.46,1.37,2.46
15,vs Nott'ham Forest,58.9,1,154,1260,14.0,3,3,28,15,1,1,48,1,2.4,14.5,2.2,26.4,368,695,1.14,0.86,2.0,1.07,1.93,1.09,0.85,1.94,1.03,1.89
16,vs Southampton,46.2,1,154,1260,14.0,5,5,52,28,2,2,30,1,5.2,31.0,3.6,56.1,293,595,2.14,1.57,3.71,2.0,3.57,2.31,1.8,4.11,2.21,4.01
17,vs Tottenham,40.8,0,143,1170,13.0,13,1,23,14,0,0,33,3,-0.2,16.6,0.9,29.2,195,388,1.08,0.69,1.77,1.08,1.77,1.28,0.97,2.25,1.28,2.25
18,vs West Ham,53.6,1,154,1260,14.0,3,3,48,24,2,2,21,0,1.7,23.8,1.6,44.6,305,589,1.86,1.57,3.43,1.71,3.29,1.81,1.49,3.29,1.7,3.18
19,vs Wolves,53.8,1,154,1260,14.0,2,0,58,29,5,5,35,0,1.0,21.2,0.5,38.5,322,645,2.43,1.71,4.14,2.07,3.79,1.79,1.24,3.03,1.51,2.75
