Unnamed: 0,Team,Per 90 MinutesxG+xAG,PerformanceG+A
0,vs Arsenal,1.85,4
1,vs Aston Villa,1.76,4
2,vs Bournemouth,2.48,1
3,vs Brentford,3.48,2
4,vs Brighton,2.94,6
5,vs Chelsea,1.92,3
6,vs Crystal Palace,2.61,3
7,vs Everton,2.96,2
8,vs Fulham,1.92,0
9,vs Ipswich Town,3.42,4
10,vs Leicester City,3.48,5
11,vs Liverpool,1.37,1
12,vs Manchester City,1.46,1
13,vs Manchester Utd,3.24,5
14,vs Newcastle Utd,2.94,2
15,vs Nott'ham Forest,1.38,1
16,vs Southampton,3.32,6
17,vs Tottenham,2.02,0
18,vs West Ham,3.29,2
19,vs Wolves,2.91,3
