Unnamed: 0,Team,Per 90 MinutesxG+xAG,PerformanceG+A
0,vs Arsenal,2.05,3
1,vs Aston Villa,1.65,1
2,vs Bournemouth,2.77,6
3,vs Brentford,3.82,5
4,vs Brighton,2.08,3
5,vs Chelsea,1.98,0
6,vs Crystal Palace,2.79,0
7,vs Everton,3.21,1
8,vs Fulham,2.03,2
9,vs Ipswich Town,3.79,2
10,vs Leicester City,2.86,2
11,vs Liverpool,1.47,0
12,vs Manchester City,1.28,4
13,vs Manchester Utd,2.27,0
14,vs Newcastle Utd,3.17,6
15,vs Nott'ham Forest,1.32,3
16,vs Southampton,3.47,1
17,vs Tottenham,2.07,2
18,vs West Ham,3.82,6
19,vs Wolves,2.76,6
