Unnamed: 0,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,vs Arsenal,51.1,7,77,630,7.0,6,4,2,6,0,0,20,0,7.2,7.2,4.9,12.2,166,228,0.86,0.57,1.43,0.86,1.43,1.04,0.7,1.74,1.04,1.74
1,vs Aston Villa,47.7,7,77,630,7.0,9,5,0,8,1,1,27,0,6.7,5.9,4.6,10.5,109,195,1.29,0.71,2.0,1.14,1.86,0.96,0.65,1.62,0.85,1.5
2,vs Bournemouth,55.7,7,77,630,7.0,10,8,2,10,0,0,23,0,8.9,8.9,7.5,16.4,126,250,1.43,1.14,2.57,1.43,2.57,1.27,1.07,2.35,1.27,2.35
3,vs Brentford,54.3,7,77,630,7.0,12,10,6,12,0,0,20,0,12.8,12.8,10.1,22.9,155,324,1.71,1.43,3.14,1.71,3.14,1.83,1.45,3.27,1.83,3.27
4,vs Brighton,41.4,7,77,630,7.0,10,7,4,8,2,2,22,3,11.3,9.7,8.8,18.5,95,184,1.43,1.0,2.43,1.14,2.14,1.62,1.25,2.87,1.39,2.65
5,vs Chelsea,44.3,7,77,630,7.0,8,5,2,8,0,1,22,1,7.8,7.0,5.0,12.0,143,261,1.14,0.71,1.86,1.14,1.86,1.11,0.72,1.83,1.0,1.71
6,vs Crystal Palace,51.4,7,77,630,7.0,10,7,2,10,0,0,15,0,10.4,10.4,8.0,18.4,112,273,1.43,1.0,2.43,1.43,2.43,1.49,1.14,2.63,1.49,2.63
7,vs Everton,62.7,7,77,630,7.0,15,12,0,15,0,1,6,0,11.9,11.2,9.0,20.1,144,327,2.14,1.71,3.86,2.14,3.86,1.71,1.28,2.98,1.59,2.87
8,vs Fulham,50.7,7,77,630,7.0,8,7,5,8,0,0,13,0,8.1,8.1,6.3,14.4,120,252,1.14,1.0,2.14,1.14,2.14,1.16,0.89,2.05,1.16,2.05
9,vs Ipswich Town,59.7,7,77,630,7.0,14,8,5,13,1,1,15,0,15.3,14.5,10.9,25.4,145,280,2.0,1.14,3.14,1.86,3.0,2.19,1.56,3.75,2.08,3.64
10,vs Leicester City,57.7,7,77,630,7.0,11,9,0,10,1,1,13,0,14.5,13.7,10.4,24.1,151,388,1.57,1.29,2.86,1.43,2.71,2.07,1.49,3.56,1.95,3.44
11,vs Liverpool,40.0,7,77,630,7.0,2,1,0,2,0,0,24,0,5.1,5.1,4.3,9.4,92,202,0.29,0.14,0.43,0.29,0.43,0.73,0.61,1.34,0.73,1.34
12,vs Manchester City,36.4,7,77,630,7.0,7,5,4,6,1,1,19,1,7.8,7.0,6.1,13.1,92,155,1.0,0.71,1.71,0.86,1.57,1.11,0.88,1.99,0.99,1.87
13,vs Manchester Utd,47.4,7,77,630,7.0,8,7,0,8,0,1,13,1,11.3,10.5,9.0,19.4,144,235,1.14,1.0,2.14,1.14,2.14,1.61,1.28,2.89,1.5,2.78
14,vs Newcastle Utd,52.0,7,77,630,7.0,6,6,0,6,0,0,24,0,10.3,10.3,8.3,18.6,157,267,0.86,0.86,1.71,0.86,1.71,1.47,1.18,2.65,1.47,2.65
15,vs Nott'ham Forest,60.3,7,77,630,7.0,6,3,2,5,1,1,27,0,7.4,6.6,4.7,11.3,183,378,0.86,0.43,1.29,0.71,1.14,1.05,0.67,1.72,0.94,1.61
16,vs Southampton,42.6,7,77,630,7.0,15,10,5,15,0,0,17,1,13.7,13.7,11.3,24.9,136,267,2.14,1.43,3.57,2.14,3.57,1.95,1.61,3.56,1.95,3.56
17,vs Tottenham,37.7,7,77,630,7.0,8,6,4,8,0,0,16,1,8.1,8.1,6.8,14.9,77,173,1.14,0.86,2.0,1.14,2.0,1.16,0.97,2.13,1.16,2.13
18,vs West Ham,54.1,7,77,630,7.0,11,10,1,11,0,0,12,0,11.0,11.0,9.9,21.0,163,282,1.57,1.43,3.0,1.57,3.0,1.58,1.42,3.0,1.58,3.0
19,vs Wolves,52.6,7,77,630,7.0,21,17,8,19,2,2,19,0,13.8,12.3,10.1,22.4,155,301,3.0,2.43,5.43,2.71,5.14,1.98,1.45,3.42,1.75,3.2
