Unnamed: 0,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,Arsenal,55.0,1,275,2250,25.0,2,2,87,47,2,2,54,4,1.4,38.5,1.3,69.0,515,1159,1.96,1.52,3.48,1.88,3.4,1.6,1.22,2.82,1.54,2.76
1,Aston Villa,51.3,2,286,2340,26.0,3,1,63,34,2,3,54,2,3.0,34.8,2.1,61.8,483,908,1.38,1.04,2.42,1.31,2.35,1.43,1.04,2.47,1.34,2.38
2,Bournemouth,46.6,1,275,2250,25.0,3,3,77,38,6,7,64,0,1.2,41.3,1.1,73.1,482,994,1.76,1.32,3.08,1.52,2.84,1.87,1.27,3.14,1.65,2.92
3,Brentford,47.7,1,275,2250,25.0,1,0,70,39,4,4,36,1,1.6,37.0,1.2,66.3,403,921,1.72,1.08,2.8,1.56,2.64,1.61,1.17,2.78,1.48,2.65
4,Brighton,52.6,1,275,2250,25.0,3,3,62,36,1,1,55,1,1.4,33.0,1.1,57.0,548,1041,1.48,1.0,2.48,1.44,2.44,1.35,0.96,2.31,1.32,2.28
5,Chelsea,58.6,1,275,2250,25.0,0,0,80,43,3,3,73,1,0.6,46.8,0.5,84.2,585,1048,1.84,1.36,3.2,1.72,3.08,1.97,1.5,3.46,1.87,3.37
6,Crystal Palace,44.0,1,275,2250,25.0,1,1,50,26,2,2,48,1,1.6,33.8,1.3,60.9,333,818,1.12,0.88,2.0,1.04,1.92,1.41,1.09,2.5,1.35,2.44
7,Everton,40.3,1,275,2250,25.0,2,1,39,23,1,1,53,2,1.0,25.5,0.8,45.6,317,679,0.96,0.6,1.56,0.92,1.52,1.05,0.8,1.85,1.02,1.82
8,Fulham,52.8,1,275,2250,25.0,2,2,70,34,3,4,55,2,2.2,32.9,1.6,60.9,559,1038,1.48,1.32,2.8,1.36,2.68,1.44,1.12,2.56,1.32,2.44
9,Ipswich Town,40.2,1,275,2250,25.0,1,1,37,20,2,2,65,3,0.4,21.1,0.3,36.8,330,602,0.88,0.6,1.48,0.8,1.4,0.91,0.63,1.54,0.84,1.47
10,Leicester City,45.8,1,275,2250,25.0,0,0,45,23,2,2,58,0,0.2,22.2,0.1,41.1,395,719,1.0,0.8,1.8,0.92,1.72,0.95,0.75,1.7,0.89,1.64
11,Liverpool,57.3,2,286,2340,26.0,4,2,108,55,7,7,54,2,4.2,53.2,2.7,96.1,562,1298,2.38,1.77,4.15,2.12,3.88,2.26,1.65,3.91,2.05,3.7
12,Manchester City,60.8,1,275,2250,25.0,4,4,90,50,1,2,46,1,1.8,44.4,1.8,83.2,754,1288,2.04,1.56,3.6,2.0,3.56,1.84,1.55,3.4,1.78,3.33
13,Manchester Utd,53.6,1,275,2250,25.0,0,0,46,24,3,3,59,2,1.5,33.0,1.0,60.1,427,949,1.08,0.76,1.84,0.96,1.72,1.41,1.08,2.5,1.32,2.4
14,Newcastle Utd,50.6,1,275,2250,25.0,0,0,72,39,2,3,49,1,0.4,39.4,0.5,71.9,476,1020,1.64,1.24,2.88,1.56,2.8,1.67,1.3,2.97,1.57,2.87
15,Nott'ham Forest,40.2,1,275,2250,25.0,1,1,69,37,3,3,55,2,0.4,29.8,0.3,52.9,433,721,1.6,1.16,2.76,1.48,2.64,1.29,0.92,2.21,1.19,2.12
16,Southampton,51.3,1,275,2250,25.0,1,1,30,18,0,2,70,3,0.7,22.7,0.8,41.3,455,797,0.72,0.48,1.2,0.72,1.2,0.98,0.74,1.72,0.91,1.65
17,Tottenham,57.2,1,275,2250,25.0,1,0,82,46,0,1,47,1,2.1,41.0,1.3,73.4,600,1163,1.84,1.44,3.28,1.84,3.28,1.67,1.29,2.97,1.64,2.94
18,West Ham,47.0,1,275,2250,25.0,0,0,44,25,3,3,58,3,0.8,30.4,0.5,53.0,414,809,1.12,0.64,1.76,1.0,1.64,1.31,0.91,2.21,1.22,2.12
19,Wolves,46.6,1,275,2250,25.0,1,1,64,35,0,0,57,2,1.5,27.2,1.2,49.6,393,776,1.4,1.16,2.56,1.4,2.56,1.09,0.9,1.99,1.09,1.99
