Unnamed: 0,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,Arsenal,55.1,1,220,1800,20.0,1,1,67,36,2,2,45,3,0.8,32.4,0.9,58.0,409,907,1.9,1.45,3.35,1.8,3.25,1.7,1.28,2.97,1.62,2.9
1,Aston Villa,50.5,1,220,1800,20.0,2,1,51,27,2,3,44,2,1.4,28.3,1.0,50.3,355,696,1.45,1.1,2.55,1.35,2.45,1.53,1.1,2.64,1.41,2.52
2,Bournemouth,46.2,1,220,1800,20.0,1,1,51,25,5,6,48,0,1.7,34.4,1.4,61.3,370,831,1.5,1.05,2.55,1.25,2.3,1.96,1.35,3.3,1.72,3.07
3,Brentford,47.9,1,220,1800,20.0,5,3,62,35,3,3,31,1,4.5,29.6,3.0,52.8,309,738,1.9,1.2,3.1,1.75,2.95,1.6,1.16,2.76,1.48,2.64
4,Brighton,52.6,1,220,1800,20.0,1,0,48,28,1,1,42,1,1.5,27.0,0.6,46.3,429,847,1.45,0.95,2.4,1.4,2.35,1.39,0.96,2.35,1.35,2.32
5,Chelsea,58.2,1,220,1800,20.0,1,1,69,36,3,3,60,1,1.3,37.3,1.2,66.6,466,843,1.95,1.5,3.45,1.8,3.3,1.98,1.46,3.45,1.87,3.33
6,Crystal Palace,43.6,1,220,1800,20.0,1,1,36,19,1,1,45,1,1.1,26.2,1.0,47.5,279,654,1.0,0.8,1.8,0.95,1.75,1.35,1.06,2.41,1.31,2.37
7,Everton,40.2,1,209,1710,19.0,0,0,20,13,0,0,40,1,0.7,18.1,0.3,31.8,257,528,0.68,0.37,1.05,0.68,1.05,0.95,0.72,1.67,0.95,1.67
8,Fulham,52.4,1,220,1800,20.0,2,0,54,26,3,4,47,2,2.2,24.8,0.6,46.1,428,817,1.45,1.25,2.7,1.3,2.55,1.4,1.07,2.46,1.24,2.31
9,Ipswich Town,40.7,1,220,1800,20.0,2,0,32,17,2,2,56,2,1.5,17.6,0.4,31.3,272,502,0.95,0.65,1.6,0.85,1.5,0.96,0.68,1.64,0.88,1.56
10,Leicester City,45.9,1,220,1800,20.0,1,0,41,21,2,2,48,0,0.4,17.8,0.2,33.1,309,578,1.15,0.9,2.05,1.05,1.95,0.96,0.77,1.73,0.89,1.66
11,Liverpool,56.7,1,209,1710,19.0,2,1,83,42,5,5,41,1,2.8,40.2,1.6,72.1,409,901,2.47,1.89,4.37,2.21,4.11,2.32,1.68,4.0,2.12,3.8
12,Manchester City,61.4,1,220,1800,20.0,3,3,60,34,1,2,42,1,2.0,34.3,1.9,64.0,632,1088,1.75,1.25,3.0,1.7,2.95,1.8,1.48,3.28,1.72,3.2
13,Manchester Utd,53.5,1,220,1800,20.0,2,1,40,20,2,2,49,2,1.1,26.1,0.8,48.3,336,735,1.1,0.9,2.0,1.0,1.9,1.38,1.11,2.49,1.3,2.41
14,Newcastle Utd,50.7,1,220,1800,20.0,2,1,59,32,1,2,43,1,2.5,33.1,2.3,60.4,368,814,1.65,1.3,2.95,1.6,2.9,1.73,1.37,3.1,1.66,3.02
15,Nott'ham Forest,39.9,1,220,1800,20.0,3,3,49,27,2,2,49,2,2.2,23.9,2.0,42.1,347,547,1.45,1.0,2.45,1.35,2.35,1.27,0.91,2.18,1.19,2.1
16,Southampton,52.4,1,220,1800,20.0,0,0,20,12,0,2,58,3,0.3,17.9,0.2,33.4,367,645,0.6,0.4,1.0,0.6,1.0,0.98,0.77,1.76,0.9,1.67
17,Tottenham,57.9,1,220,1800,20.0,1,1,73,40,0,1,42,1,0.9,35.1,0.6,63.2,496,972,2.0,1.65,3.65,2.0,3.65,1.8,1.4,3.2,1.76,3.16
18,West Ham,46.7,1,220,1800,20.0,1,1,36,20,3,3,47,2,1.4,25.8,1.3,45.1,354,671,1.15,0.65,1.8,1.0,1.65,1.41,0.96,2.37,1.29,2.26
19,Wolves,47.8,1,220,1800,20.0,0,0,58,31,0,0,47,1,2.0,21.4,1.0,39.1,310,627,1.55,1.35,2.9,1.55,2.9,1.07,0.88,1.95,1.07,1.95
