Unnamed: 0,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,Arsenal,51.5,1,132,1080,12,3,3,37,20,0,0,33,3,1.2,18.2,1.1,32.2,232,516,1.67,1.42,3.08,1.67,3.08,1.52,1.17,2.68,1.52,2.68
1,Aston Villa,52.2,1,132,1080,12,2,2,34,18,0,1,32,1,3.0,18.4,1.9,33.0,224,428,1.5,1.33,2.83,1.5,2.83,1.6,1.21,2.82,1.54,2.75
2,Bournemouth,45.2,1,132,1080,12,1,1,29,15,1,2,34,0,1.7,18.9,1.6,33.8,228,479,1.33,1.08,2.42,1.25,2.33,1.7,1.25,2.95,1.57,2.82
3,Brentford,46.6,1,132,1080,12,0,0,35,20,2,2,17,1,1.1,17.7,1.0,31.0,165,402,1.83,1.08,2.92,1.67,2.75,1.61,1.11,2.72,1.47,2.59
4,Brighton,53.1,1,132,1080,12,2,1,35,21,0,0,28,1,1.0,17.4,0.6,29.6,241,518,1.75,1.17,2.92,1.75,2.92,1.45,1.02,2.47,1.45,2.47
5,Chelsea,55.2,1,132,1080,12,2,1,41,22,1,1,45,0,2.8,21.6,1.1,39.7,267,457,1.92,1.5,3.42,1.83,3.33,1.86,1.51,3.38,1.8,3.31
6,Crystal Palace,44.4,1,132,1080,12,2,2,15,8,1,1,27,1,1.2,14.2,0.9,25.7,177,417,0.75,0.5,1.25,0.67,1.17,1.25,0.95,2.2,1.19,2.14
7,Everton,40.9,1,132,1080,12,0,0,17,10,0,0,18,1,1.2,13.1,1.1,23.6,172,360,0.83,0.58,1.42,0.83,1.42,1.09,0.87,1.97,1.09,1.97
8,Fulham,54.0,1,132,1080,12,1,1,33,16,1,2,30,1,1.0,16.4,1.0,31.3,256,534,1.42,1.33,2.75,1.33,2.67,1.5,1.24,2.74,1.37,2.61
9,Ipswich Town,40.8,1,132,1080,12,1,1,23,13,0,0,35,2,1.6,11.7,0.9,20.4,153,309,1.08,0.83,1.92,1.08,1.92,0.97,0.72,1.7,0.97,1.7
10,Leicester City,46.8,1,132,1080,12,1,0,27,13,2,2,34,0,1.1,10.7,0.3,20.2,193,371,1.25,1.0,2.25,1.08,2.08,1.01,0.79,1.81,0.89,1.69
11,Liverpool,57.6,1,132,1080,12,3,1,42,21,3,3,25,0,3.1,20.9,1.5,37.8,248,527,2.0,1.5,3.5,1.75,3.25,1.93,1.41,3.34,1.74,3.15
12,Manchester City,63.4,1,132,1080,12,0,0,37,21,1,1,27,0,2.1,23.3,2.1,43.8,443,711,1.83,1.25,3.08,1.75,3.0,2.01,1.71,3.72,1.95,3.65
13,Manchester Utd,52.8,1,132,1080,12,1,1,23,11,1,1,33,1,0.8,17.4,0.7,32.6,196,469,1.0,0.92,1.92,0.92,1.83,1.51,1.27,2.78,1.45,2.72
14,Newcastle Utd,49.3,1,132,1080,12,0,0,24,12,1,2,28,1,1.7,16.4,1.1,30.5,204,478,1.08,0.92,2.0,1.0,1.92,1.5,1.17,2.67,1.37,2.54
15,Nott'ham Forest,41.4,1,132,1080,12,0,0,23,14,1,1,32,2,0.3,13.7,0.2,23.9,224,353,1.25,0.67,1.92,1.17,1.83,1.21,0.85,2.06,1.14,1.99
16,Southampton,55.1,1,132,1080,12,2,1,15,9,0,2,40,2,1.3,11.4,0.3,21.1,231,408,0.75,0.5,1.25,0.75,1.25,1.1,0.8,1.9,0.95,1.76
17,Tottenham,59.8,1,132,1080,12,4,4,46,25,0,0,28,0,2.5,23.8,2.5,42.1,315,627,2.08,1.75,3.83,2.08,3.83,1.99,1.52,3.51,1.99,3.51
18,West Ham,45.7,1,132,1080,12,-10,2,21,12,2,2,29,2,1.2,14.4,0.6,24.8,226,393,1.17,0.58,1.75,1.0,1.58,1.33,0.87,2.2,1.2,2.07
19,Wolves,44.3,1,132,1080,12,4,4,37,20,0,0,31,0,1.3,12.8,1.3,23.8,162,320,1.67,1.42,3.08,1.67,3.08,1.07,0.91,1.98,1.07,1.98
