Unnamed: 0,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,Arsenal,48.9,-4,77,630,7,-3,-3,25,14,0,0,21,2,-4.2,12.8,-3.5,22.2,142,294,2.0,1.57,3.57,2.0,3.57,1.83,1.34,3.17,1.83,3.17
1,Aston Villa,52.3,-4,77,630,7,-4,-3,23,12,0,0,14,0,-6.5,9.7,-4.6,17.8,133,238,1.71,1.57,3.29,1.71,3.29,1.39,1.15,2.54,1.39,2.54
2,Bournemouth,44.3,-4,77,630,7,-7,-5,15,8,0,1,19,0,-6.7,11.3,-3.7,21.0,119,291,1.14,1.0,2.14,1.14,2.14,1.73,1.38,3.11,1.61,2.99
3,Brentford,45.7,-4,77,630,7,-9,-6,20,12,1,1,12,0,-7.0,10.4,-5.7,17.0,104,215,1.86,1.0,2.86,1.71,2.71,1.6,0.95,2.55,1.49,2.43
4,Brighton,58.6,-4,77,630,7,-6,-5,21,13,0,0,15,0,-5.6,10.8,-4.4,18.0,166,361,1.86,1.14,3.0,1.86,3.0,1.54,1.03,2.57,1.54,2.57
5,Chelsea,55.7,-4,77,630,7,-5,-4,29,15,1,1,27,0,-5.5,13.3,-4.8,25.5,154,264,2.29,1.86,4.14,2.14,4.0,2.02,1.74,3.75,1.9,3.64
6,Crystal Palace,48.6,-4,77,630,7,-3,-2,6,3,1,1,15,0,-5.7,7.3,-4.3,13.5,98,270,0.57,0.29,0.86,0.43,0.71,1.16,0.88,2.04,1.05,1.93
7,Everton,37.3,-4,77,630,7,-3,-2,12,7,0,0,12,1,-5.1,6.8,-3.9,12.2,79,188,1.0,0.71,1.71,1.0,1.71,0.97,0.78,1.75,0.97,1.75
8,Fulham,49.3,-4,77,630,7,-6,-6,19,9,1,1,21,0,-6.2,10.0,-4.9,19.0,144,263,1.43,1.29,2.71,1.29,2.57,1.54,1.29,2.83,1.43,2.72
9,Ipswich Town,40.3,-4,77,630,7,-6,-5,10,6,0,0,20,0,-5.1,5.0,-3.2,9.6,93,179,0.86,0.57,1.43,0.86,1.43,0.71,0.66,1.38,0.71,1.38
10,Leicester City,42.3,-4,77,630,7,-5,-4,17,9,0,0,19,0,-6.0,5.1,-4.9,9.4,87,169,1.29,1.14,2.43,1.29,2.43,0.73,0.61,1.34,0.73,1.34
11,Liverpool,60.0,-4,77,630,7,-8,-6,24,12,1,1,14,0,-6.3,13.0,-4.3,24.0,167,326,1.86,1.57,3.43,1.71,3.29,1.96,1.58,3.55,1.85,3.43
12,Manchester City,63.6,-4,77,630,7,-5,-4,28,16,1,1,17,0,-8.2,13.0,-7.1,24.4,253,376,2.43,1.57,4.0,2.29,3.86,1.97,1.62,3.59,1.86,3.48
13,Manchester Utd,52.6,-4,77,630,7,-6,-5,10,5,0,0,24,1,-6.4,11.0,-4.8,20.6,105,274,0.71,0.71,1.43,0.71,1.43,1.57,1.38,2.95,1.57,2.95
14,Newcastle Utd,48.0,-4,77,630,7,-5,-4,15,7,1,2,17,1,-5.9,8.8,-5.1,16.6,119,250,1.14,1.0,2.14,1.0,2.0,1.48,1.12,2.6,1.25,2.38
15,Nott'ham Forest,39.7,-4,77,630,7,-8,-4,11,6,1,1,23,2,-6.1,7.3,-4.5,12.8,123,184,1.0,0.57,1.57,0.86,1.43,1.15,0.78,1.93,1.04,1.82
16,Southampton,57.4,-4,77,630,7,-3,-2,7,4,0,1,21,1,-3.7,7.4,-2.9,13.7,148,249,0.57,0.43,1.0,0.57,1.0,1.17,0.91,2.08,1.05,1.96
17,Tottenham,62.3,-4,77,630,7,-8,-7,23,13,0,0,18,0,-6.5,14.8,-5.5,25.0,194,389,1.86,1.43,3.29,1.86,3.29,2.12,1.46,3.58,2.12,3.58
18,West Ham,45.9,-4,77,630,7,-3,-1,13,8,1,1,16,0,-4.6,9.7,-3.6,16.0,135,248,1.29,0.57,1.86,1.14,1.71,1.5,0.89,2.4,1.39,2.28
19,Wolves,47.4,-4,77,630,7,-7,-6,16,9,0,0,22,0,-4.9,6.6,-4.7,11.6,102,194,1.29,1.0,2.29,1.29,2.29,0.94,0.71,1.65,0.94,1.65
