,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,Arsenal,51.5,12,132,1080,12,20,17,37,20,0,0,33,3,18.2,18.2,14,32.2,232,516,1.67,1.42,3.08,1.67,3.08,1.52,1.17,2.68,1.52,2.68
1,Aston Villa,52.2,12,132,1080,12,18,16,34,18,0,1,32,1,19.2,18.4,14.6,33,224,428,1.5,1.33,2.83,1.5,2.83,1.6,1.21,2.82,1.54,2.75
2,Bournemouth,45.2,12,132,1080,12,16,13,29,15,1,2,34,0,20.5,18.9,15,33.8,228,479,1.33,1.08,2.42,1.25,2.33,1.7,1.25,2.95,1.57,2.82
3,Brentford,46.6,12,132,1080,12,22,13,35,20,2,2,17,1,19.3,17.7,13.3,31,165,402,1.83,1.08,2.92,1.67,2.75,1.61,1.11,2.72,1.47,2.59
4,Brighton,53.1,12,132,1080,12,21,14,35,21,0,0,28,1,17.4,17.4,12.2,29.6,241,518,1.75,1.17,2.92,1.75,2.92,1.45,1.02,2.47,1.45,2.47
5,Chelsea,55.2,12,132,1080,12,23,18,41,22,1,1,45,0,22.4,21.6,18.1,39.7,267,457,1.92,1.5,3.42,1.83,3.33,1.86,1.51,3.38,1.8,3.31
6,Crystal Palace,44.4,12,132,1080,12,9,6,15,8,1,1,27,1,15,14.2,11.4,25.7,177,417,0.75,0.5,1.25,0.67,1.17,1.25,0.95,2.2,1.19,2.14
7,Everton,40.9,12,132,1080,12,10,7,17,10,0,0,18,1,13.1,13.1,10.5,23.6,172,360,0.83,0.58,1.42,0.83,1.42,1.09,0.87,1.97,1.09,1.97
8,Fulham,54,12,132,1080,12,17,16,33,16,1,2,30,1,18,16.4,14.9,31.3,256,534,1.42,1.33,2.75,1.33,2.67,1.5,1.24,2.74,1.37,2.61
9,Ipswich Town,40.8,12,132,1080,12,13,10,23,13,0,0,35,2,11.7,11.7,8.7,20.4,153,309,1.08,0.83,1.92,1.08,1.92,0.97,0.72,1.7,0.97,1.7
10,Leicester City,46.8,12,132,1080,12,15,12,27,13,2,2,34,0,12.2,10.7,9.5,20.2,193,371,1.25,1,2.25,1.08,2.08,1.01,0.79,1.81,0.89,1.69
11,Liverpool,57.6,12,132,1080,12,24,18,42,21,3,3,25,0,23.2,20.9,16.9,37.8,248,527,2,1.5,3.5,1.75,3.25,1.93,1.41,3.34,1.74,3.15
12,Manchester City,63.4,12,132,1080,12,22,15,37,21,1,1,27,0,24.1,23.3,20.5,43.8,443,711,1.83,1.25,3.08,1.75,3,2.01,1.71,3.72,1.95,3.65
13,Manchester Utd,52.8,12,132,1080,12,12,11,23,11,1,1,33,1,18.2,17.4,15.2,32.6,196,469,1,0.92,1.92,0.92,1.83,1.51,1.27,2.78,1.45,2.72
14,Newcastle Utd,49.3,12,132,1080,12,13,11,24,12,1,2,28,1,18,16.4,14.1,30.5,204,478,1.08,0.92,2,1,1.92,1.5,1.17,2.67,1.37,2.54
15,Nott'ham Forest,41.4,12,132,1080,12,15,8,23,14,1,1,32,2,14.5,13.7,10.2,23.9,224,353,1.25,0.67,1.92,1.17,1.83,1.21,0.85,2.06,1.14,1.99
16,Southampton,55.1,12,132,1080,12,9,6,15,9,0,2,40,2,13.2,11.4,9.6,21.1,231,408,0.75,0.5,1.25,0.75,1.25,1.1,0.8,1.9,0.95,1.76
17,Tottenham,59.8,12,132,1080,12,25,21,46,25,0,0,28,0,23.8,23.8,18.2,42.1,315,627,2.08,1.75,3.83,2.08,3.83,1.99,1.52,3.51,1.99,3.51
18,West Ham,45.7,12,132,1080,12,14,7,21,12,2,2,29,2,16.3,14.4,10.4,24.8,226,393,1.17,0.58,1.75,1,1.58,1.33,0.87,2.2,1.2,2.07
19,Wolves,44.3,12,132,1080,12,20,17,37,20,0,0,31,0,12.8,12.8,11,23.8,162,320,1.67,1.42,3.08,1.67,3.08,1.07,0.91,1.98,1.07,1.98
