,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,Arsenal,53.0,15,165,1350,15.0,28,23,51,26,2,2,37,3,25.6,24.1,19.4,43.6,302,663,1.87,1.53,3.4,1.73,3.27,1.71,1.3,3.01,1.61,2.91
1,Aston Villa,50.5,15,165,1350,15.0,22,17,39,21,1,2,37,1,25.1,23.5,18.6,42.1,275,514,1.47,1.13,2.6,1.4,2.53,1.67,1.24,2.91,1.57,2.81
2,Bournemouth,44.9,15,165,1350,15.0,23,16,39,19,4,5,38,0,30.4,26.5,20.9,47.4,279,607,1.53,1.07,2.6,1.27,2.33,2.03,1.39,3.42,1.77,3.16
3,Brentford,47.5,15,165,1350,15.0,31,19,50,29,2,2,23,1,23.8,22.2,17.0,39.2,218,535,2.07,1.27,3.33,1.93,3.2,1.59,1.13,2.72,1.48,2.62
4,Brighton,52.7,15,165,1350,15.0,25,17,42,25,0,0,34,1,22.0,22.0,15.3,37.3,314,639,1.67,1.13,2.8,1.67,2.8,1.47,1.02,2.49,1.47,2.49
5,Chelsea,56.1,15,165,1350,15.0,35,26,61,32,3,3,50,0,32.0,29.6,23.7,53.3,340,591,2.33,1.73,4.07,2.13,3.87,2.13,1.58,3.71,1.97,3.55
6,Crystal Palace,44.0,15,165,1350,15.0,13,10,23,12,1,1,35,1,19.7,18.9,15.3,34.2,220,519,0.87,0.67,1.53,0.8,1.47,1.31,1.02,2.33,1.26,2.28
7,Everton,41.1,14,154,1260,14.0,12,7,19,12,0,0,23,1,14.7,14.7,11.5,26.2,198,411,0.86,0.5,1.36,0.86,1.36,1.05,0.82,1.87,1.05,1.87
8,Fulham,51.6,15,165,1350,15.0,21,19,40,20,1,2,37,2,20.7,19.1,16.3,35.5,303,616,1.4,1.27,2.67,1.33,2.6,1.38,1.09,2.47,1.28,2.36
9,Ipswich Town,42.8,15,165,1350,15.0,14,11,25,14,0,0,42,2,14.1,14.1,10.9,24.9,202,387,0.93,0.73,1.67,0.93,1.67,0.94,0.72,1.66,0.94,1.66
10,Leicester City,46.5,15,165,1350,15.0,21,17,38,19,2,2,38,0,16.2,14.8,13.0,27.7,238,445,1.4,1.13,2.53,1.27,2.4,1.08,0.86,1.95,0.98,1.85
11,Liverpool,56.6,14,154,1260,14.0,29,22,51,25,4,4,31,0,28.6,25.5,20.1,45.6,290,601,2.07,1.57,3.64,1.79,3.36,2.04,1.43,3.48,1.82,3.25
12,Manchester City,63.4,15,165,1350,15.0,27,20,47,26,1,1,34,1,28.7,28.0,24.3,52.3,521,861,1.8,1.33,3.13,1.73,3.07,1.92,1.62,3.54,1.86,3.49
13,Manchester Utd,54.3,15,165,1350,15.0,18,16,34,17,1,1,38,1,21.0,20.3,17.3,37.5,257,572,1.2,1.07,2.27,1.13,2.2,1.4,1.15,2.55,1.35,2.5
14,Newcastle Utd,49.5,15,165,1350,15.0,18,16,34,17,1,2,33,1,21.5,20.0,16.9,36.9,269,580,1.2,1.07,2.27,1.13,2.2,1.44,1.13,2.56,1.33,2.46
15,Nott'ham Forest,40.3,15,165,1350,15.0,19,11,30,17,2,2,39,2,18.0,16.4,12.3,28.7,266,414,1.27,0.73,2.0,1.13,1.87,1.2,0.82,2.02,1.1,1.92
16,Southampton,53.7,15,165,1350,15.0,11,7,18,11,0,2,48,3,16.0,14.3,12.0,26.3,289,500,0.73,0.47,1.2,0.73,1.2,1.07,0.8,1.87,0.95,1.76
17,Tottenham,58.2,15,165,1350,15.0,29,25,54,29,0,0,32,0,28.2,28.2,22.2,50.4,379,753,1.93,1.67,3.6,1.93,3.6,1.88,1.48,3.36,1.88,3.36
18,West Ham,46.9,15,165,1350,15.0,19,11,30,17,2,2,40,2,21.4,19.9,14.3,34.2,273,524,1.27,0.73,2.0,1.13,1.87,1.43,0.95,2.38,1.32,2.28
19,Wolves,46.2,15,165,1350,15.0,23,20,43,23,0,0,40,0,15.5,15.5,13.2,28.6,212,428,1.53,1.33,2.87,1.53,2.87,1.03,0.88,1.91,1.03,1.91
