,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,Arsenal,48.7,9,99,810,9.0,16,13,29,16,0,0,24,3,14.5,14.5,10.8,25.3,174,358,1.78,1.44,3.22,1.78,3.22,1.61,1.2,2.81,1.61,2.81
1,Aston Villa,52.2,9,99,810,9.0,15,14,29,15,0,0,26,1,13.2,13.2,10.8,24.0,171,316,1.67,1.56,3.22,1.67,3.22,1.46,1.2,2.66,1.46,2.66
2,Bournemouth,44.7,9,99,810,9.0,11,9,20,10,1,2,26,0,14.2,12.6,10.7,23.3,165,362,1.22,1.0,2.22,1.11,2.11,1.58,1.19,2.76,1.4,2.59
3,Brentford,48.3,9,99,810,9.0,17,10,27,15,2,2,14,0,16.1,14.5,10.5,25.1,140,311,1.89,1.11,3.0,1.67,2.78,1.79,1.17,2.96,1.61,2.78
4,Brighton,55.7,9,99,810,9.0,16,11,27,16,0,0,20,0,13.1,13.1,8.9,22.0,196,428,1.78,1.22,3.0,1.78,3.0,1.46,0.99,2.45,1.46,2.45
5,Chelsea,55.2,9,99,810,9.0,19,16,35,18,1,1,36,0,17.0,16.3,14.8,31.1,203,336,2.11,1.78,3.89,2.0,3.78,1.89,1.65,3.54,1.81,3.45
6,Crystal Palace,47.0,9,99,810,9.0,5,3,8,4,1,1,22,0,9.9,9.1,7.6,16.7,131,346,0.56,0.33,0.89,0.44,0.78,1.1,0.84,1.95,1.01,1.86
7,Everton,38.4,9,99,810,9.0,10,7,17,10,0,0,14,1,9.3,9.3,7.1,16.4,110,253,1.11,0.78,1.89,1.11,1.89,1.03,0.79,1.82,1.03,1.82
8,Fulham,50.8,9,99,810,9.0,12,11,23,11,1,2,24,1,13.8,12.2,11.2,23.4,177,344,1.33,1.22,2.56,1.22,2.44,1.53,1.24,2.77,1.36,2.6
9,Ipswich Town,41.3,9,99,810,9.0,9,7,16,9,0,0,24,1,7.5,7.5,6.5,14.0,117,250,1.0,0.78,1.78,1.0,1.78,0.83,0.72,1.56,0.83,1.56
10,Leicester City,46.6,9,99,810,9.0,13,11,24,12,1,1,27,0,8.9,8.3,7.4,15.7,144,279,1.44,1.22,2.67,1.33,2.56,0.99,0.83,1.82,0.92,1.74
11,Liverpool,57.6,9,99,810,9.0,17,14,31,15,2,2,20,0,16.5,15.0,12.8,27.8,188,384,1.89,1.56,3.44,1.67,3.22,1.84,1.42,3.26,1.66,3.08
12,Manchester City,64.3,9,99,810,9.0,20,14,34,19,1,1,19,0,18.3,17.5,15.6,33.2,356,541,2.22,1.56,3.78,2.11,3.67,2.04,1.73,3.77,1.95,3.68
13,Manchester Utd,52.9,9,99,810,9.0,8,8,16,8,0,0,27,1,14.3,14.3,12.7,27.0,146,369,0.89,0.89,1.78,0.89,1.78,1.59,1.41,3.0,1.59,3.0
14,Newcastle Utd,49.4,9,99,810,9.0,9,8,17,8,1,2,22,1,14.2,12.6,11.4,24.0,150,346,1.0,0.89,1.89,0.89,1.78,1.58,1.26,2.84,1.4,2.66
15,Nott'ham Forest,40.6,9,99,810,9.0,11,5,16,10,1,1,28,2,11.4,10.6,7.8,18.4,168,253,1.22,0.56,1.78,1.11,1.67,1.27,0.86,2.13,1.18,2.05
16,Southampton,54.1,9,99,810,9.0,6,4,10,6,0,1,29,2,10.5,9.7,8.1,17.8,176,300,0.67,0.44,1.11,0.67,1.11,1.17,0.9,2.07,1.08,1.98
17,Tottenham,62.1,9,99,810,9.0,16,13,29,16,0,0,23,0,17.4,17.4,12.2,29.6,243,501,1.78,1.44,3.22,1.78,3.22,1.93,1.36,3.29,1.93,3.29
18,West Ham,45.2,9,99,810,9.0,12,5,17,10,2,2,24,1,14.1,12.6,9.0,21.6,172,312,1.33,0.56,1.89,1.11,1.67,1.57,1.0,2.57,1.4,2.4
19,Wolves,44.9,9,99,810,9.0,12,9,21,12,0,0,29,0,8.7,8.7,7.1,15.8,125,234,1.33,1.0,2.33,1.33,2.33,0.97,0.78,1.75,0.97,1.75
