,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,Arsenal,52.1,14,154,1260,14.0,27,22,49,25,2,2,35,3,23.8,22.3,17.7,40.0,273,592,1.93,1.57,3.5,1.79,3.36,1.7,1.27,2.97,1.59,2.86
1,Aston Villa,50.8,14,154,1260,14.0,21,17,38,20,1,2,36,1,22.8,21.3,16.9,38.1,254,480,1.5,1.21,2.71,1.43,2.64,1.63,1.21,2.84,1.52,2.72
2,Bournemouth,44.8,13,143,1170,13.0,20,14,34,16,4,5,35,0,23.7,19.8,15.9,35.7,237,512,1.54,1.08,2.62,1.23,2.31,1.83,1.22,3.05,1.52,2.74
3,Brentford,47.9,14,154,1260,14.0,27,16,43,25,2,2,20,1,22.6,21.0,16.1,37.1,199,491,1.93,1.14,3.07,1.79,2.93,1.61,1.15,2.76,1.5,2.65
4,Brighton,53.1,13,143,1170,13.0,22,15,37,22,0,0,30,1,19.0,19.0,13.2,32.3,265,570,1.69,1.15,2.85,1.69,2.85,1.46,1.02,2.48,1.46,2.48
5,Chelsea,55.8,14,154,1260,14.0,31,25,56,30,1,1,47,0,29.2,28.4,22.6,51.0,314,546,2.21,1.79,4.0,2.14,3.93,2.08,1.61,3.7,2.03,3.64
6,Crystal Palace,44.9,14,154,1260,14.0,11,8,19,10,1,1,34,1,18.4,17.6,14.3,31.9,207,495,0.79,0.57,1.36,0.71,1.29,1.31,1.02,2.33,1.26,2.28
7,Everton,41.1,14,154,1260,14.0,12,7,19,12,0,0,23,1,14.7,14.7,11.5,26.2,198,411,0.86,0.5,1.36,0.86,1.36,1.05,0.82,1.87,1.05,1.87
8,Fulham,53.6,13,143,1170,13.0,18,17,35,17,1,2,31,2,19.5,17.9,15.8,33.7,284,580,1.38,1.31,2.69,1.31,2.62,1.5,1.21,2.71,1.38,2.59
9,Ipswich Town,42.7,14,154,1260,14.0,13,10,23,13,0,0,40,2,12.8,12.8,9.7,22.4,187,367,0.93,0.71,1.64,0.93,1.64,0.91,0.69,1.6,0.91,1.6
10,Leicester City,45.8,14,154,1260,14.0,19,16,35,17,2,2,37,0,14.9,13.5,12.1,25.5,229,416,1.36,1.14,2.5,1.21,2.36,1.06,0.86,1.93,0.96,1.82
11,Liverpool,56.6,14,154,1260,14.0,29,22,51,25,4,4,31,0,28.6,25.5,20.1,45.6,290,601,2.07,1.57,3.64,1.79,3.36,2.04,1.43,3.48,1.82,3.25
12,Manchester City,63.1,14,154,1260,14.0,25,18,43,24,1,1,32,0,27.3,26.5,23.1,49.6,500,804,1.79,1.29,3.07,1.71,3.0,1.95,1.65,3.6,1.9,3.54
13,Manchester Utd,53.1,14,154,1260,14.0,16,15,31,15,1,1,38,1,19.4,18.7,16.4,35.1,232,511,1.14,1.07,2.21,1.07,2.14,1.39,1.17,2.56,1.33,2.5
14,Newcastle Utd,48.9,14,154,1260,14.0,16,14,30,15,1,2,33,1,20.1,18.5,15.7,34.2,238,531,1.14,1.0,2.14,1.07,2.07,1.43,1.12,2.55,1.32,2.44
15,Nott'ham Forest,41.1,14,154,1260,14.0,16,8,24,14,2,2,37,2,17.2,15.6,11.6,27.2,258,401,1.14,0.57,1.71,1.0,1.57,1.23,0.83,2.05,1.12,1.94
16,Southampton,53.8,14,154,1260,14.0,11,7,18,11,0,2,45,3,15.7,14.0,11.8,25.8,267,468,0.79,0.5,1.29,0.79,1.29,1.12,0.84,1.96,1.0,1.84
17,Tottenham,59.2,13,143,1170,13.0,26,22,48,26,0,0,28,0,24.6,24.6,18.8,43.4,331,667,2.0,1.69,3.69,2.0,3.69,1.89,1.44,3.34,1.89,3.34
18,West Ham,46.4,14,154,1260,14.0,17,9,26,15,2,2,35,2,20.4,18.9,13.6,32.5,253,495,1.21,0.64,1.86,1.07,1.71,1.46,0.97,2.43,1.35,2.32
19,Wolves,46.2,14,154,1260,14.0,22,19,41,22,0,0,36,0,14.0,14.0,12.1,26.1,197,393,1.57,1.36,2.93,1.57,2.93,1.0,0.86,1.86,1.0,1.86
