,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,Arsenal,55.0,21,231,1890,21.0,39,30,69,37,2,2,48,3,35.3,33.8,26.7,60.5,436,954,1.86,1.43,3.29,1.76,3.19,1.68,1.27,2.95,1.61,2.88
1,Aston Villa,50.4,21,231,1890,21.0,30,23,53,28,2,3,45,2,31.8,29.5,22.9,52.4,368,717,1.43,1.1,2.52,1.33,2.43,1.52,1.09,2.61,1.4,2.5
2,Bournemouth,46.0,21,231,1890,21.0,32,22,54,26,6,7,51,0,40.3,34.8,27.3,62.1,387,855,1.52,1.05,2.57,1.24,2.29,1.92,1.3,3.22,1.66,2.96
3,Brentford,47.8,21,231,1890,21.0,40,26,66,37,3,3,31,1,34.5,32.1,25.7,57.8,327,780,1.9,1.24,3.14,1.76,3.0,1.64,1.22,2.87,1.53,2.75
4,Brighton,52.6,21,231,1890,21.0,31,20,51,30,1,1,44,1,28.8,28.0,20.1,48.1,445,882,1.48,0.95,2.43,1.43,2.38,1.37,0.96,2.33,1.33,2.29
5,Chelsea,58.1,21,231,1890,21.0,41,31,72,38,3,3,62,1,42.1,39.8,31.4,71.1,485,879,1.95,1.48,3.43,1.81,3.29,2.01,1.49,3.5,1.89,3.39
6,Crystal Palace,43.6,21,231,1890,21.0,22,18,40,21,1,1,45,1,28.8,28.0,23.0,50.9,293,683,1.05,0.86,1.9,1.0,1.86,1.37,1.09,2.46,1.33,2.43
7,Everton,40.7,20,220,1800,20.0,13,7,20,13,0,0,42,1,19.2,19.2,14.7,33.9,267,556,0.65,0.35,1.0,0.65,1.0,0.96,0.73,1.69,0.96,1.69
8,Fulham,52.6,21,231,1890,21.0,31,27,58,28,3,4,50,2,29.7,26.5,22.9,49.4,449,869,1.48,1.29,2.76,1.33,2.62,1.41,1.09,2.5,1.26,2.35
9,Ipswich Town,41.0,21,231,1890,21.0,19,13,32,17,2,2,58,2,19.5,17.9,13.8,31.7,279,518,0.9,0.62,1.52,0.81,1.43,0.93,0.66,1.58,0.85,1.51
10,Leicester City,46.4,21,231,1890,21.0,23,18,41,21,2,2,48,0,20.9,19.5,16.9,36.3,333,620,1.1,0.86,1.95,1.0,1.86,1.0,0.8,1.8,0.93,1.73
11,Liverpool,57.4,20,220,1800,20.0,48,37,85,43,5,5,42,1,46.0,42.2,33.5,75.7,437,991,2.4,1.85,4.25,2.15,4.0,2.3,1.68,3.98,2.11,3.79
12,Manchester City,61.1,21,231,1890,21.0,37,26,63,36,1,2,42,1,38.1,36.5,31.7,68.2,665,1126,1.76,1.24,3.0,1.71,2.95,1.81,1.51,3.32,1.74,3.25
13,Manchester Utd,53.8,21,231,1890,21.0,25,19,44,23,2,2,50,2,30.8,29.2,24.0,53.3,360,768,1.19,0.9,2.1,1.1,2.0,1.47,1.14,2.61,1.39,2.54
14,Newcastle Utd,51.1,21,231,1890,21.0,36,28,64,35,1,2,43,1,36.8,35.2,29.2,64.5,400,870,1.71,1.33,3.05,1.67,3.0,1.75,1.39,3.14,1.68,3.07
15,Nott'ham Forest,39.4,21,231,1890,21.0,30,21,51,28,2,2,51,2,25.7,24.1,18.3,42.5,365,563,1.43,1.0,2.43,1.33,2.33,1.22,0.87,2.1,1.15,2.02
16,Southampton,51.9,21,231,1890,21.0,12,8,20,12,0,2,61,3,21.1,19.4,16.1,35.5,380,674,0.57,0.38,0.95,0.57,0.95,1.01,0.77,1.77,0.92,1.69
17,Tottenham,57.3,21,231,1890,21.0,41,33,74,41,0,1,43,1,36.7,35.9,28.8,64.6,517,994,1.95,1.57,3.52,1.95,3.52,1.75,1.37,3.12,1.71,3.08
18,West Ham,46.6,21,231,1890,21.0,26,15,41,23,3,3,50,2,29.1,26.8,20.1,46.9,360,691,1.24,0.71,1.95,1.1,1.81,1.38,0.96,2.34,1.28,2.23
19,Wolves,47.4,21,231,1890,21.0,31,27,58,31,0,0,49,1,22.6,22.6,19.0,41.5,327,656,1.48,1.29,2.76,1.48,2.76,1.07,0.9,1.98,1.07,1.98
