,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,Arsenal,54.6,17,187,1530,17.0,33,27,60,31,2,2,39,3,29.3,27.8,22.3,50.1,352,770,1.94,1.59,3.53,1.82,3.41,1.72,1.31,3.03,1.64,2.94
1,Aston Villa,50.1,17,187,1530,17.0,25,20,45,24,1,2,41,1,27.1,25.5,20.1,45.6,308,587,1.47,1.18,2.65,1.41,2.59,1.59,1.18,2.78,1.5,2.68
2,Bournemouth,45.0,17,187,1530,17.0,27,18,45,22,5,6,41,0,34.0,29.3,22.8,52.0,317,686,1.59,1.06,2.65,1.29,2.35,2.0,1.34,3.34,1.72,3.06
3,Brentford,47.9,17,187,1530,17.0,32,20,52,30,2,2,28,1,26.1,24.5,19.0,43.6,258,643,1.88,1.18,3.06,1.76,2.94,1.54,1.12,2.66,1.44,2.56
4,Brighton,53.4,17,187,1530,17.0,26,17,43,26,0,0,37,1,23.9,23.9,16.8,40.7,376,734,1.53,1.0,2.53,1.53,2.53,1.4,0.99,2.4,1.4,2.4
5,Chelsea,57.6,17,187,1530,17.0,37,28,65,34,3,3,53,1,35.3,33.0,26.2,59.2,389,683,2.18,1.65,3.82,2.0,3.65,2.08,1.54,3.62,1.94,3.48
6,Crystal Palace,43.4,17,187,1530,17.0,17,14,31,16,1,1,41,1,23.5,22.7,18.6,41.3,242,560,1.0,0.82,1.82,0.94,1.76,1.38,1.1,2.48,1.33,2.43
7,Everton,39.0,16,176,1440,16.0,12,7,19,12,0,0,30,1,15.8,15.8,12.2,28.1,218,432,0.75,0.44,1.19,0.75,1.19,0.99,0.76,1.75,0.99,1.75
8,Fulham,51.2,17,187,1530,17.0,23,21,44,22,1,2,42,2,22.8,21.2,18.2,39.4,354,695,1.35,1.24,2.59,1.29,2.53,1.34,1.07,2.41,1.25,2.32
9,Ipswich Town,42.9,17,187,1530,17.0,15,12,27,15,0,0,46,2,15.9,15.9,12.4,28.3,239,450,0.88,0.71,1.59,0.88,1.59,0.94,0.73,1.67,0.94,1.67
10,Leicester City,46.6,17,187,1530,17.0,21,17,38,19,2,2,43,0,17.2,15.8,13.8,29.6,266,506,1.24,1.0,2.24,1.12,2.12,1.01,0.81,1.82,0.93,1.74
11,Liverpool,56.4,16,176,1440,16.0,37,28,65,33,4,4,36,1,36.2,33.1,25.9,59.0,327,705,2.31,1.75,4.06,2.06,3.81,2.26,1.62,3.88,2.07,3.69
12,Manchester City,62.3,17,187,1530,17.0,29,20,49,28,1,1,38,1,30.7,29.9,25.8,55.7,569,938,1.71,1.18,2.88,1.65,2.82,1.81,1.52,3.32,1.76,3.28
13,Manchester Utd,54.2,17,187,1530,17.0,20,17,37,18,2,2,40,1,25.4,23.8,20.4,44.1,289,630,1.18,1.0,2.18,1.06,2.06,1.49,1.2,2.69,1.4,2.6
14,Newcastle Utd,50.5,17,187,1530,17.0,26,22,48,25,1,2,36,1,27.6,26.0,21.9,47.9,309,679,1.53,1.29,2.82,1.47,2.76,1.62,1.29,2.91,1.53,2.82
15,Nott'ham Forest,40.6,17,187,1530,17.0,23,14,37,21,2,2,43,2,20.6,19.1,14.5,33.6,309,481,1.35,0.82,2.18,1.24,2.06,1.21,0.85,2.07,1.12,1.98
16,Southampton,52.4,17,187,1530,17.0,11,7,18,11,0,2,52,3,17.1,15.4,12.9,28.3,316,531,0.65,0.41,1.06,0.65,1.06,1.01,0.76,1.77,0.9,1.66
17,Tottenham,57.8,17,187,1530,17.0,37,30,67,37,0,0,36,0,31.8,31.8,25.2,57.1,424,824,2.18,1.76,3.94,2.18,3.94,1.87,1.48,3.36,1.87,3.36
18,West Ham,46.9,17,187,1530,17.0,21,11,32,18,3,3,44,2,24.7,22.4,16.2,38.6,301,582,1.24,0.65,1.88,1.06,1.71,1.45,0.95,2.4,1.32,2.27
19,Wolves,46.6,17,187,1530,17.0,27,24,51,27,0,0,42,1,17.9,17.9,15.4,33.2,243,492,1.59,1.41,3.0,1.59,3.0,1.05,0.9,1.95,1.05,1.95
