Player ID,Name,Last_Name,Team,Position,Cost_Today,GW Points,Minutes,KO_time,Goals,Assists,Clean Sheets,Goals Conceded,Penalties Saved,Penalties Missed,YC,RC,Saves,Total Bonus Points,Total BPS,Influence,Creativity,Threat,ICT Index,xG,xA,xGi,xGc,Transfers In GW,Transfers Out GW,Gameweek,Avail,Opponent,Difficulty
1,Fábio,Fábio Vieira,Arsenal,MID,54,0,0,2025-01-04T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,5,20,u,BHA (A),3
2,Gabriel,G.Jesus,Arsenal,FWD,69,2,90,2025-01-04T17:30:00Z,0,0,0,1,0,0,0,0,0,0,1,7.6,27.1,34.0,6.9,0.46,0.13,0.59,1.52,354779,82921,20,a,BHA (A),3
3,Gabriel,Gabriel,Arsenal,DEF,64,2,90,2025-01-04T17:30:00Z,0,0,0,1,0,0,0,0,0,0,9,10.2,2.2,0.0,1.2,0.00,0.01,0.01,1.52,158836,86441,20,a,BHA (A),3
4,Kai,Havertz,Arsenal,FWD,79,0,0,2025-01-04T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,35788,164278,20,d,BHA (A),3
5,Karl,Hein,Arsenal,GK,40,0,0,2025-01-04T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,63,20,u,BHA (A),3
6,Jurriën,J.Timber,Arsenal,DEF,57,0,0,2025-01-04T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,35909,251774,20,a,BHA (A),3
7,Jorge Luiz,Jorginho,Arsenal,MID,47,2,63,2025-01-04T17:30:00Z,0,0,0,1,0,0,0,0,0,0,16,4.4,14.6,0.0,1.9,0.00,0.16,0.16,1.35,786,1059,20,a,BHA (A),3
8,Jakub,Kiwior,Arsenal,DEF,48,0,0,2025-01-04T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,497,1735,20,a,BHA (A),3
9,Gabriel,Martinelli,Arsenal,MID,68,1,45,2025-01-04T17:30:00Z,0,0,0,1,0,0,0,0,0,0,2,3.6,4.3,6.0,1.4,0.00,0.01,0.01,0.97,131701,37294,20,a,BHA (A),3
12,Ethan,Nwaneri,Arsenal,MID,45,6,45,2025-01-04T17:30:00Z,1,0,0,0,0,0,1,0,0,1,22,34.0,1.3,17.0,5.2,0.07,0.02,0.09,0.55,17289,5268,20,i,BHA (A),3
13,Martin,Ødegaard,Arsenal,MID,84,1,26,2025-01-04T17:30:00Z,0,0,0,0,0,0,0,0,0,0,2,0.2,1.8,6.0,0.8,0.00,0.02,0.02,0.17,31998,94700,20,a,BHA (A),3
15,David,Raya,Arsenal,GK,56,3,90,2025-01-04T17:30:00Z,0,0,0,1,0,0,0,0,3,0,16,24.6,0.0,0.0,2.5,0.00,0.00,0.00,1.52,71761,110857,20,a,BHA (A),3
16,Declan,Rice,Arsenal,MID,62,4,90,2025-01-04T17:30:00Z,0,0,0,1,0,0,0,0,0,2,28,15.4,57.7,9.0,8.2,0.04,0.42,0.46,1.52,10118,15226,20,a,BHA (A),3
17,Bukayo,Saka,Arsenal,MID,103,0,0,2025-01-04T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,1990,271959,20,i,BHA (A),3
18,William,Saliba,Arsenal,DEF,63,2,90,2025-01-04T17:30:00Z,0,0,0,1,0,0,0,0,0,0,8,20.4,1.3,0.0,2.2,0.00,0.01,0.01,1.52,63683,114448,20,a,BHA (A),3
20,Thomas,Thomas,Arsenal,MID,50,2,90,2025-01-04T17:30:00Z,0,0,0,1,0,0,0,0,0,0,10,10.6,2.0,6.0,1.9,0.09,0.03,0.12,1.52,4702,4627,20,a,BHA (A),3
21,Kieran,Tierney,Arsenal,DEF,43,0,0,2025-01-04T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,271,268,20,a,BHA (A),3
22,Tomiyasu,Tomiyasu,Arsenal,DEF,48,0,0,2025-01-04T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,36,63,20,i,BHA (A),3
23,Leandro,Trossard,Arsenal,MID,68,2,90,2025-01-04T17:30:00Z,0,0,0,1,0,0,0,0,0,0,13,2.8,4.9,10.0,1.8,0.09,0.07,0.16,1.52,11407,25851,20,a,BHA (A),3
24,Benjamin,White,Arsenal,DEF,61,0,0,2025-01-04T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,120,5465,20,i,BHA (A),3
25,Oleksandr,Zinchenko,Arsenal,DEF,48,0,0,2025-01-04T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,1124,1296,20,a,BHA (A),3
73,Norberto,Neto,Arsenal,GK,41,0,0,2025-01-04T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,1090,2701,20,a,BHA (A),3
186,Raheem,Sterling,Arsenal,MID,67,0,0,2025-01-04T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,46,1242,20,d,BHA (A),3
578,Riccardo,Calafiori,Arsenal,DEF,58,1,90,2025-01-04T17:30:00Z,0,0,0,1,0,0,1,0,0,0,6,9.0,2.7,2.0,1.4,0.00,0.01,0.01,1.52,7665,4718,20,a,BHA (A),3
