,Player ID,Name,Last_Name,Team,Position,Cost_Today,GW Points,Minutes,KO_time,Goals,Assists,Clean Sheets,Goals Conceded,Penalties Saved,Penalties Missed,YC,RC,Saves,Total Bonus Points,Total BPS,Influence,Creativity,Threat,ICT Index,xG,xA,xGi,xGc,Transfers In GW,Transfers Out GW,Gameweek,Opponent,Difficulty
2,1,Fábio,Fábio Vieira,Arsenal,MID,54,0,0,2024-08-31T11:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,634,3,BHA (H),2
7,2,Gabriel,G.Jesus,Arsenal,FWD,68,0,0,2024-08-31T11:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3238,75821,3,BHA (H),2
12,3,Gabriel,Gabriel,Arsenal,DEF,60,2,90,2024-08-31T11:30:00Z,0,0,0,1,0,0,0,0,0,0,17,20.8,20.8,9,5.1,0.12,0.01,0.13,1.83,86679,85826,3,BHA (H),2
17,4,Kai,Havertz,Arsenal,FWD,81,8,90,2024-08-31T11:30:00Z,1,0,0,1,0,0,0,0,0,2,34,47,24.8,30,10.2,0.77,0.05,0.82,1.83,307787,244346,3,BHA (H),2
22,5,Karl,Hein,Arsenal,GK,40,0,0,2024-08-31T11:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706,3,BHA (H),2
27,6,Jurriën,J.Timber,Arsenal,DEF,55,1,79,2024-08-31T11:30:00Z,0,0,0,1,0,0,1,0,0,0,3,12.8,10.6,4,2.7,0,0.02,0.02,1.55,28883,14363,3,BHA (H),2
32,7,Jorge Luiz,Jorginho,Arsenal,MID,49,0,0,2024-08-31T11:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3276,6910,3,BHA (H),2
37,8,Jakub,Kiwior,Arsenal,DEF,49,0,0,2024-08-31T11:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828,3229,3,BHA (H),2
42,9,Gabriel,Martinelli,Arsenal,MID,70,1,16,2024-08-31T11:30:00Z,0,0,0,0,0,0,0,0,0,0,2,0,0.5,0,0,0,0,0,0.65,21818,57139,3,BHA (H),2
47,12,Ethan,Nwaneri,Arsenal,MID,45,0,0,2024-08-31T11:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3931,4428,3,BHA (H),2
52,13,Martin,Ødegaard,Arsenal,MID,84,2,73,2024-08-31T11:30:00Z,0,0,0,1,0,0,0,0,0,0,9,10,16.8,25,5.2,0.18,0.08,0.26,1.18,52692,261994,3,BHA (H),2
57,15,David,Raya,Arsenal,GK,55,2,90,2024-08-31T11:30:00Z,0,0,0,1,0,0,1,0,3,0,8,33.6,0,0,3.4,0,0.01,0.01,1.83,394083,105121,3,BHA (H),2
62,16,Declan,Rice,Arsenal,MID,64,-2,48,2024-08-31T11:30:00Z,0,0,0,1,0,0,0,1,0,0,-10,0,1.7,6,0.1,0.03,0.03,0.06,0.08,20951,98074,3,BHA (H),2
67,17,Bukayo,Saka,Arsenal,MID,101,6,90,2024-08-31T11:30:00Z,0,1,0,1,0,0,0,0,0,1,21,34.8,21.2,88,14.4,0.95,0.2,1.15,1.83,349415,249527,3,BHA (H),2
72,18,William,Saliba,Arsenal,DEF,60,2,90,2024-08-31T11:30:00Z,0,0,0,1,0,0,0,0,0,0,10,22,1.3,0,2.3,0,0.01,0.01,1.83,186343,169989,3,BHA (H),2
77,20,Thomas,Thomas,Arsenal,MID,50,1,90,2024-08-31T11:30:00Z,0,0,0,1,0,0,1,0,0,0,8,17,0.6,0,1.8,0,0,0,1.83,120463,21758,3,BHA (H),2
82,21,Kieran,Tierney,Arsenal,DEF,44,0,0,2024-08-31T11:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,817,3,BHA (H),2
87,22,Tomiyasu,Tomiyasu,Arsenal,DEF,49,0,0,2024-08-31T11:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,1257,3,BHA (H),2
92,23,Leandro,Trossard,Arsenal,MID,69,1,58,2024-08-31T11:30:00Z,0,0,0,1,0,0,0,0,0,0,11,9.4,15.2,21,4.6,0.03,0.08,0.11,0.93,47196,26322,3,BHA (H),2
97,24,Benjamin,White,Arsenal,DEF,65,2,90,2024-08-31T11:30:00Z,0,0,0,1,0,0,0,0,0,0,8,22,0.8,5,2.8,0.04,0,0.04,1.83,44069,75956,3,BHA (H),2
102,25,Oleksandr,Zinchenko,Arsenal,DEF,50,1,10,2024-08-31T11:30:00Z,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.28,16584,72632,3,BHA (H),2
107,73,Norberto,Neto,Arsenal,GK,45,0,0,2024-08-31T11:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30742,36213,3,BHA (H),2
112,186,Raheem,Sterling,Arsenal,MID,68,0,0,2024-08-31T11:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4626,31386,3,BHA (H),2
117,578,Riccardo,Calafiori,Arsenal,DEF,59,1,31,2024-08-31T11:30:00Z,0,0,0,0,0,0,0,0,0,0,3,2,0.1,0,0.2,0,0,0,0.89,4776,39697,3,BHA (H),2
122,597,Myles,Lewis-Skelly,Arsenal,MID,45,0,0,2024-08-31T11:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109,964,3,BHA (H),2
125,633,Mikel,Merino,Arsenal,MID,60,0,0,2024-08-31T11:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1272,564,3,BHA (H),2
128,638,Salah-Eddine,Oulad M'hand,Arsenal,MID,45,0,0,2024-08-31T11:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,BHA (H),2
131,639,Tommy,Setford,Arsenal,GK,45,0,0,2024-08-31T11:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,BHA (H),2
142,28,Leon,Bailey,Aston Villa,MID,65,1,15,2024-08-31T14:00:00Z,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0.01,0.01,0,64796,67639,3,LEI (A),2
147,29,Ross,Barkley,Aston Villa,MID,54,1,28,2024-08-31T14:00:00Z,0,0,0,1,0,0,0,0,0,0,5,9.4,11.3,0,2.1,0,0.05,0.05,0.28,1955,13909,3,LEI (A),2
152,30,Enzo,Barrenechea,Aston Villa,MID,49,0,0,2024-08-31T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,1251,3,LEI (A),2
157,31,Emiliano,Buendia,Aston Villa,MID,54,0,0,2024-08-31T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850,2690,3,LEI (A),2
162,32,Matty,Cash,Aston Villa,DEF,45,0,0,2024-08-31T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9846,91923,3,LEI (A),2
167,33,Leander,Dendoncker,Aston Villa,MID,45,0,0,2024-08-31T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8559,13950,3,LEI (A),2
172,34,Moussa,Diaby,Aston Villa,MID,65,0,0,2024-08-31T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643,3,LEI (A),2
177,35,Diego Carlos,Diego Carlos,Aston Villa,DEF,45,0,0,2024-08-31T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5501,11517,3,LEI (A),2
182,36,Lucas,Digne,Aston Villa,DEF,45,7,90,2024-08-31T14:00:00Z,0,1,0,1,0,0,0,0,0,2,23,36.4,19.9,0,5.6,0,0.1,0.1,0.45,89835,31942,3,LEI (A),2
187,37,Lewis,Dobbin,Aston Villa,MID,50,0,0,2024-08-31T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,3,LEI (A),2
192,38,Jhon,Duran,Aston Villa,FWD,60,7,29,2024-08-31T14:00:00Z,1,0,0,1,0,0,1,0,0,3,27,33.2,3.2,40,7.6,0.23,0,0.23,0.28,28151,18017,3,LEI (A),2
197,39,Joe,Gauci,Aston Villa,GK,40,0,0,2024-08-31T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20990,7436,3,LEI (A),2
202,40,Kortney,Hause,Aston Villa,DEF,40,0,0,2024-08-31T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8895,7096,3,LEI (A),2
207,41,Samuel,Iling Jr,Aston Villa,MID,54,0,0,2024-08-31T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,2078,3,LEI (A),2
212,42,Boubacar,Kamara,Aston Villa,MID,50,0,0,2024-08-31T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,76,3,LEI (A),2
217,43,Kaine,Kesler-Hayden,Aston Villa,DEF,40,0,0,2024-08-31T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,3,LEI (A),2
222,44,Ezri,Konsa,Aston Villa,DEF,45,2,90,2024-08-31T14:00:00Z,0,0,0,1,0,0,0,0,0,0,13,18.4,0.4,0,1.9,0,0,0,0.45,209809,109922,3,LEI (A),2
227,45,Ian,Maatsen,Aston Villa,DEF,50,1,11,2024-08-31T14:00:00Z,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0.4,0.01,0,0.01,0.05,16361,53138,3,LEI (A),2
232,46,Filip,Marschall,Aston Villa,GK,40,0,0,2024-08-31T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,LEI (A),2
237,47,Emiliano,Martinez,Aston Villa,GK,50,2,90,2024-08-31T14:00:00Z,0,0,0,1,0,0,0,0,2,0,12,15.6,0,0,1.6,0,0,0,0.45,156570,121171,3,LEI (A),2
242,48,John,McGinn,Aston Villa,MID,55,1,90,2024-08-31T14:00:00Z,0,0,0,1,0,0,1,0,0,0,7,1.6,5.8,10,1.7,0.09,0.01,0.1,0.45,15899,27746,3,LEI (A),2
247,49,Tyrone,Mings,Aston Villa,DEF,44,0,0,2024-08-31T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,1128,3,LEI (A),2
252,50,Kosta,Nedeljkovic,Aston Villa,DEF,40,1,11,2024-08-31T14:00:00Z,0,0,0,0,0,0,0,0,0,0,6,2.4,0.8,0,0.3,0,0.01,0.01,0.05,157784,31837,3,LEI (A),2
257,51,Robin,Olsen,Aston Villa,GK,45,0,0,2024-08-31T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,942,3,LEI (A),2
262,52,Pau,Pau,Aston Villa,DEF,45,2,90,2024-08-31T14:00:00Z,0,0,0,1,0,0,0,0,0,0,7,8.8,1.1,0,1,0,0,0,0.45,57871,21133,3,LEI (A),2
267,53,Jacob,Ramsey,Aston Villa,MID,55,2,63,2024-08-31T14:00:00Z,0,0,0,1,0,0,0,0,0,0,13,11.2,12.6,17,4.1,0.06,0.55,0.61,0.4,5783,6077,3,LEI (A),2
272,54,Morgan,Rogers,Aston Villa,MID,51,2,90,2024-08-31T14:00:00Z,0,0,0,1,0,0,0,0,0,0,9,7.4,15.1,0,2.3,0,0.2,0.2,0.45,610894,83615,3,LEI (A),2
277,55,Viljami,Sinisalo,Aston Villa,GK,40,0,0,2024-08-31T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,LEI (A),2
282,56,Lino,Sousa,Aston Villa,DEF,40,0,0,2024-08-31T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3012,3,LEI (A),2
287,57,Youri,Tielemans,Aston Villa,MID,55,1,90,2024-08-31T14:00:00Z,0,0,0,1,0,0,1,0,0,0,17,14.8,17,4,3.6,0,0.3,0.3,0.45,36175,19733,3,LEI (A),2
292,58,Ollie,Watkins,Aston Villa,FWD,90,5,60,2024-08-31T14:00:00Z,0,1,1,0,0,0,0,0,0,0,12,17.2,12.1,26,5.5,0.71,0.01,0.72,0.17,293860,507590,3,LEI (A),2
297,233,Amadou,Onana,Aston Villa,MID,50,9,61,2024-08-31T14:00:00Z,1,0,1,0,0,0,1,0,0,2,23,36,18,43,9.7,0.45,0.03,0.48,0.17,135639,64417,3,LEI (A),2
302,569,Jaden,Jaden,Aston Villa,MID,54,0,0,2024-08-31T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,1455,3,LEI (A),2
