,Player ID,Name,Last_Name,Team,Position,Cost_Today,GW Points,Minutes,KO_time,Goals,Assists,Clean Sheets,Goals Conceded,Penalties Saved,Penalties Missed,YC,RC,Saves,Total Bonus Points,Total BPS,Influence,Creativity,Threat,ICT Index,xG,xA,xGi,xGc,Transfers In GW,Transfers Out GW,Gameweek,Opponent,Difficulty
5,1,Fábio,Fábio Vieira,Arsenal,MID,54,0,0,2024-09-28T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,110,6,LEI (H),2
11,2,Gabriel,G.Jesus,Arsenal,FWD,68,1,1,2024-09-28T14:00:00Z,0,0,0,0,0,0,0,0,0,0,4,2.0,0.0,17.0,1.9,0.11,0.00,0.11,0.00,10600,8238,6,LEI (H),2
17,3,Gabriel,Gabriel,Arsenal,DEF,61,1,90,2024-09-28T14:00:00Z,0,0,0,2,0,0,0,0,0,0,7,19.6,7.3,57.0,8.4,0.27,0.05,0.32,0.32,1038827,32228,6,LEI (H),2
23,4,Kai,Havertz,Arsenal,FWD,82,6,90,2024-09-28T14:00:00Z,1,0,0,2,0,0,0,0,0,0,25,35.6,8.5,100.0,14.4,1.89,0.04,1.93,0.32,419703,217995,6,LEI (H),2
29,5,Karl,Hein,Arsenal,GK,40,0,0,2024-09-28T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,325,6,LEI (H),2
35,6,Jurriën,J.Timber,Arsenal,DEF,55,4,90,2024-09-28T14:00:00Z,0,1,0,2,0,0,0,0,0,0,25,45.6,82.8,11.0,13.9,0.21,0.12,0.33,0.32,71786,23570,6,LEI (H),2
41,7,Jorge Luiz,Jorginho,Arsenal,MID,49,0,0,2024-09-28T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,1712,3158,6,LEI (H),2
47,8,Jakub,Kiwior,Arsenal,DEF,48,0,0,2024-09-28T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,948,1123,6,LEI (H),2
53,9,Gabriel,Martinelli,Arsenal,MID,69,13,73,2024-09-28T14:00:00Z,1,1,0,2,0,0,0,0,0,3,39,52.0,28.2,60.0,14.0,0.39,0.55,0.94,0.32,84010,20824,6,LEI (H),2
59,12,Ethan,Nwaneri,Arsenal,MID,45,1,5,2024-09-28T14:00:00Z,0,0,0,0,0,0,0,0,0,0,6,6.2,11.0,15.0,3.2,0.02,0.16,0.18,0.00,4511,3564,6,LEI (H),2
65,13,Martin,Ødegaard,Arsenal,MID,82,0,0,2024-09-28T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,313,107611,6,LEI (H),2
71,15,David,Raya,Arsenal,GK,56,1,90,2024-09-28T14:00:00Z,0,0,0,2,0,0,0,0,1,0,1,10.8,0.0,0.0,1.1,0.00,0.00,0.00,0.32,492448,304709,6,LEI (H),2
77,16,Declan,Rice,Arsenal,MID,63,2,90,2024-09-28T14:00:00Z,0,0,0,2,0,0,0,0,0,0,22,15.4,29.3,21.0,6.6,0.06,0.22,0.28,0.32,21621,19767,6,LEI (H),2
83,17,Bukayo,Saka,Arsenal,MID,101,3,90,2024-09-28T14:00:00Z,0,0,0,2,0,0,0,0,0,1,37,38.6,114.3,62.0,21.5,0.29,0.79,1.08,0.32,685947,123623,6,LEI (H),2
89,18,William,Saliba,Arsenal,DEF,60,0,90,2024-09-28T14:00:00Z,0,0,0,2,0,0,1,0,0,0,4,13.0,1.5,0.0,1.5,0.00,0.01,0.01,0.32,170729,305908,6,LEI (H),2
95,20,Thomas,Thomas,Arsenal,MID,50,2,84,2024-09-28T14:00:00Z,0,0,0,2,0,0,0,0,0,0,20,13.6,23.9,4.0,4.2,0.00,0.09,0.09,0.32,20855,21006,6,LEI (H),2
101,21,Kieran,Tierney,Arsenal,DEF,44,0,0,2024-09-28T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,46,208,6,LEI (H),2
107,22,Tomiyasu,Tomiyasu,Arsenal,DEF,48,0,0,2024-09-28T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,50,267,6,LEI (H),2
113,23,Leandro,Trossard,Arsenal,MID,69,12,90,2024-09-28T14:00:00Z,1,1,0,2,0,0,0,0,0,2,38,45.2,31.8,61.0,13.8,1.11,0.12,1.23,0.32,18018,34388,6,LEI (H),2
119,24,Benjamin,White,Arsenal,DEF,64,0,0,2024-09-28T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,15911,94022,6,LEI (H),2
