,Opponent,z_score,Av_GW_Points,Position,Difficulty,Team
0,ARS (A),-0.631822630880617,1.57,GK,5,Arsenal
0,ARS (A),-0.631822630880617,1.57,DEF,5,Arsenal
0,ARS (A),-0.34023964543249335,2.94,FWD,5,Arsenal
0,ARS (A),-0.34023964543249335,2.94,MID,5,Arsenal
1,ARS (H),-0.023822384213111312,3.56,GK,3,Arsenal
1,ARS (H),-0.023822384213111312,3.56,DEF,3,Arsenal
1,ARS (H),-0.3646865947559571,2.86,MID,5,Arsenal
1,ARS (H),-0.3646865947559571,2.86,FWD,5,Arsenal
2,AVL (A),-0.4376181746015134,2.62,MID,5,Aston Villa
2,AVL (A),0.07006000681642999,3.87,DEF,3,Aston Villa
2,AVL (A),0.07006000681642999,3.87,GK,3,Aston Villa
2,AVL (A),-0.4376181746015134,2.62,FWD,5,Aston Villa
3,AVL (H),0.122933243438487,4.43,MID,2,Aston Villa
3,AVL (H),-0.0032341405662820585,3.63,DEF,3,Aston Villa
3,AVL (H),-0.0032341405662820585,3.63,GK,3,Aston Villa
3,AVL (H),0.122933243438487,4.43,FWD,2,Aston Villa
4,BHA (A),-0.026483007559162178,3.95,MID,3,Brighton
4,BHA (A),-0.5531511498959316,1.83,DEF,5,Brighton
4,BHA (A),-0.026483007559162178,3.95,FWD,3,Brighton
4,BHA (A),-0.5531511498959316,1.83,GK,5,Brighton
5,BHA (H),0.29385421525746375,4.61,GK,2,Brighton
5,BHA (H),0.2567024707265111,4.87,MID,2,Brighton
5,BHA (H),0.2567024707265111,4.87,FWD,2,Brighton
5,BHA (H),0.29385421525746375,4.61,DEF,2,Brighton
6,BOU (A),0.27699244371071063,4.55,DEF,2,Bournemouth
6,BOU (A),-0.26984552796091266,3.17,MID,5,Bournemouth
6,BOU (A),-0.26984552796091266,3.17,FWD,5,Bournemouth
6,BOU (A),0.27699244371071063,4.55,GK,2,Bournemouth
7,BOU (H),-0.14899890558583306,3.15,GK,4,Bournemouth
7,BOU (H),-0.14899890558583306,3.15,DEF,4,Bournemouth
7,BOU (H),0.3050397647236632,5.02,MID,2,Bournemouth
7,BOU (H),0.3050397647236632,5.02,FWD,2,Bournemouth
8,BRE (A),-0.09483316110880385,3.73,MID,4,Brentford
8,BRE (A),-0.09483316110880385,3.73,FWD,4,Brentford
8,BRE (A),-0.2819989595443499,2.72,GK,4,Brentford
8,BRE (A),-0.2819989595443499,2.72,DEF,4,Brentford
9,BRE (H),0.3120791764708213,5.05,MID,2,Brentford
9,BRE (H),0.3184012840398119,4.69,DEF,2,Brentford
9,BRE (H),0.3120791764708213,5.05,FWD,2,Brentford
9,BRE (H),0.3184012840398119,4.69,GK,2,Brentford
10,BUR (A),-0.046148665773445056,3.89,MID,3,Burnley
10,BUR (A),0.438383685658205,5.08,DEF,2,Burnley
10,BUR (A),-0.046148665773445056,3.89,FWD,3,Burnley
10,BUR (A),0.438383685658205,5.08,GK,2,Burnley
11,BUR (H),0.4951038818969311,5.64,MID,2,Burnley
11,BUR (H),-0.19594010110060373,3.0,DEF,4,Burnley
11,BUR (H),-0.19594010110060373,3.0,GK,4,Burnley
11,BUR (H),0.4951038818969311,5.64,FWD,2,Burnley
12,CHE (A),-0.3196364946868237,2.59,GK,5,Chelsea
12,CHE (A),-0.39701278732827233,2.76,FWD,5,Chelsea
12,CHE (A),-0.3196364946868237,2.59,DEF,5,Chelsea
12,CHE (A),-0.39701278732827233,2.76,MID,5,Chelsea
13,CHE (H),-0.18900560630864896,3.02,DEF,4,Chelsea
13,CHE (H),-0.13218592046093258,3.61,MID,4,Chelsea
13,CHE (H),-0.18900560630864896,3.02,GK,4,Chelsea
13,CHE (H),-0.13218592046093258,3.61,FWD,4,Chelsea
14,CRY (A),0.059699112310917554,3.84,GK,3,Crystal Palace
14,CRY (A),0.059699112310917554,3.84,DEF,3,Crystal Palace
14,CRY (A),-0.00541265947243053,4.02,FWD,3,Crystal Palace
14,CRY (A),-0.00541265947243053,4.02,MID,3,Crystal Palace
15,CRY (H),-0.18645557341765548,3.44,FWD,4,Crystal Palace
15,CRY (H),-0.18645557341765548,3.44,MID,4,Crystal Palace
15,CRY (H),-0.11203271411795117,3.28,GK,3,Crystal Palace
15,CRY (H),-0.11203271411795117,3.28,DEF,3,Crystal Palace
16,EVE (A),-0.1943974738503467,3.41,FWD,4,Everton
16,EVE (A),0.26564832146130773,4.51,DEF,2,Everton
16,EVE (A),0.26564832146130773,4.51,GK,2,Everton
16,EVE (A),-0.1943974738503467,3.41,MID,4,Everton
17,EVE (H),0.26900126399807706,4.52,DEF,2,Everton
17,EVE (H),0.04849231438279125,4.19,FWD,2,Everton
17,EVE (H),0.04849231438279125,4.19,MID,2,Everton
17,EVE (H),0.26900126399807706,4.52,GK,2,Everton
18,FUL (A),-0.3121754423752739,2.62,DEF,4,Fulham
18,FUL (A),0.02698300071091935,4.12,FWD,3,Fulham
18,FUL (A),-0.3121754423752739,2.62,GK,4,Fulham
18,FUL (A),0.02698300071091935,4.12,MID,3,Fulham
19,FUL (H),0.23900337833365656,4.81,MID,2,Fulham
19,FUL (H),0.23900337833365656,4.81,FWD,2,Fulham
19,FUL (H),-0.026430228408376357,3.56,DEF,3,Fulham
19,FUL (H),-0.026430228408376357,3.56,GK,3,Fulham
20,LEE (A),-0.15885746941405374,3.52,MID,4,Leeds
20,LEE (A),-0.15885746941405374,3.52,FWD,4,Leeds
20,LEE (A),-0.22805776118965734,2.89,DEF,4,Leeds
20,LEE (A),-0.22805776118965734,2.89,GK,4,Leeds
21,LEE (H),0.63911906121479,5.74,GK,2,Leeds
21,LEE (H),0.3649698917602793,5.22,FWD,2,Leeds
21,LEE (H),0.3649698917602793,5.22,MID,2,Leeds
21,LEE (H),0.63911906121479,5.74,DEF,2,Leeds
22,LIV (A),-0.15780037974485253,3.12,GK,4,Liverpool
22,LIV (A),-0.10238765176429054,3.71,MID,4,Liverpool
22,LIV (A),-0.10238765176429054,3.71,FWD,4,Liverpool
22,LIV (A),-0.15780037974485253,3.12,DEF,4,Liverpool
23,LIV (H),-0.09423417748526731,3.33,GK,3,Liverpool
23,LIV (H),-0.04774935888390993,3.88,FWD,3,Liverpool
23,LIV (H),-0.04774935888390993,3.88,MID,3,Liverpool
23,LIV (H),-0.09423417748526731,3.33,DEF,3,Liverpool
24,MCI (A),-0.29124991815145834,3.1,MID,5,Man City
24,MCI (A),-0.29124991815145834,3.1,FWD,5,Man City
24,MCI (A),-0.5084997687965156,1.98,DEF,5,Man City
24,MCI (A),-0.5084997687965156,1.98,GK,5,Man City
25,MCI (H),-0.35221993494855963,2.49,DEF,5,Man City
25,MCI (H),-0.35221993494855963,2.49,GK,5,Man City
25,MCI (H),-0.23995890264841702,3.26,MID,5,Man City
