,Opponent,z_score,Av_GW_Points,Position,Difficulty,Team
0,ARS (A),-0.6385994950934153,1.57,GK,5,Arsenal
0,ARS (A),-0.6385994950934153,1.57,DEF,5,Arsenal
0,ARS (A),-0.34202713416269004,2.93,FWD,5,Arsenal
0,ARS (A),-0.34202713416269004,2.93,MID,5,Arsenal
1,ARS (H),-0.031064063695982663,3.56,GK,3,Arsenal
1,ARS (H),-0.031064063695982663,3.56,DEF,3,Arsenal
1,ARS (H),-0.3641939651909771,2.86,MID,5,Arsenal
1,ARS (H),-0.3641939651909771,2.86,FWD,5,Arsenal
2,AVL (A),-0.4381568715623497,2.62,MID,5,Aston Villa
2,AVL (A),0.06274655438744443,3.87,DEF,3,Aston Villa
2,AVL (A),0.06274655438744443,3.87,GK,3,Aston Villa
2,AVL (A),-0.4381568715623497,2.62,FWD,5,Aston Villa
3,AVL (H),0.1036899017805207,4.35,MID,2,Aston Villa
3,AVL (H),0.12031216093863832,4.06,DEF,2,Aston Villa
3,AVL (H),0.12031216093863832,4.06,GK,2,Aston Villa
3,AVL (H),0.1036899017805207,4.35,FWD,2,Aston Villa
4,BHA (A),-0.02120783617428859,3.95,MID,3,Brighton
4,BHA (A),-0.5599881583370939,1.83,DEF,5,Brighton
4,BHA (A),-0.02120783617428859,3.95,FWD,3,Brighton
4,BHA (A),-0.5599881583370939,1.83,GK,5,Brighton
5,BHA (H),0.19150622626665809,4.29,GK,2,Brighton
5,BHA (H),0.22520245049356716,4.74,MID,2,Brighton
5,BHA (H),0.22520245049356716,4.74,FWD,2,Brighton
5,BHA (H),0.19150622626665809,4.29,DEF,2,Brighton
6,BOU (A),0.26952079174633164,4.55,DEF,2,Bournemouth
6,BOU (A),-0.2680117494981633,3.17,MID,5,Bournemouth
6,BOU (A),-0.2680117494981633,3.17,FWD,5,Bournemouth
6,BOU (A),0.26952079174633164,4.55,GK,2,Bournemouth
7,BOU (H),-0.06854232533225378,3.44,GK,3,Bournemouth
7,BOU (H),-0.06854232533225378,3.44,DEF,3,Bournemouth
7,BOU (H),0.2595388064878346,4.85,MID,2,Bournemouth
7,BOU (H),0.2595388064878346,4.85,FWD,2,Bournemouth
8,BRE (A),-0.07605315024626076,3.78,MID,4,Brentford
8,BRE (A),-0.07605315024626076,3.78,FWD,4,Brentford
8,BRE (A),-0.2677226684064465,2.79,GK,4,Brentford
8,BRE (A),-0.2677226684064465,2.79,DEF,4,Brentford
9,BRE (H),0.32214196059859496,5.05,MID,2,Brentford
9,BRE (H),0.3108979750795575,4.69,DEF,2,Brentford
9,BRE (H),0.32214196059859496,5.05,FWD,2,Brentford
9,BRE (H),0.3108979750795575,4.69,GK,2,Brentford
10,BUR (A),-0.13511733463146156,3.59,MID,4,Burnley
10,BUR (A),0.4898691412672906,5.27,DEF,2,Burnley
10,BUR (A),-0.13511733463146156,3.59,FWD,4,Burnley
10,BUR (A),0.4898691412672906,5.27,GK,2,Burnley
11,BUR (H),0.5077548210322528,5.64,MID,2,Burnley
11,BUR (H),-0.20305019684893233,3.0,DEF,4,Burnley
11,BUR (H),-0.20305019684893233,3.0,GK,4,Burnley
11,BUR (H),0.5077548210322528,5.64,FWD,2,Burnley
12,CHE (A),-0.2602160422435207,2.81,GK,4,Chelsea
12,CHE (A),-0.39216159680653667,2.77,FWD,5,Chelsea
12,CHE (A),-0.2602160422435207,2.81,DEF,4,Chelsea
12,CHE (A),-0.39216159680653667,2.77,MID,5,Chelsea
13,CHE (H),-0.1961210034677701,3.02,DEF,4,Chelsea
13,CHE (H),-0.12840549549677963,3.61,MID,4,Chelsea
13,CHE (H),-0.1961210034677701,3.02,GK,4,Chelsea
13,CHE (H),-0.12840549549677963,3.61,FWD,4,Chelsea
14,CRY (A),-0.14588435145434395,3.19,GK,4,Crystal Palace
14,CRY (A),-0.14588435145434395,3.19,DEF,4,Crystal Palace
14,CRY (A),-0.12312967775835527,3.63,FWD,4,Crystal Palace
14,CRY (A),-0.12312967775835527,3.63,MID,4,Crystal Palace
15,CRY (H),-0.1834425764011713,3.44,FWD,4,Crystal Palace
15,CRY (H),-0.1834425764011713,3.44,MID,4,Crystal Palace
15,CRY (H),-0.11920695693686936,3.28,GK,4,Crystal Palace
15,CRY (H),-0.11920695693686936,3.28,DEF,4,Crystal Palace
16,EVE (A),-0.19149678336278958,3.41,FWD,5,Everton
16,EVE (A),0.2581853420612508,4.51,DEF,2,Everton
16,EVE (A),0.2581853420612508,4.51,GK,2,Everton
16,EVE (A),-0.19149678336278958,3.41,MID,5,Everton
17,EVE (H),0.034082198861952816,3.78,DEF,3,Everton
17,EVE (H),0.08209455936468169,4.28,FWD,2,Everton
17,EVE (H),0.08209455936468169,4.28,MID,2,Everton
17,EVE (H),0.034082198861952816,3.78,GK,3,Everton
18,FUL (A),-0.31919667638079446,2.62,DEF,5,Fulham
18,FUL (A),0.033014235692320246,4.12,FWD,2,Fulham
18,FUL (A),-0.31919667638079446,2.62,GK,5,Fulham
18,FUL (A),0.033014235692320246,4.12,MID,2,Fulham
19,FUL (H),0.3165894391326308,5.03,MID,2,Fulham
19,FUL (H),0.3165894391326308,5.03,FWD,2,Fulham
19,FUL (H),0.062494375306575006,3.87,DEF,3,Fulham
19,FUL (H),0.062494375306575006,3.87,GK,3,Fulham
20,LEE (A),-0.15545420720954772,3.52,MID,4,Leeds
20,LEE (A),-0.15545420720954772,3.52,FWD,4,Leeds
20,LEE (A),-0.23514330303536796,2.89,DEF,4,Leeds
20,LEE (A),-0.23514330303536796,2.89,GK,4,Leeds
21,LEE (H),0.6936689465955913,5.94,GK,2,Leeds
21,LEE (H),0.4452889545401564,5.44,FWD,2,Leeds
21,LEE (H),0.4452889545401564,5.44,MID,2,Leeds
21,LEE (H),0.6936689465955913,5.94,DEF,2,Leeds
22,LIV (A),-0.08448399899348974,3.39,GK,3,Liverpool
22,LIV (A),0.021465924239999885,4.09,MID,3,Liverpool
22,LIV (A),0.021465924239999885,4.09,FWD,3,Liverpool
22,LIV (A),-0.08448399899348974,3.39,DEF,3,Liverpool
23,LIV (H),-0.10142202725855298,3.33,GK,3,Liverpool
23,LIV (H),-0.04277491528081466,3.88,FWD,3,Liverpool
23,LIV (H),-0.04277491528081466,3.88,MID,3,Liverpool
23,LIV (H),-0.10142202725855298,3.33,DEF,3,Liverpool
24,MCI (A),-0.28971881948008577,3.1,MID,5,Man City
24,MCI (A),-0.28971881948008577,3.1,FWD,5,Man City
24,MCI (A),-0.5153709131510738,1.98,DEF,5,Man City
24,MCI (A),-0.5153709131510738,1.98,GK,5,Man City
25,MCI (H),-0.28144907053293927,2.74,DEF,4,Man City
25,MCI (H),-0.28144907053293927,2.74,GK,4,Man City
25,MCI (H),-0.18710357956554322,3.42,MID,4,Man City
25,MCI (H),-0.18710357956554322,3.42,FWD,4,Man City
26,MUN (A),0.06596554618442478,3.88,DEF,3,Man Utd
26,MUN (A),-0.025287239700303072,3.94,MID,3,Man Utd
26,MUN (A),0.06596554618442478,3.88,GK,3,Man Utd
26,MUN (A),-0.025287239700303072,3.94,FWD,3,Man Utd
27,MUN (H),-0.37321829476770707,2.44,GK,5,Man Utd
27,MUN (H),-0.37321829476770707,2.44,DEF,5,Man Utd
27,MUN (H),0.053581228469309794,4.19,MID,2,Man Utd
27,MUN (H),0.053581228469309794,4.19,FWD,2,Man Utd
28,NEW (A),-0.3203134694532162,2.62,GK,5,Newcastle
28,NEW (A),-0.27848221854826705,3.13,MID,5,Newcastle
28,NEW (A),-0.27848221854826705,3.13,FWD,5,Newcastle
28,NEW (A),-0.3203134694532162,2.62,DEF,5,Newcastle
