Unnamed: 0,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,vs Arsenal,47.0,1,165,1350,15.0,1,1,26,14,1,1,44,0,0.2,13.4,0.1,22.7,283,424,1.0,0.73,1.73,0.93,1.67,0.94,0.62,1.57,0.89,1.51
1,vs Aston Villa,49.5,1,165,1350,15.0,0,0,38,22,1,2,47,1,0.3,15.9,0.2,27.8,270,485,1.53,1.0,2.53,1.47,2.47,1.16,0.8,1.96,1.06,1.86
2,vs Bournemouth,55.1,1,165,1350,15.0,1,1,36,20,0,0,47,2,1.3,18.0,1.2,32.3,282,539,1.33,1.07,2.4,1.33,2.4,1.2,0.96,2.15,1.2,2.15
3,vs Brentford,52.5,1,165,1350,15.0,2,2,49,26,1,1,34,1,1.5,24.6,1.2,43.7,349,662,1.8,1.47,3.27,1.73,3.2,1.69,1.27,2.96,1.64,2.91
4,vs Brighton,47.3,1,165,1350,15.0,2,1,34,19,2,2,40,3,1.3,21.8,0.9,40.4,239,501,1.4,0.87,2.27,1.27,2.13,1.56,1.24,2.8,1.45,2.69
5,vs Chelsea,43.9,1,165,1350,15.0,3,3,30,15,3,4,46,2,2.8,18.5,2.7,33.7,245,489,1.2,0.8,2.0,1.0,1.8,1.45,1.01,2.46,1.24,2.25
6,vs Crystal Palace,56.0,1,165,1350,15.0,2,2,34,19,0,1,33,1,1.4,20.3,1.3,37.0,270,628,1.27,1.0,2.27,1.27,2.27,1.41,1.11,2.52,1.35,2.46
7,vs Everton,58.9,0,154,1260,14.0,0,0,39,21,0,1,14,1,0.0,18.1,0.0,33.5,247,571,1.5,1.29,2.79,1.5,2.79,1.35,1.1,2.45,1.29,2.4
8,vs Fulham,48.4,1,165,1350,15.0,1,1,37,19,0,0,25,2,1.8,18.0,1.7,32.4,251,561,1.27,1.2,2.47,1.27,2.47,1.2,0.96,2.16,1.2,2.16
9,vs Ipswich Town,57.2,1,165,1350,15.0,2,1,43,24,3,3,25,0,3.2,29.1,2.6,51.9,319,623,1.8,1.07,2.87,1.6,2.67,2.1,1.52,3.62,1.94,3.46
10,vs Leicester City,53.5,1,165,1350,15.0,2,1,48,27,1,1,35,2,1.5,28.9,1.2,50.3,300,735,1.87,1.33,3.2,1.8,3.13,1.98,1.43,3.41,1.93,3.36
11,vs Liverpool,43.4,0,154,1260,14.0,0,0,20,11,0,1,41,0,0.0,12.6,0.0,22.4,220,438,0.79,0.64,1.43,0.79,1.43,0.96,0.7,1.67,0.9,1.6
12,vs Manchester City,36.6,1,165,1350,15.0,2,2,36,18,2,2,39,1,1.3,19.8,1.0,36.2,219,330,1.33,1.07,2.4,1.2,2.27,1.42,1.09,2.52,1.32,2.41
13,vs Manchester Utd,45.7,1,165,1350,15.0,3,3,33,17,1,2,29,1,0.8,20.3,0.7,37.3,257,469,1.2,1.0,2.2,1.13,2.13,1.45,1.13,2.59,1.35,2.49
14,vs Newcastle Utd,50.5,1,165,1350,15.0,4,3,39,20,0,0,48,0,1.2,20.4,0.9,36.6,291,557,1.33,1.27,2.6,1.33,2.6,1.36,1.08,2.44,1.36,2.44
15,vs Nott'ham Forest,59.7,1,165,1350,15.0,2,1,31,17,1,1,48,1,1.6,16.1,0.9,28.8,393,756,1.2,0.87,2.07,1.13,2.0,1.12,0.85,1.98,1.07,1.92
16,vs Southampton,46.3,1,165,1350,15.0,1,0,53,29,2,2,31,1,2.2,33.2,1.7,60.0,314,629,2.07,1.47,3.53,1.93,3.4,2.31,1.79,4.1,2.22,4.0
17,vs Tottenham,41.8,1,165,1350,15.0,4,1,30,17,2,2,38,3,2.8,21.3,1.1,37.5,234,465,1.27,0.73,2.0,1.13,1.87,1.53,1.08,2.6,1.42,2.5
18,vs West Ham,53.1,1,165,1350,15.0,1,1,50,25,2,2,25,0,1.4,25.2,1.1,47.1,320,624,1.8,1.53,3.33,1.67,3.2,1.78,1.46,3.24,1.68,3.14
19,vs Wolves,53.8,1,165,1350,15.0,2,2,62,31,5,5,40,0,1.0,22.1,0.7,40.1,342,674,2.4,1.73,4.13,2.07,3.8,1.74,1.2,2.94,1.47,2.67
