Unnamed: 0,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,vs Arsenal,45.0,1,275,2250,25.0,0,0,38,20,2,2,61,1,0.2,19.8,0.1,34.5,440,663,0.88,0.64,1.52,0.8,1.44,0.86,0.59,1.44,0.79,1.38
1,vs Aston Villa,48.7,2,286,2340,26.0,3,3,68,39,1,2,70,2,2.9,31.1,2.7,54.7,452,876,1.54,1.08,2.62,1.5,2.58,1.26,0.91,2.17,1.2,2.1
2,vs Bournemouth,53.4,1,275,2250,25.0,1,1,51,27,2,2,65,2,0.8,30.4,0.8,54.9,464,891,1.16,0.88,2.04,1.08,1.96,1.28,0.98,2.26,1.22,2.2
3,vs Brentford,52.3,1,275,2250,25.0,0,0,70,39,1,1,51,2,0.8,39.5,0.5,70.2,572,1110,1.6,1.2,2.8,1.56,2.76,1.61,1.23,2.84,1.58,2.81
4,vs Brighton,47.4,1,275,2250,25.0,0,0,58,30,6,6,65,3,0.6,32.2,0.5,60.2,388,814,1.44,0.88,2.32,1.2,2.08,1.47,1.12,2.59,1.29,2.41
5,vs Chelsea,41.4,1,275,2250,25.0,3,3,58,29,5,6,69,2,1.4,30.9,1.2,56.6,376,741,1.36,0.96,2.32,1.16,2.12,1.43,1.03,2.45,1.24,2.26
6,vs Crystal Palace,56.0,1,275,2250,25.0,2,1,53,29,1,2,52,2,0.9,31.7,0.8,57.9,453,1010,1.2,0.92,2.12,1.16,2.08,1.33,1.05,2.38,1.27,2.32
7,vs Everton,59.7,1,275,2250,25.0,1,1,57,31,0,2,29,2,1.6,30.5,1.3,55.3,459,1085,1.24,1.04,2.28,1.24,2.28,1.29,0.99,2.28,1.22,2.21
8,vs Fulham,47.2,1,275,2250,25.0,1,1,58,31,1,1,51,3,0.4,27.2,0.4,48.4,394,899,1.28,1.04,2.32,1.24,2.28,1.12,0.85,1.97,1.09,1.93
9,vs Ipswich Town,59.8,1,275,2250,25.0,1,0,80,45,5,5,39,1,2.4,46.3,1.5,82.9,547,1101,2.0,1.2,3.2,1.8,3.0,2.01,1.46,3.47,1.85,3.32
10,vs Leicester City,54.2,1,275,2250,25.0,2,2,94,52,1,1,45,2,1.4,47.2,1.3,83.7,482,1204,2.12,1.64,3.76,2.08,3.72,1.92,1.46,3.38,1.89,3.35
11,vs Liverpool,42.7,2,286,2340,26.0,3,2,47,26,0,1,67,1,2.1,23.0,1.7,41.3,433,768,1.0,0.81,1.81,1.0,1.81,0.92,0.71,1.63,0.88,1.59
12,vs Manchester City,39.2,1,275,2250,25.0,0,0,61,31,3,3,55,1,0.5,32.2,0.4,59.8,388,610,1.36,1.08,2.44,1.24,2.32,1.38,1.1,2.49,1.29,2.39
13,vs Manchester Utd,46.4,1,275,2250,25.0,1,0,57,31,3,4,46,1,2.2,35.5,1.2,63.3,447,777,1.36,0.92,2.28,1.24,2.16,1.54,1.11,2.66,1.42,2.53
14,vs Newcastle Utd,49.4,1,275,2250,25.0,4,4,63,32,0,0,69,1,1.9,31.3,1.9,56.6,468,901,1.28,1.24,2.52,1.28,2.52,1.25,1.02,2.27,1.25,2.27
15,vs Nott'ham Forest,59.8,1,275,2250,25.0,2,2,52,28,1,1,71,2,2.1,28.0,1.6,49.4,665,1331,1.16,0.92,2.08,1.12,2.04,1.15,0.86,2.01,1.12,1.98
16,vs Southampton,48.7,1,275,2250,25.0,3,3,96,53,4,4,43,1,1.2,54.1,1.2,96.3,515,993,2.28,1.56,3.84,2.12,3.68,2.28,1.69,3.97,2.16,3.85
17,vs Tottenham,42.8,1,275,2250,25.0,0,0,59,33,2,2,62,3,1.5,40.4,1.1,71.4,421,823,1.4,0.96,2.36,1.32,2.28,1.68,1.24,2.92,1.62,2.86
18,vs West Ham,53.0,1,275,2250,25.0,1,0,78,41,3,3,39,0,1.7,40.9,1.2,75.9,558,1099,1.76,1.36,3.12,1.64,3.0,1.73,1.4,3.13,1.64,3.04
19,vs Wolves,53.4,1,275,2250,25.0,2,0,87,45,6,7,61,2,1.7,35.6,0.2,64.7,542,1052,2.04,1.44,3.48,1.8,3.24,1.64,1.17,2.81,1.42,2.59
