Unnamed: 0,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,vs Arsenal,45.6,1,176,1440,16.0,0,0,26,14,1,1,47,0,0.0,13.5,0.1,22.9,296,435,0.94,0.69,1.62,0.87,1.56,0.89,0.59,1.48,0.84,1.43
1,vs Aston Villa,49.5,1,176,1440,16.0,2,2,42,24,1,2,47,1,1.8,17.6,1.5,31.1,291,523,1.56,1.06,2.62,1.5,2.56,1.2,0.84,2.04,1.1,1.94
2,vs Bournemouth,54.7,1,176,1440,16.0,1,0,37,20,1,1,49,2,2.0,19.3,1.2,34.8,301,573,1.31,1.0,2.31,1.25,2.25,1.25,0.97,2.22,1.2,2.17
3,vs Brentford,53.1,1,176,1440,16.0,2,2,53,28,1,1,36,2,2.2,26.8,1.7,47.6,381,709,1.81,1.5,3.31,1.75,3.25,1.72,1.3,3.03,1.68,2.98
4,vs Brighton,46.6,1,176,1440,16.0,3,3,40,22,2,2,44,3,2.2,24.0,2.2,44.8,249,522,1.5,1.0,2.5,1.37,2.37,1.6,1.3,2.9,1.5,2.8
5,vs Chelsea,43.5,1,176,1440,16.0,1,1,32,16,3,4,48,2,1.6,20.1,1.6,36.9,253,527,1.19,0.81,2.0,1.0,1.81,1.46,1.05,2.5,1.26,2.31
6,vs Crystal Palace,56.5,1,176,1440,16.0,0,0,34,19,0,1,34,1,1.0,21.3,0.8,38.8,299,671,1.19,0.94,2.12,1.19,2.12,1.38,1.09,2.47,1.33,2.42
7,vs Everton,60.1,1,165,1350,15.0,0,0,39,21,0,1,14,1,1.2,19.3,1.2,35.9,278,648,1.4,1.2,2.6,1.4,2.6,1.34,1.11,2.45,1.29,2.4
8,vs Fulham,49.2,1,176,1440,16.0,2,2,41,21,0,0,28,3,2.1,20.1,1.9,36.3,269,610,1.31,1.25,2.56,1.31,2.56,1.26,1.01,2.27,1.26,2.27
9,vs Ipswich Town,57.0,1,176,1440,16.0,1,1,45,25,3,3,27,1,1.3,30.3,1.1,54.3,338,662,1.75,1.06,2.81,1.56,2.62,2.04,1.5,3.54,1.9,3.4
10,vs Leicester City,53.9,1,176,1440,16.0,4,3,55,31,1,1,38,2,3.8,32.7,2.8,56.9,320,796,2.0,1.44,3.44,1.94,3.38,2.09,1.51,3.61,2.04,3.56
11,vs Liverpool,43.1,1,165,1350,15.0,2,2,24,13,0,1,45,0,1.2,13.8,1.1,24.8,242,468,0.87,0.73,1.6,0.87,1.6,0.98,0.73,1.71,0.92,1.65
12,vs Manchester City,37.3,1,176,1440,16.0,2,1,39,19,3,3,40,1,2.1,21.0,1.3,38.7,238,357,1.37,1.06,2.44,1.19,2.25,1.46,1.1,2.57,1.32,2.42
13,vs Manchester Utd,46.1,1,176,1440,16.0,1,0,34,18,1,2,30,1,0.9,21.2,0.8,39.0,277,499,1.19,0.94,2.12,1.13,2.06,1.42,1.11,2.53,1.33,2.44
14,vs Newcastle Utd,49.9,1,176,1440,16.0,0,0,39,20,0,0,51,0,0.2,20.6,0.1,36.9,302,582,1.25,1.19,2.44,1.25,2.44,1.29,1.02,2.31,1.29,2.31
15,vs Nott'ham Forest,59.1,1,176,1440,16.0,1,1,33,18,1,1,49,1,0.4,16.5,0.3,29.6,412,808,1.19,0.87,2.06,1.13,2.0,1.08,0.82,1.9,1.03,1.85
16,vs Southampton,47.0,1,176,1440,16.0,5,3,61,34,2,2,34,1,2.4,35.6,1.9,64.3,338,665,2.25,1.56,3.81,2.12,3.69,2.31,1.8,4.11,2.22,4.02
17,vs Tottenham,41.8,1,176,1440,16.0,0,0,30,17,2,2,39,3,0.9,22.2,0.8,39.1,250,483,1.19,0.69,1.87,1.06,1.75,1.49,1.06,2.54,1.39,2.44
18,vs West Ham,53.1,1,176,1440,16.0,1,0,51,26,2,2,25,0,2.0,27.1,1.2,50.2,342,674,1.75,1.44,3.19,1.62,3.06,1.79,1.44,3.23,1.7,3.14
19,vs Wolves,53.3,1,176,1440,16.0,1,1,64,32,5,5,42,0,1.1,23.2,1.0,42.3,363,703,2.31,1.69,4.0,2.0,3.69,1.7,1.19,2.89,1.45,2.64
