Unnamed: 0,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,vs Arsenal,49.7,1,121,990,11.0,1,1,21,11,1,1,31,0,1.5,11.1,1.3,19.3,236,344,1.09,0.82,1.91,1.0,1.82,1.09,0.74,1.83,1.01,1.75
1,vs Aston Villa,49.4,1,121,990,11.0,2,1,28,16,1,2,38,1,2.0,11.7,1.3,21.1,191,357,1.55,1.0,2.55,1.45,2.45,1.21,0.85,2.06,1.07,1.92
2,vs Bournemouth,55.7,1,121,990,11.0,3,2,27,15,0,0,34,1,1.5,14.4,1.3,25.9,201,398,1.36,1.09,2.45,1.36,2.45,1.31,1.04,2.35,1.31,2.35
3,vs Brentford,52.9,1,121,990,11.0,2,1,39,21,0,0,31,1,2.6,19.3,1.5,33.9,249,498,1.91,1.64,3.55,1.91,3.55,1.75,1.33,3.08,1.75,3.08
4,vs Brighton,46.2,1,121,990,11.0,1,0,25,13,2,2,31,3,2.2,16.8,1.8,31.7,180,359,1.36,0.91,2.27,1.18,2.09,1.67,1.36,3.03,1.53,2.88
5,vs Chelsea,45.6,1,121,990,11.0,1,1,21,11,2,3,37,1,1.6,12.7,1.2,22.4,191,396,1.18,0.73,1.91,1.0,1.73,1.37,0.88,2.25,1.15,2.03
6,vs Crystal Palace,54.4,1,121,990,11.0,2,2,26,15,0,0,23,0,1.8,16.1,1.8,29.3,198,461,1.36,1.0,2.36,1.36,2.36,1.47,1.2,2.66,1.47,2.66
7,vs Everton,60.7,1,121,990,11.0,0,0,31,17,0,1,12,0,0.8,15.2,0.8,27.8,204,494,1.55,1.27,2.82,1.55,2.82,1.45,1.15,2.6,1.38,2.53
8,vs Fulham,46.5,1,121,990,11.0,0,0,23,12,0,0,21,2,1.5,12.7,1.0,22.7,169,383,1.09,1.0,2.09,1.09,2.09,1.15,0.91,2.06,1.15,2.06
9,vs Ipswich Town,59.2,1,121,990,11.0,1,1,35,20,2,2,19,0,1.6,22.6,1.3,40.0,243,473,2.0,1.18,3.18,1.82,3.0,2.2,1.58,3.78,2.05,3.63
10,vs Leicester City,52.3,1,121,990,11.0,2,2,33,18,1,1,27,2,0.7,19.2,0.7,33.6,214,520,1.73,1.27,3.0,1.64,2.91,1.82,1.3,3.12,1.75,3.05
11,vs Liverpool,42.8,1,121,990,11.0,0,0,11,6,0,0,33,0,1.3,9.3,0.8,16.8,168,354,0.55,0.45,1.0,0.55,1.0,0.84,0.68,1.53,0.84,1.53
12,vs Manchester City,36.1,1,121,990,11.0,2,1,21,11,1,1,31,1,2.2,12.3,1.9,22.5,143,233,1.09,0.82,1.91,1.0,1.82,1.19,0.93,2.12,1.11,2.05
13,vs Manchester Utd,47.8,1,121,990,11.0,0,0,21,11,1,2,23,1,0.6,15.2,0.6,28.4,210,377,1.09,0.82,1.91,1.0,1.82,1.52,1.2,2.72,1.38,2.58
14,vs Newcastle Utd,51.0,1,121,990,11.0,1,1,20,10,0,0,37,0,0.5,14.6,0.5,26.7,222,405,0.91,0.91,1.82,0.91,1.82,1.33,1.1,2.43,1.33,2.43
15,vs Nott'ham Forest,57.9,1,121,990,11.0,3,2,16,9,1,1,40,1,1.7,10.4,1.3,18.3,283,546,0.91,0.55,1.45,0.82,1.36,1.01,0.72,1.74,0.94,1.67
16,vs Southampton,43.4,1,121,990,11.0,2,2,36,20,1,1,24,1,1.2,21.8,1.2,40.8,222,430,1.91,1.36,3.27,1.82,3.18,2.04,1.73,3.77,1.98,3.71
17,vs Tottenham,38.5,1,121,990,11.0,2,1,21,13,0,0,28,2,1.6,13.0,0.5,22.6,135,271,1.18,0.73,1.91,1.18,1.91,1.18,0.87,2.05,1.18,2.05
18,vs West Ham,54.5,1,121,990,11.0,0,0,34,18,0,0,17,0,1.0,18.4,1.0,34.7,239,461,1.64,1.45,3.09,1.64,3.09,1.68,1.48,3.16,1.68,3.16
19,vs Wolves,55.5,1,121,990,11.0,0,0,49,25,2,2,29,0,0.7,18.2,0.4,33.1,283,528,2.45,2.0,4.45,2.27,4.27,1.8,1.36,3.15,1.65,3.01
