,Unnamed: 0,Player ID,Name,Last_Name,Position,Team,Cost_Today,Total Points,Form,Points/Game,xGi,xGc,Selection %,Goals,Assists,Clean Sheets,GW Points,Total Bonus Points,Total BPS,Goals Conceded,Minutes,YC,RC,Saves,Penalties Saved,Penalties Missed,Transfers Out GW,Transfers in GW,Influence,Creativity,Threat,ICT Index,GW4,GW5,GW6,GW7,GW8,GW9,CGW,NGW,NGW2,NGW3,NGW4,NGW5,Diff_Score_1_GW,Diff_Score_2_GW,Diff_Score_3_GW,Diff_Score_4_GW,Diff_Score_5_GW,FDI_1,FDI_2,FDI_3,FDI_4,FDI_5
1891,473,474,Sugawara,Sugawara,DEF,Southampton,45,11,3.3,2.8,0.31,2.38,0.3,1,0,0,1,0,53,8,296,0,0,0,0,0,970,1883,100.2,80.6,35,21.5,MUN (H),IPS (H),BOU (A),ARS (A),LEI (H),MCI (A),3,2,2,5,2,5,2,4,9,11,16,0.825,0.3667,0.3,0.2062,4
1895,474,475,Charlie,Taylor,DEF,Southampton,40,1,0.3,1,0.06,1.22,4.5,0,0,0,0,0,3,0,14,0,0,0,0,0,9497,2294,0.8,1.6,2,0.4,MUN (H),IPS (H),BOU (A),ARS (A),LEI (H),MCI (A),3,2,2,5,2,5,2,4,9,11,16,0.075,0.0333,0.0273,0.0188,4
1899,475,476,Kyle,Walker-Peters,DEF,Southampton,45,6,1.3,1.5,0.09,2.1,0.5,0,0,0,1,0,30,8,350,0,0,0,0,0,1134,1138,52.4,33.4,53,13.9,MUN (H),IPS (H),BOU (A),ARS (A),LEI (H),MCI (A),3,2,2,5,2,5,2,4,9,11,16,0.325,0.1444,0.1182,0.0812,4
1903,476,477,Nathan,Wood,DEF,Southampton,40,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3153,3926,0,0,0,0,MUN (H),IPS (H),BOU (A),ARS (A),LEI (H),MCI (A),3,2,2,5,2,5,2,4,9,11,16,0,0,0,0,
1907,477,478,Ashley,A.Phillips,DEF,Spurs,40,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1317,0,0,0,0,0,ARS (H),BRE (H),MUN (A),BHA (A),WHU (H),CRY (A),5,2,3,2,2,3,2,5,7,9,12,0,0,0,0,
1911,478,479,Brandon,Austin,GK,Spurs,40,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,679,865,0,0,0,0,ARS (H),BRE (H),MUN (A),BHA (A),WHU (H),CRY (A),5,2,3,2,2,3,2,5,7,9,12,0,0,0,0,
1915,479,480,Rodrigo,Bentancur,MID,Spurs,50,2,0.5,0.7,0.22,0.97,0.2,0,0,0,1,0,24,2,152,3,0,0,0,0,591,974,15.6,14,29,5.8,ARS (H),BRE (H),MUN (A),BHA (A),WHU (H),CRY (A),5,2,3,2,2,3,2,5,7,9,12,0.1,0.0714,0.0556,0.0417,5
1919,480,481,Lucas,Bergvall,MID,Spurs,45,3,0.8,1,0.66,0.35,1,0,0,0,0,0,13,0,31,0,0,0,0,0,3399,3589,13.2,25.6,7,4.6,ARS (H),BRE (H),MUN (A),BHA (A),WHU (H),CRY (A),5,2,3,2,2,3,2,5,7,9,12,0.16,0.1143,0.0889,0.0667,5
1923,481,482,Yves,Bissouma,MID,Spurs,50,10,2.5,5,0.12,1.52,0.4,1,0,1,0,1,55,2,152,1,0,0,0,0,4800,419,55.4,35.5,9,10,ARS (H),BRE (H),MUN (A),BHA (A),WHU (H),CRY (A),5,2,3,2,2,3,2,5,7,9,12,0.5,0.3571,0.2778,0.2083,5
1927,482,483,Bryan,Bryan,MID,Spurs,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,ARS (H),BRE (H),MUN (A),BHA (A),WHU (H),CRY (A),5,2,3,2,2,3,2,5,7,9,12,0,0,0,0,
1931,483,484,Ben,Davies,DEF,Spurs,44,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,541,271,0,0,0,0,ARS (H),BRE (H),MUN (A),BHA (A),WHU (H),CRY (A),5,2,3,2,2,3,2,5,7,9,12,0,0,0,0,
1935,484,485,Alfie,Devine,MID,Spurs,45,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0,ARS (H),BRE (H),MUN (A),BHA (A),WHU (H),CRY (A),5,2,3,2,2,3,2,5,7,9,12,0,0,0,0,
1939,485,486,Radu,Dragusin,DEF,Spurs,44,1,0.2,1,0.03,1.57,0.2,0,0,0,0,0,5,2,90,0,0,0,0,0,709,265,16.6,1.7,6,2.4,ARS (H),BRE (H),MUN (A),BHA (A),WHU (H),CRY (A),5,2,3,2,2,3,2,5,7,9,12,0.04,0.0286,0.0222,0.0167,5
1943,486,487,Emerson,E.Royal,DEF,Spurs,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,ARS (H),BRE (H),MUN (A),BHA (A),WHU (H),CRY (A),5,2,3,2,2,3,2,5,7,9,12,0,0,0,0,
1947,487,488,Fraser,Forster,GK,Spurs,44,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,477,169,0,0,0,0,ARS (H),BRE (H),MUN (A),BHA (A),WHU (H),CRY (A),5,2,3,2,2,3,2,5,7,9,12,0,0,0,0,
1951,488,489,Archie,Gray,MID,Spurs,49,2,0.5,1,0.03,0.36,0.2,0,0,0,0,0,5,0,30,0,0,0,0,0,861,269,7.2,2.6,0,1,ARS (H),BRE (H),MUN (A),BHA (A),WHU (H),CRY (A),5,2,3,2,2,3,2,5,7,9,12,0.1,0.0714,0.0556,0.0417,5
1955,489,490,Pierre-Emile,Højbjerg,MID,Spurs,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,ARS (H),BRE (H),MUN (A),BHA (A),WHU (H),CRY (A),5,2,3,2,2,3,2,5,7,9,12,0,0,0,0,
1959,490,491,Brennan,Johnson,MID,Spurs,64,11,2.8,2.8,0.38,1.2,0.5,0,1,1,2,0,35,3,279,0,0,0,0,0,1760,1253,32.2,36.4,139,20.8,ARS (H),BRE (H),MUN (A),BHA (A),WHU (H),CRY (A),5,2,3,2,2,3,2,5,7,9,12,0.56,0.4,0.3111,0.2333,5
1963,491,492,Dejan,Kulusevski,MID,Spurs,63,10,2.5,2.5,0.26,1.2,1.6,0,1,1,1,0,31,3,257,1,0,0,0,0,6284,4644,51.4,106,86,24.3,ARS (H),BRE (H),MUN (A),BHA (A),WHU (H),CRY (A),5,2,3,2,2,3,2,5,7,9,12,0.5,0.3571,0.2778,0.2083,5
1967,492,493,Giovani,Lo Celso,MID,Spurs,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,0,0,0,0,0,ARS (H),BRE (H),MUN (A),BHA (A),WHU (H),CRY (A),5,2,3,2,2,3,2,5,7,9,12,0,0,0,0,
1971,493,494,James,Maddison,MID,Spurs,75,14,3.5,3.5,0.65,1.2,4.2,0,2,1,2,0,83,4,316,1,0,0,0,0,16241,9564,105.4,173.5,78,35.7,ARS (H),BRE (H),MUN (A),BHA (A),WHU (H),CRY (A),5,2,3,2,2,3,2,5,7,9,12,0.7,0.5,0.3889,0.2917,5
1975,494,495,Pedro,Pedro Porro,DEF,Spurs,55,18,4.5,4.5,0.25,1.06,33.9,1,0,1,2,1,73,4,360,0,0,0,0,0,44332,53399,129.2,153.8,47,33,ARS (H),BRE (H),MUN (A),BHA (A),WHU (H),CRY (A),5,2,3,2,2,3,2,5,7,9,12,0.9,0.6429,0.5,0.375,5
1979,495,496,Sergio,Reguilón,DEF,Spurs,44,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,813,259,0,0,0,0,ARS (H),BRE (H),MUN (A),BHA (A),WHU (H),CRY (A),5,2,3,2,2,3,2,5,7,9,12,0,0,0,0,
1983,496,497,Richarlison,Richarlison,FWD,Spurs,69,2,0.5,1,0.68,0.22,0.5,0,0,0,0,0,4,0,25,0,0,0,0,0,3640,72,3.2,2.2,7,1.1,ARS (H),BRE (H),MUN (A),BHA (A),WHU (H),CRY (A),5,2,3,2,2,3,2,5,7,9,12,0.1,0.0714,0.0556,0.0417,5
1987,497,498,Cristian,Romero,DEF,Spurs,51,19,4.8,4.8,0.26,1.08,10.1,1,0,1,2,2,93,4,360,0,0,0,0,0,20405,35024,117.6,35.3,77,23.1,ARS (H),BRE (H),MUN (A),BHA (A),WHU (H),CRY (A),5,2,3,2,2,3,2,5,7,9,12,0.96,0.6857,0.5333,0.4,5
1991,498,499,Pape Matar,P.M.Sarr,MID,Spurs,49,4,1,1,0.14,0.75,0.2,0,0,0,1,0,36,2,167,1,0,0,0,0,966,682,35.8,36.5,30,10.2,ARS (H),BRE (H),MUN (A),BHA (A),WHU (H),CRY (A),5,2,3,2,2,3,2,5,7,9,12,0.2,0.1429,0.1111,0.0833,5
1995,499,500,Dane,Scarlett,FWD,Spurs,45,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,375,0,0,0,0,0,ARS (H),BRE (H),MUN (A),BHA (A),WHU (H),CRY (A),5,2,3,2,2,3,2,5,7,9,12,0,0,0,0,
1999,500,501,Oliver,Skipp,MID,Leicester,49,4,1,1.3,0.13,2.07,0,0,0,0,2,0,28,4,176,1,0,0,0,0,157,247,21,30.9,9,6,CRY (A),EVE (H),ARS (A),BOU (H),SOU (A),NFO (H),3,2,5,2,2,2,2,7,9,11,13,0.1429,0.1111,0.0909,0.0769,6.9979
2003,501,502,Manor,Solomon,MID,Spurs,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,ARS (H),BRE (H),MUN (A),BHA (A),WHU (H),CRY (A),5,2,3,2,2,3,2,5,7,9,12,0,0,0,0,
2007,502,503,Son,Son,MID,Spurs,100,23,5.8,5.8,0.49,1.06,8.7,2,0,1,2,4,106,4,360,0,0,0,0,0,33932,26358,112.4,107.9,92,31.3,ARS (H),BRE (H),MUN (A),BHA (A),WHU (H),CRY (A),5,2,3,2,2,3,2,5,7,9,12,1.16,0.8286,0.6444,0.4833,5
2011,503,504,Djed,Spence,DEF,Spurs,44,2,0.5,1,0,0.3,0.1,0,0,0,0,0,8,0,18,0,0,0,0,0,246,98,3.8,2.4,2,0.8,ARS (H),BRE (H),MUN (A),BHA (A),WHU (H),CRY (A),5,2,3,2,2,3,2,5,7,9,12,0.1,0.0714,0.0556,0.0417,5
2015,504,505,Destiny,Udogie,DEF,Spurs,50,10,2.5,2.5,0.03,1.14,3.4,0,0,1,1,0,50,4,342,1,0,0,0,0,8436,7786,44,33.1,20,9.6,ARS (H),BRE (H),MUN (A),BHA (A),WHU (H),CRY (A),5,2,3,2,2,3,2,5,7,9,12,0.5,0.3571,0.2778,0.2083,5
2019,505,506,Micky,Van de Ven,DEF,Spurs,45,12,3,4,0.04,0.92,7.2,0,1,1,1,0,61,2,270,1,0,0,0,0,10148,20024,65,17.7,17,10,ARS (H),BRE (H),MUN (A),BHA (A),WHU (H),CRY (A),5,2,3,2,2,3,2,5,7,9,12,0.6,0.4286,0.3333,0.25,5
2023,506,507,Alejo,Veliz,FWD,Spurs,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,ARS (H),BRE (H),MUN (A),BHA (A),WHU (H),CRY (A),5,2,3,2,2,3,2,5,7,9,12,0,0,0,0,
2027,507,508,Guglielmo,Vicario,GK,Spurs,50,11,2.8,2.8,0,1.08,3.7,0,0,1,2,0,58,4,360,1,0,7,0,0,7783,5673,76.2,0,0,7.6,ARS (H),BRE (H),MUN (A),BHA (A),WHU (H),CRY (A),5,2,3,2,2,3,2,5,7,9,12,0.56,0.4,0.3111,0.2333,5
2031,508,509,Timo,Werner,MID,Spurs,63,3,0.8,1,0.09,2.51,0.2,0,0,0,1,0,13,1,38,0,0,0,0,0,666,254,12.6,8.3,8,2.9,ARS (H),BRE (H),MUN (A),BHA (A),WHU (H),CRY (A),5,2,3,2,2,3,2,5,7,9,12,0.16,0.1143,0.0889,0.0667,5
2035,509,510,Alfie,Whiteman,GK,Spurs,40,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1637,1015,0,0,0,0,ARS (H),BRE (H),MUN (A),BHA (A),WHU (H),CRY (A),5,2,3,2,2,3,2,5,7,9,12,0,0,0,0,
2039,510,511,Edson,Álvarez,MID,West Ham,50,4,1.3,1.3,0.14,1.94,0.1,0,0,0,1,0,24,3,169,1,0,0,0,0,417,497,25.6,27.9,1,5.5,FUL (A),CHE (H),BRE (A),IPS (H),TOT (A),MUN (H),3,3,2,2,4,3,3,5,7,11,14,0.26,0.1857,0.1182,0.0929,5
2043,511,512,Michail,Antonio,FWD,West Ham,55,7,1.7,1.8,0.3,2.02,1.4,0,0,1,1,0,9,4,248,0,0,0,0,0,7519,4279,2,7.2,35,3.6,FUL (A),CHE (H),BRE (A),IPS (H),TOT (A),MUN (H),3,3,2,2,4,3,3,5,7,11,14,0.34,0.2429,0.1545,0.1214,5
2047,512,513,Alphonse,Areola,GK,West Ham,45,11,3.3,2.8,0,1.89,8.1,0,0,1,3,0,43,5,315,0,0,10,0,0,13113,8787,78.8,0,0,7.9,FUL (A),CHE (H),BRE (A),IPS (H),TOT (A),MUN (H),3,3,2,2,4,3,3,5,7,11,14,0.66,0.4714,0.3,0.2357,5
2051,513,514,Jarrod,Bowen,MID,West Ham,75,20,6,5,0.29,1.98,6.1,1,2,1,5,0,63,5,337,0,0,0,0,0,14584,24493,98.4,129.5,74,30.1,FUL (A),CHE (H),BRE (A),IPS (H),TOT (A),MUN (H),3,3,2,2,4,3,3,5,7,11,14,1.2,0.8571,0.5455,0.4286,5
2055,514,515,Maxwel,Cornet,MID,Southampton,49,0,0,0,0,2.84,0,0,0,0,0,0,3,1,26,1,0,0,0,0,102,58,5.4,2,2,0.9,MUN (H),IPS (H),BOU (A),ARS (A),LEI (H),MCI (A),3,2,2,5,2,5,2,4,9,11,16,0,0,0,0,
2059,515,516,Vladimír,Coufal,DEF,West Ham,45,9,2.7,2.2,0.06,1.9,0.8,0,0,1,1,0,18,3,198,0,0,0,0,0,2094,574,19.2,17.5,1,3.5,FUL (A),CHE (H),BRE (A),IPS (H),TOT (A),MUN (H),3,3,2,2,4,3,3,5,7,11,14,0.54,0.3857,0.2455,0.1929,5
2063,516,517,Aaron,Cresswell,DEF,West Ham,40,1,0.3,1,0,2.7,1.8,0,0,0,0,0,3,0,1,0,0,0,0,0,3968,2800,0,0,0,0,FUL (A),CHE (H),BRE (A),IPS (H),TOT (A),MUN (H),3,3,2,2,4,3,3,5,7,11,14,0.06,0.0429,0.0273,0.0214,5
2067,517,518,Flynn,Downes,MID,Southampton,49,7,1.7,1.8,0.18,2.04,0.1,0,0,0,2,0,55,8,360,1,0,0,0,0,214,543,63.8,110.7,20,19.5,MUN (H),IPS (H),BOU (A),ARS (A),LEI (H),MCI (A),3,2,2,5,2,5,2,4,9,11,16,0.425,0.1889,0.1545,0.1062,4
2071,518,519,George,Earthy,MID,West Ham,45,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,FUL (A),CHE (H),BRE (A),IPS (H),TOT (A),MUN (H),3,3,2,2,4,3,3,5,7,11,14,0,0,0,0,
2075,519,520,Emerson,Emerson,DEF,West Ham,45,8,2.3,2,0.05,1.91,0.7,0,0,1,1,0,35,5,304,1,0,0,0,0,3620,201,39.8,45.9,21,10.7,FUL (A),CHE (H),BRE (A),IPS (H),TOT (A),MUN (H),3,3,2,2,4,3,3,5,7,11,14,0.46,0.3286,0.2091,0.1643,5
2079,520,521,Łukasz,Fabianski,GK,West Ham,40,1,0.3,1,0,2.58,15.3,0,0,0,0,0,4,1,45,0,0,2,0,0,15808,27074,16.4,0,0,1.6,FUL (A),CHE (H),BRE (A),IPS (H),TOT (A),MUN (H),3,3,2,2,4,3,3,5,7,11,14,0.06,0.0429,0.0273,0.0214,5
2083,521,522,Wes,Foderingham,GK,West Ham,45,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,423,143,0,0,0,0,FUL (A),CHE (H),BRE (A),IPS (H),TOT (A),MUN (H),3,3,2,2,4,3,3,5,7,11,14,0,0,0,0,
2087,522,523,Danny,Ings,FWD,West Ham,50,9,2.7,4.5,3.46,1.66,1.4,1,0,0,8,3,31,0,13,0,0,0,0,0,5202,26632,36.2,0.3,34,7.1,FUL (A),CHE (H),BRE (A),IPS (H),TOT (A),MUN (H),3,3,2,2,4,3,3,5,7,11,14,0.54,0.3857,0.2455,0.1929,5
2091,523,524,Max,Kilman,DEF,West Ham,45,15,4.7,3.8,0.09,1.98,3,0,1,1,2,3,53,6,360,1,0,0,0,0,7599,7211,100.8,33.3,13,14.7,FUL (A),CHE (H),BRE (A),IPS (H),TOT (A),MUN (H),3,3,2,2,4,3,3,5,7,11,14,0.94,0.6714,0.4273,0.3357,5
2095,524,525,Mohammed,Kudus,MID,West Ham,64,9,2.3,2.2,0.26,1.99,5.5,0,0,1,2,0,39,6,357,0,0,0,0,0,27746,7721,37.4,77.5,49,16.4,FUL (A),CHE (H),BRE (A),IPS (H),TOT (A),MUN (H),3,3,2,2,4,3,3,5,7,11,14,0.46,0.3286,0.2091,0.1643,5
2099,525,526,Luis Guilherme,L.Guilherme,MID,West Ham,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,34,0,0,0,0,FUL (A),CHE (H),BRE (A),IPS (H),TOT (A),MUN (H),3,3,2,2,4,3,3,5,7,11,14,0,0,0,0,
2103,526,527,Lucas,L.Paquetá,MID,West Ham,60,12,2,3,0.34,2.07,2.1,1,0,1,1,0,41,4,298,1,0,0,0,0,12436,4995,59.4,48.3,31,13.8,FUL (A),CHE (H),BRE (A),IPS (H),TOT (A),MUN (H),3,3,2,2,4,3,3,5,7,11,14,0.4,0.2857,0.1818,0.1429,5
2107,527,528,Konstantinos,Mavropanos,DEF,West Ham,45,12,3.7,3,0.03,1.98,0.2,0,0,1,2,2,56,6,360,0,0,0,0,0,493,574,108,2.6,25,13.6,FUL (A),CHE (H),BRE (A),IPS (H),TOT (A),MUN (H),3,3,2,2,4,3,3,5,7,11,14,0.74,0.5286,0.3364,0.2643,5
2111,528,529,Nayef,N.Aguerd,DEF,West Ham,44,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,658,0,0,0,0,0,FUL (A),CHE (H),BRE (A),IPS (H),TOT (A),MUN (H),3,3,2,2,4,3,3,5,7,11,14,0,0,0,0,
2115,529,530,Tomáš,Souček,MID,West Ham,50,15,3.3,3.8,0.7,1.96,3.2,1,1,1,1,1,39,4,225,1,0,0,0,0,12811,5007,40.8,36.8,84,16,FUL (A),CHE (H),BRE (A),IPS (H),TOT (A),MUN (H),3,3,2,2,4,3,3,5,7,11,14,0.66,0.4714,0.3,0.2357,5
2119,530,531,James,Ward-Prowse,MID,Nottingham Forest,63,4,1,2,0.01,1.03,1,0,0,1,3,0,16,1,106,0,0,0,0,0,2714,1181,13.6,2.8,0,1.7,LIV (A),BHA (A),FUL (H),CHE (A),CRY (H),LEI (A),5,2,2,4,2,2,2,4,8,10,12,0.25,0.125,0.1,0.0833,4
2123,531,532,Kurt,Zouma,DEF,West Ham,44,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,3207,0,0,0,0,0,FUL (A),CHE (H),BRE (A),IPS (H),TOT (A),MUN (H),3,3,2,2,4,3,3,5,7,11,14,0,0,0,0,
2127,532,533,Rayan,Aït-Nouri,DEF,Wolves,45,4,1,1,0.2,1.12,2,0,1,0,0,0,5,10,294,2,0,0,0,0,11011,992,49,40.1,38,12.8,NEW (H),AVL (A),LIV (H),BRE (A),MCI (H),BHA (A),3,4,4,2,5,2,4,8,10,15,17,0.125,0.1,0.0667,0.0588,8
2131,533,534,Boubacar,B.Traore,MID,Wolves,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,22,0,0,0,0,NEW (H),AVL (A),LIV (H),BRE (A),MCI (H),BHA (A),3,4,4,2,5,2,4,8,10,15,17,0,0,0,0,
2135,534,535,Jean-Ricner,Bellegarde,MID,Wolves,50,12,3.7,3,0.08,1.22,0.1,1,0,1,3,0,30,7,267,1,0,0,0,0,301,582,39.8,16.8,16,7,NEW (H),AVL (A),LIV (H),BRE (A),MCI (H),BHA (A),3,4,4,2,5,2,4,8,10,15,17,0.4625,0.37,0.2467,0.2176,8
2139,535,536,Daniel,Bentley,GK,Wolves,40,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2186,1329,0,0,0,0,NEW (H),AVL (A),LIV (H),BRE (A),MCI (H),BHA (A),3,4,4,2,5,2,4,8,10,15,17,0,0,0,0,
2143,536,537,Francisco Jorge,Chiquinho,MID,Wolves,45,1,0,1,0.75,0,0.2,0,0,0,0,0,4,0,6,0,0,0,0,0,1339,0,3,14.3,2,1.9,NEW (H),AVL (A),LIV (H),BRE (A),MCI (H),BHA (A),3,4,4,2,5,2,4,8,10,15,17,0,0,0,0,
2147,537,538,Tawanda,Chirewa,MID,Wolves,45,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0,NEW (H),AVL (A),LIV (H),BRE (A),MCI (H),BHA (A),3,4,4,2,5,2,4,8,10,15,17,0,0,0,0,
2151,538,539,Leon,Chiwome,FWD,Wolves,45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4450,21474,0,0,0,0,NEW (H),AVL (A),LIV (H),BRE (A),MCI (H),BHA (A),3,4,4,2,5,2,4,8,10,15,17,0,0,0,0,
2155,539,540,Luke,Cundle,MID,Wolves,45,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1452,2619,0,0,0,0,NEW (H),AVL (A),LIV (H),BRE (A),MCI (H),BHA (A),3,4,4,2,5,2,4,8,10,15,17,0,0,0,0,
2159,540,541,Matheus,Cunha,FWD,Wolves,65,11,3.3,2.8,0.64,1.2,2.3,1,0,0,2,0,68,9,280,0,0,0,0,0,12787,5218,72.6,88.4,122,28.3,NEW (H),AVL (A),LIV (H),BRE (A),MCI (H),BHA (A),3,4,4,2,5,2,4,8,10,15,17,0.4125,0.33,0.22,0.1941,8
2163,541,542,Craig,Dawson,DEF,Wolves,45,5,1.3,1.2,0.02,1.11,0.2,0,0,0,1,0,17,4,209,0,0,0,0,0,377,493,50.8,14.2,8,7.3,NEW (H),AVL (A),LIV (H),BRE (A),MCI (H),BHA (A),3,4,4,2,5,2,4,8,10,15,17,0.1625,0.13,0.0867,0.0765,8
2167,542,543,Matt,Doherty,DEF,Wolves,45,2,0.3,0.5,0.06,1.56,0.2,0,0,0,1,0,2,9,208,0,0,0,0,0,436,177,40.8,16,15,7.2,NEW (H),AVL (A),LIV (H),BRE (A),MCI (H),BHA (A),3,4,4,2,5,2,4,8,10,15,17,0.0375,0.03,0.02,0.0176,8
2171,543,544,Tommy,Doyle,MID,Wolves,49,3,1,1,0.2,2.33,0,0,0,0,1,0,8,1,44,0,0,0,0,0,123,50,6,25.3,3,3.4,NEW (H),AVL (A),LIV (H),BRE (A),MCI (H),BHA (A),3,4,4,2,5,2,4,8,10,15,17,0.125,0.1,0.0667,0.0588,8
2175,544,545,Fábio,Fábio Silva,FWD,Wolves,50,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1421,0,0,0,0,0,NEW (H),AVL (A),LIV (H),BRE (A),MCI (H),BHA (A),3,4,4,2,5,2,4,8,10,15,17,0,0,0,0,
2179,545,546,Nathan,Fraser,FWD,Wolves,45,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,16959,0,0,0,0,0,NEW (H),AVL (A),LIV (H),BRE (A),MCI (H),BHA (A),3,4,4,2,5,2,4,8,10,15,17,0,0,0,0,
2183,546,547,Enso,Gonzalez,MID,Wolves,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,257,0,0,0,0,NEW (H),AVL (A),LIV (H),BRE (A),MCI (H),BHA (A),3,4,4,2,5,2,4,8,10,15,17,0,0,0,0,
2187,547,548,Gonçalo Manuel,Guedes,MID,Wolves,54,2,0.7,1,0.05,3.46,0.1,0,0,0,1,0,9,0,19,0,0,0,0,0,262,81,3.4,0.6,0,0.4,NEW (H),AVL (A),LIV (H),BRE (A),MCI (H),BHA (A),3,4,4,2,5,2,4,8,10,15,17,0.0875,0.07,0.0467,0.0412,8
2191,548,549,Hugo,H.Bueno,DEF,Wolves,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,NEW (H),AVL (A),LIV (H),BRE (A),MCI (H),BHA (A),3,4,4,2,5,2,4,8,10,15,17,0,0,0,0,
2195,549,550,Hwang,Hee Chan,MID,Wolves,63,5,1,1.2,0.07,1.53,0.6,0,0,0,1,0,23,8,197,0,0,0,0,0,3197,594,16.2,33.2,8,5.7,NEW (H),AVL (A),LIV (H),BRE (A),MCI (H),BHA (A),3,4,4,2,5,2,4,8,10,15,17,0.125,0.1,0.0667,0.0588,8
2199,550,551,Joe,Hodge,MID,Wolves,45,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1681,0,0,0,0,0,NEW (H),AVL (A),LIV (H),BRE (A),MCI (H),BHA (A),3,4,4,2,5,2,4,8,10,15,17,0,0,0,0,
2203,551,552,Ki-Jana,Hoever,DEF,Wolves,40,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,734,0,0,0,0,0,NEW (H),AVL (A),LIV (H),BRE (A),MCI (H),BHA (A),3,4,4,2,5,2,4,8,10,15,17,0,0,0,0,
2207,552,553,João Victor,J.Gomes,MID,Wolves,49,5,1.3,1.2,0.06,1.22,0.1,0,0,0,2,0,32,11,322,2,0,0,0,0,412,464,37.6,23.9,8,6.9,NEW (H),AVL (A),LIV (H),BRE (A),MCI (H),BHA (A),3,4,4,2,5,2,4,8,10,15,17,0.1625,0.13,0.0867,0.0765,8
2211,553,554,José,José Sá,GK,Wolves,45,1,-0.3,0.5,0,1.4,1.9,0,0,0,0,0,-1,8,180,0,0,6,0,0,6475,736,53,10,0,6.3,NEW (H),AVL (A),LIV (H),BRE (A),MCI (H),BHA (A),3,4,4,2,5,2,4,8,10,15,17,-0.0375,-0.03,-0.02,-0.0176,8
2215,554,555,Saša,Kalajdžić,FWD,Wolves,49,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,272,102,0,0,0,0,NEW (H),AVL (A),LIV (H),BRE (A),MCI (H),BHA (A),3,4,4,2,5,2,4,8,10,15,17,0,0,0,0,
2219,555,556,Tom,King,GK,Wolves,40,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1807,2615,0,0,0,0,NEW (H),AVL (A),LIV (H),BRE (A),MCI (H),BHA (A),3,4,4,2,5,2,4,8,10,15,17,0,0,0,0,
2223,556,557,Mario,Mario Jr.,MID,Wolves,50,19,5.7,4.8,0.21,1.27,0.2,1,1,0,10,4,91,11,359,1,0,0,0,0,800,5411,121.2,50.8,26,19.7,NEW (H),AVL (A),LIV (H),BRE (A),MCI (H),BHA (A),3,4,4,2,5,2,4,8,10,15,17,0.7125,0.57,0.38,0.3353,8
