Player ID,Name,Last_Name,Position,Team,Cost_Today,Total Points,Form,Points/Game,xGi,xGc,Selection %,Goals,Assists,Clean Sheets,GW Points,Total Bonus Points,Total BPS,Goals Conceded,Minutes,YC,RC,Saves,Penalties Saved,Penalties Missed,Transfers Out GW,Transfers in GW,Influence,Creativity,Threat,ICT Index,GW9,GW10,GW11,GW12,GW13,GW14,CGW,NGW,NGW2,NGW3,NGW4,NGW5,Diff_Score_1_GW,Diff_Score_2_GW,Diff_Score_3_GW,Diff_Score_4_GW,Diff_Score_5_GW,FDI_1,FDI_2,FDI_3,FDI_4,FDI_5
1,Fábio,Fábio Vieira,MID,Arsenal,54,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.0,0.0,0,0.0,LIV (H),NEW (A),CHE (A),NFO (H),WHU (A),MUN (H),4,4,4,3,2,3,4.0,8.0,11.0,13.0,16.0,0.0,0.0,0.0,0.0,
2,Gabriel,G.Jesus,FWD,Arsenal,68,4,0.7,0.6,0.71,1.25,0.9,0,0,0,0,0,27,2,93,3,0,0,0,0,3860,1225,17.0,33.0,60,10.9,LIV (H),NEW (A),CHE (A),NFO (H),WHU (A),MUN (H),4,4,4,3,2,3,4.0,8.0,11.0,13.0,16.0,0.0875,0.0636,0.0538,0.0438,8.0
3,Gabriel,Gabriel,DEF,Arsenal,63,41,1.3,4.6,0.19,1.12,25.0,2,0,3,1,4,143,9,773,1,0,0,0,0,213259,18989,220.8,38.4,170,42.9,LIV (H),NEW (A),CHE (A),NFO (H),WHU (A),MUN (H),4,4,4,3,2,3,4.0,8.0,11.0,13.0,16.0,0.1625,0.1182,0.1,0.0812,8.0
4,Kai,Havertz,FWD,Arsenal,82,44,4.0,4.9,0.58,1.12,16.0,4,1,3,2,7,163,10,810,0,0,0,0,0,101641,20557,217.2,112.4,353,68.3,LIV (H),NEW (A),CHE (A),NFO (H),WHU (A),MUN (H),4,4,4,3,2,3,4.0,8.0,11.0,13.0,16.0,0.5,0.3636,0.3077,0.25,8.0
5,Karl,Hein,GK,Arsenal,40,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0.0,0.0,0,0.0,LIV (H),NEW (A),CHE (A),NFO (H),WHU (A),MUN (H),4,4,4,3,2,3,4.0,8.0,11.0,13.0,16.0,0.0,0.0,0.0,0.0,
6,Jurriën,J.Timber,DEF,Arsenal,55,21,0.7,3.0,0.08,1.05,1.2,0,1,2,2,0,81,5,523,2,0,0,0,0,10359,1866,102.0,111.6,34,24.6,LIV (H),NEW (A),CHE (A),NFO (H),WHU (A),MUN (H),4,4,4,3,2,3,4.0,8.0,11.0,13.0,16.0,0.0875,0.0636,0.0538,0.0438,8.0
7,Jorge Luiz,Jorginho,MID,Arsenal,48,4,0.7,2.0,0.1,0.64,0.3,0,0,1,0,0,17,1,150,1,0,0,0,0,937,540,4.4,21.3,1,2.7,LIV (H),NEW (A),CHE (A),NFO (H),WHU (A),MUN (H),4,4,4,3,2,3,4.0,8.0,11.0,13.0,16.0,0.0875,0.0636,0.0538,0.0438,8.0
8,Jakub,Kiwior,DEF,Arsenal,48,3,0.7,0.8,0.0,2.97,0.2,0,0,0,1,0,-3,4,96,0,0,0,0,0,417,548,16.2,1.0,0,1.7,LIV (H),NEW (A),CHE (A),NFO (H),WHU (A),MUN (H),4,4,4,3,2,3,4.0,8.0,11.0,13.0,16.0,0.0875,0.0636,0.0538,0.0438,8.0
9,Gabriel,Martinelli,MID,Arsenal,70,37,3.0,4.1,0.54,1.13,4.0,2,2,3,2,3,133,7,548,0,0,0,0,0,26860,24651,164.6,166.1,203,53.3,LIV (H),NEW (A),CHE (A),NFO (H),WHU (A),MUN (H),4,4,4,3,2,3,4.0,8.0,11.0,13.0,16.0,0.375,0.2727,0.2308,0.1875,8.0
12,Ethan,Nwaneri,MID,Arsenal,45,4,0.7,1.0,0.71,0.35,0.3,0,0,0,1,0,16,0,23,0,0,0,0,0,1241,1276,15.4,12.6,17,4.6,LIV (H),NEW (A),CHE (A),NFO (H),WHU (A),MUN (H),4,4,4,3,2,3,4.0,8.0,11.0,13.0,16.0,0.0875,0.0636,0.0538,0.0438,8.0
