Player ID,Name,Last_Name,Team,Position,Cost_Today,GW Points,Minutes,KO_time,Goals,Assists,Clean Sheets,Goals Conceded,Penalties Saved,Penalties Missed,YC,RC,Saves,Total Bonus Points,Total BPS,Influence,Creativity,Threat,ICT Index,xG,xA,xGi,xGc,Transfers In GW,Transfers Out GW,Gameweek,Avail,Opponent,Difficulty
1,Fábio,Fábio Vieira,Arsenal,MID,54,0,0,2025-03-16T13:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,2,29,u,CHE (H),3
2,Gabriel,G.Jesus,Arsenal,FWD,65,0,0,2025-03-16T13:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,59,1543,29,i,CHE (H),3
3,Gabriel,Gabriel,Arsenal,DEF,64,5,90,2025-03-16T13:30:00Z,0,0,1,0,0,0,1,0,0,0,25,17.2,0.9,0.0,1.8,0.00,0.01,0.01,0.36,127378,42359,29,a,CHE (H),3
4,Kai,Havertz,Arsenal,FWD,77,0,0,2025-03-16T13:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,153,7717,29,i,CHE (H),3
5,Karl,Hein,Arsenal,GK,40,0,0,2025-03-16T13:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,24,29,u,CHE (H),3
6,Jurriën,J.Timber,Arsenal,DEF,56,9,90,2025-03-16T13:30:00Z,0,0,1,0,0,0,0,0,0,3,27,12.0,2.3,8.0,2.2,0.00,0.02,0.02,0.36,48441,11675,29,a,CHE (H),3
7,Jorge Luiz,Jorginho,Arsenal,MID,47,0,0,2025-03-16T13:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,105,333,29,a,CHE (H),3
8,Jakub,Kiwior,Arsenal,DEF,48,0,0,2025-03-16T13:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,150,244,29,a,CHE (H),3
9,Gabriel,Martinelli,Arsenal,MID,65,3,78,2025-03-16T13:30:00Z,0,0,1,0,0,0,0,0,0,0,8,10.0,27.7,32.0,7.0,0.08,0.09,0.17,0.26,9416,2905,29,a,CHE (H),3
12,Ethan,Nwaneri,Arsenal,MID,46,1,11,2025-03-16T13:30:00Z,0,0,0,0,0,0,0,0,0,0,2,0.2,0.0,0.0,0.0,0.00,0.00,0.00,0.10,29799,29802,29,a,CHE (H),3
13,Martin,Ødegaard,Arsenal,MID,82,5,89,2025-03-16T13:30:00Z,0,1,1,0,0,0,1,0,0,0,21,26.2,37.8,21.0,8.5,0.09,0.21,0.30,0.36,36514,9783,29,a,CHE (H),3
15,David,Raya,Arsenal,GK,55,6,90,2025-03-16T13:30:00Z,0,0,1,0,0,0,0,0,2,0,25,23.8,0.0,0.0,2.4,0.00,0.00,0.00,0.36,35905,37701,29,a,CHE (H),3
16,Declan,Rice,Arsenal,MID,62,3,90,2025-03-16T13:30:00Z,0,0,1,0,0,0,0,0,0,0,9,13.0,31.5,13.0,5.8,0.16,0.27,0.43,0.36,26832,3216,29,a,CHE (H),3
17,Bukayo,Saka,Arsenal,MID,102,0,0,2025-03-16T13:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,901,5166,29,a,CHE (H),3
18,William,Saliba,Arsenal,DEF,62,9,90,2025-03-16T13:30:00Z,0,0,1,0,0,0,0,0,0,3,27,21.4,1.8,0.0,2.3,0.00,0.01,0.01,0.36,62703,21359,29,a,CHE (H),3
20,Thomas,Thomas,Arsenal,MID,49,2,90,2025-03-16T13:30:00Z,0,0,1,0,0,0,1,0,0,0,7,7.0,1.6,0.0,0.9,0.00,0.01,0.01,0.36,1047,2049,29,a,CHE (H),3
21,Kieran,Tierney,Arsenal,DEF,43,1,1,2025-03-16T13:30:00Z,0,0,0,0,0,0,0,0,0,0,3,0.2,0.1,0.0,0.0,0.00,0.00,0.00,0.00,195,142,29,a,CHE (H),3
