,Player ID,Name,Last_Name,Team,Position,Cost_Today,GW Points,Minutes,KO_time,Goals,Assists,Clean Sheets,Goals Conceded,Penalties Saved,Penalties Missed,YC,RC,Saves,Total Bonus Points,Total BPS,Influence,Creativity,Threat,ICT Index,xG,xA,xGi,xGc,Transfers In GW,Transfers Out GW,Gameweek,Opponent,Difficulty
4,1,Fábio,Fábio Vieira,Arsenal,MID,54,0,0,2024-09-22T15:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,174,5,MCI (A),5
9,2,Gabriel,G.Jesus,Arsenal,FWD,68,0,3,2024-09-22T15:30:00Z,0,0,0,1,0,0,1,0,0,0,3,10.0,0.0,0.0,1.0,0.00,0.00,0.00,0.69,7682,6040,5,MCI (A),5
14,3,Gabriel,Gabriel,Arsenal,DEF,60,7,90,2024-09-22T15:30:00Z,1,0,0,2,0,0,0,0,0,0,15,56.6,0.8,40.0,9.7,0.49,0.01,0.50,2.16,171534,39697,5,MCI (A),5
19,4,Kai,Havertz,Arsenal,FWD,81,2,90,2024-09-22T15:30:00Z,0,0,0,2,0,0,0,0,0,0,8,15.0,0.0,17.0,3.2,0.06,0.00,0.06,2.16,108350,190859,5,MCI (A),5
24,5,Karl,Hein,Arsenal,GK,40,0,0,2024-09-22T15:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,226,5,MCI (A),5
29,6,Jurriën,J.Timber,Arsenal,DEF,55,2,90,2024-09-22T15:30:00Z,0,0,0,1,0,0,0,0,0,0,3,12.0,0.0,0.0,1.2,0.00,0.00,0.00,1.68,23432,9726,5,MCI (A),5
34,7,Jorge Luiz,Jorginho,Arsenal,MID,49,0,0,2024-09-22T15:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,2335,2426,5,MCI (A),5
39,8,Jakub,Kiwior,Arsenal,DEF,49,1,16,2024-09-22T15:30:00Z,0,0,0,1,0,0,0,0,0,0,-1,5.2,0.0,0.0,0.5,0.00,0.00,0.00,0.99,390,1137,5,MCI (A),5
44,9,Gabriel,Martinelli,Arsenal,MID,69,5,86,2024-09-22T15:30:00Z,0,1,0,1,0,0,0,0,0,0,18,25.2,25.0,4.0,5.4,0.00,0.06,0.06,1.48,6790,21477,5,MCI (A),5
49,12,Ethan,Nwaneri,Arsenal,MID,45,0,0,2024-09-22T15:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,3531,2445,5,MCI (A),5
54,13,Martin,Ødegaard,Arsenal,MID,83,0,0,2024-09-22T15:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,864,194704,5,MCI (A),5
59,15,David,Raya,Arsenal,GK,55,4,90,2024-09-22T15:30:00Z,0,0,0,2,0,0,0,0,9,0,21,63.0,0.0,0.0,6.3,0.00,0.00,0.00,2.16,157350,81104,5,MCI (A),5
64,16,Declan,Rice,Arsenal,MID,63,1,90,2024-09-22T15:30:00Z,0,0,0,2,0,0,1,0,0,0,2,16.6,1.0,2.0,2.0,0.00,0.01,0.01,2.16,8900,20780,5,MCI (A),5
69,17,Bukayo,Saka,Arsenal,MID,100,4,45,2024-09-22T15:30:00Z,0,1,0,1,0,0,0,0,0,0,19,18.6,28.8,0.0,4.7,0.00,0.41,0.41,0.60,93151,255513,5,MCI (A),5
74,18,William,Saliba,Arsenal,DEF,60,1,90,2024-09-22T15:30:00Z,0,0,0,2,0,0,0,0,0,0,7,24.2,0.3,0.0,2.5,0.00,0.00,0.00,2.16,39461,146246,5,MCI (A),5
79,20,Thomas,Thomas,Arsenal,MID,50,1,90,2024-09-22T15:30:00Z,0,0,0,2,0,0,1,0,0,0,11,14.0,2.3,2.0,1.8,0.00,0.02,0.02,2.16,15118,16908,5,MCI (A),5
84,21,Kieran,Tierney,Arsenal,DEF,44,0,0,2024-09-22T15:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,41,219,5,MCI (A),5
89,22,Tomiyasu,Tomiyasu,Arsenal,DEF,48,0,0,2024-09-22T15:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,49,325,5,MCI (A),5
94,23,Leandro,Trossard,Arsenal,MID,69,-2,52,2024-09-22T15:30:00Z,0,0,0,2,0,0,0,1,0,0,-10,0.0,0.0,4.0,0.0,0.08,0.00,0.08,0.60,9272,19539,5,MCI (A),5
99,24,Benjamin,White,Arsenal,DEF,65,1,45,2024-09-22T15:30:00Z,0,0,0,1,0,0,0,0,0,0,3,15.4,0.1,0.0,1.6,0.00,0.00,0.00,1.56,10298,49110,5,MCI (A),5
104,25,Oleksandr,Zinchenko,Arsenal,DEF,49,0,0,2024-09-22T15:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,1173,45850,5,MCI (A),5
