Player ID,Name,Last_Name,Team,Position,Cost_Today,GW Points,Minutes,KO_time,Goals,Assists,Clean Sheets,Goals Conceded,Penalties Saved,Penalties Missed,YC,RC,Saves,Total Bonus Points,Total BPS,Influence,Creativity,Threat,ICT Index,xG,xA,xGi,xGc,Transfers In GW,Transfers Out GW,Gameweek,Avail,Opponent,Difficulty
1,Fábio,Fábio Vieira,Arsenal,MID,54,0,0,2025-03-09T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,0,28,u,MUN (A),3
2,Gabriel,G.Jesus,Arsenal,FWD,65,0,0,2025-03-09T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,62,3115,28,i,MUN (A),3
3,Gabriel,Gabriel,Arsenal,DEF,63,2,90,2025-03-09T16:30:00Z,0,0,0,1,0,0,0,0,0,0,13,20.0,14.0,0.0,3.4,0.00,0.03,0.03,1.52,91887,54213,28,a,MUN (A),3
4,Kai,Havertz,Arsenal,FWD,77,0,0,2025-03-09T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,162,16888,28,i,MUN (A),3
5,Karl,Hein,Arsenal,GK,40,0,0,2025-03-09T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,21,28,u,MUN (A),3
6,Jurriën,J.Timber,Arsenal,DEF,56,5,90,2025-03-09T16:30:00Z,0,1,0,1,0,0,0,0,0,0,18,15.2,18.9,12.0,4.6,0.00,0.07,0.07,1.52,22252,17265,28,a,MUN (A),3
7,Jorge Luiz,Jorginho,Arsenal,MID,47,0,0,2025-03-09T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,235,342,28,a,MUN (A),3
8,Jakub,Kiwior,Arsenal,DEF,48,0,0,2025-03-09T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,192,339,28,a,MUN (A),3
9,Gabriel,Martinelli,Arsenal,MID,65,1,32,2025-03-09T16:30:00Z,0,0,0,0,0,0,0,0,0,0,-1,3.4,5.3,30.0,3.9,0.37,0.07,0.44,1.25,64,11592,28,a,MUN (A),3
12,Ethan,Nwaneri,Arsenal,MID,46,1,57,2025-03-09T16:30:00Z,0,0,0,1,0,0,0,0,0,0,-4,1.6,5.1,6.0,1.3,0.00,0.03,0.03,0.27,48974,25843,28,a,MUN (A),3
13,Martin,Ødegaard,Arsenal,MID,82,3,90,2025-03-09T16:30:00Z,0,0,0,1,0,0,0,0,0,1,22,21.2,46.8,41.0,10.9,0.42,0.47,0.89,1.52,19009,18061,28,a,MUN (A),3
15,David,Raya,Arsenal,GK,55,3,90,2025-03-09T16:30:00Z,0,0,0,1,0,0,0,0,5,0,15,39.8,0.1,0.0,4.0,0.00,0.00,0.00,1.52,34295,44046,28,a,MUN (A),3
16,Declan,Rice,Arsenal,MID,62,10,90,2025-03-09T16:30:00Z,1,0,0,1,0,0,0,0,0,3,34,40.6,16.4,29.0,8.6,0.12,0.30,0.42,1.52,4387,8136,28,a,MUN (A),3
17,Bukayo,Saka,Arsenal,MID,102,0,0,2025-03-09T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,613,9057,28,i,MUN (A),3
18,William,Saliba,Arsenal,DEF,62,2,90,2025-03-09T16:30:00Z,0,0,0,1,0,0,0,0,0,0,14,21.6,4.2,4.0,3.0,0.00,0.02,0.02,1.52,40819,28600,28,a,MUN (A),3
20,Thomas,Thomas,Arsenal,MID,49,2,75,2025-03-09T16:30:00Z,0,0,0,1,0,0,0,0,0,0,14,14.6,27.0,2.0,4.4,0.02,0.07,0.09,0.91,1532,3832,28,a,MUN (A),3
21,Kieran,Tierney,Arsenal,DEF,43,1,14,2025-03-09T16:30:00Z,0,0,0,0,0,0,0,0,0,0,5,4.2,15.1,0.0,1.9,0.00,0.03,0.03,0.61,201,206,28,a,MUN (A),3
22,Tomiyasu,Tomiyasu,Arsenal,DEF,48,0,0,2025-03-09T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,28,29,28,i,MUN (A),3
23,Leandro,Trossard,Arsenal,MID,68,1,90,2025-03-09T16:30:00Z,0,0,0,1,0,0,1,0,0,0,7,4.8,26.6,32.0,6.3,0.64,0.09,0.73,1.52,18521,33626,28,a,MUN (A),3
24,Benjamin,White,Arsenal,DEF,61,0,0,2025-03-09T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,1467,1255,28,a,MUN (A),3
25,Oleksandr,Zinchenko,Arsenal,DEF,48,0,0,2025-03-09T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,430,636,28,a,MUN (A),3
73,Norberto,Neto,Arsenal,GK,41,0,0,2025-03-09T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,476,918,28,a,MUN (A),3
