Player ID,Name,Last_Name,Team,Position,Cost_Today,GW Points,Minutes,KO_time,Goals,Assists,Clean Sheets,Goals Conceded,Penalties Saved,Penalties Missed,YC,RC,Saves,Total Bonus Points,Total BPS,Influence,Creativity,Threat,ICT Index,xG,xA,xGi,xGc,Transfers In GW,Transfers Out GW,Gameweek,Opponent,Difficulty
578,Riccardo,Calafiori,Arsenal,DEF,58,0,0,2024-11-10T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,153,21866,11,CHE (A),4
597,Myles,Lewis-Skelly,Arsenal,MID,45,0,0,2024-11-10T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,277,440,11,CHE (A),4
633,Mikel,Merino,Arsenal,MID,60,1,19,2024-11-10T16:30:00Z,0,0,0,0,0,0,0,0,0,0,5,10.4,0.3,17.0,2.8,0.10,0.00,0.10,0.06,2392,4228,11,CHE (A),4
638,Salah-Eddine,Oulad M'hand,Arsenal,MID,45,0,0,2024-11-10T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,38,121,11,CHE (A),4
639,Tommy,Setford,Arsenal,GK,45,0,0,2024-11-10T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,101,163,11,CHE (A),4
657,Maldini,Kacurri,Arsenal,DEF,40,0,0,2024-11-10T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,368,490,11,CHE (A),4
658,Ayden,Heaven,Arsenal,DEF,40,0,0,2024-11-10T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,255,363,11,CHE (A),4
659,Ismeal,Kabia,Arsenal,MID,45,0,0,2024-11-10T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,106,142,11,CHE (A),4
662,Josh,Nichols,Arsenal,DEF,40,0,0,2024-11-10T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,191,257,11,CHE (A),4
28,Leon,Bailey,Aston Villa,MID,63,2,64,2024-11-09T20:00:00Z,0,0,0,1,0,0,0,0,0,0,6,0.0,2.3,8.0,0.9,0.05,0.02,0.07,1.18,2219,9667,11,LIV (A),5
29,Ross,Barkley,Aston Villa,MID,52,0,0,2024-11-09T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,28,5655,11,LIV (A),5
30,Enzo,Barrenechea,Aston Villa,MID,49,0,0,2024-11-09T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,43,11,LIV (A),5
31,Emiliano,Buendia,Aston Villa,MID,53,0,0,2024-11-09T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,168,499,11,LIV (A),5
32,Matty,Cash,Aston Villa,DEF,44,0,0,2024-11-09T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,1094,14547,11,LIV (A),5
33,Leander,Dendoncker,Aston Villa,MID,45,0,0,2024-11-09T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,1662,11,LIV (A),5
