Unnamed: 0,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,Arsenal,50.3,1,121,990,11.0,1,1,31,17,0,0,30,3,1.5,17.0,1.2,29.9,205,452,1.55,1.27,2.82,1.55,2.82,1.55,1.17,2.72,1.55,2.72
1,Aston Villa,50.6,1,121,990,11.0,0,0,30,16,0,0,29,1,1.2,16.2,0.8,28.9,198,368,1.45,1.27,2.73,1.45,2.73,1.47,1.16,2.63,1.47,2.63
2,Bournemouth,44.3,1,121,990,11.0,2,1,27,14,1,2,32,0,2.6,17.2,1.5,30.6,205,423,1.36,1.09,2.45,1.27,2.36,1.71,1.22,2.93,1.57,2.78
3,Brentford,47.1,1,121,990,11.0,3,2,35,20,2,2,17,0,1.5,16.6,1.3,28.9,157,386,2.0,1.18,3.18,1.82,3.0,1.65,1.12,2.77,1.51,2.63
4,Brighton,53.8,1,121,990,11.0,2,1,32,19,0,0,24,0,2.2,16.4,1.9,28.0,225,493,1.73,1.18,2.91,1.73,2.91,1.49,1.05,2.54,1.49,2.54
5,Chelsea,54.4,1,121,990,11.0,1,1,38,20,1,1,42,0,1.5,18.8,1.3,35.9,244,400,1.91,1.55,3.45,1.82,3.36,1.78,1.55,3.33,1.71,3.26
6,Crystal Palace,45.6,1,121,990,11.0,0,0,11,6,1,1,25,1,1.5,13.0,1.0,23.4,161,397,0.64,0.36,1.0,0.55,0.91,1.25,0.95,2.2,1.18,2.13
7,Everton,39.3,1,121,990,11.0,0,0,17,10,0,0,18,1,1.1,11.9,0.9,21.4,141,302,0.91,0.64,1.55,0.91,1.55,1.08,0.86,1.94,1.08,1.94
8,Fulham,53.5,1,121,990,11.0,2,2,31,15,1,2,27,1,1.9,15.4,1.8,29.3,240,471,1.45,1.36,2.82,1.36,2.73,1.54,1.27,2.81,1.4,2.66
9,Ipswich Town,40.8,1,121,990,11.0,2,1,21,12,0,0,35,2,1.6,10.1,0.5,17.9,143,287,1.09,0.82,1.91,1.09,1.91,0.92,0.71,1.63,0.92,1.63
10,Leicester City,47.7,1,121,990,11.0,0,0,26,13,1,1,30,0,0.7,10.4,0.6,19.6,181,353,1.27,1.09,2.36,1.18,2.27,1.01,0.84,1.84,0.95,1.78
11,Liverpool,57.2,1,121,990,11.0,2,1,38,19,2,2,21,0,2.0,18.6,1.3,34.0,224,463,1.91,1.55,3.45,1.73,3.27,1.83,1.4,3.23,1.69,3.09
12,Manchester City,63.9,1,121,990,11.0,1,0,37,21,1,1,23,0,2.1,21.2,1.8,39.6,411,640,2.0,1.36,3.36,1.91,3.27,2.0,1.67,3.67,1.93,3.6
13,Manchester Utd,52.2,1,121,990,11.0,2,2,21,10,1,1,33,1,0.8,16.6,0.7,31.1,182,448,1.0,0.91,1.91,0.91,1.82,1.58,1.32,2.9,1.51,2.82
14,Newcastle Utd,49.0,1,121,990,11.0,3,2,24,12,1,2,27,1,1.6,14.7,1.3,27.8,186,424,1.18,1.0,2.18,1.09,2.09,1.48,1.19,2.67,1.34,2.52
15,Nott'ham Forest,42.1,1,121,990,11.0,1,1,23,14,1,1,30,2,0.6,13.4,0.6,23.3,211,329,1.36,0.73,2.09,1.27,2.0,1.29,0.91,2.19,1.22,2.12
16,Southampton,56.6,1,121,990,11.0,0,0,12,7,0,1,37,2,0.7,11.1,0.4,20.4,219,388,0.64,0.45,1.09,0.64,1.09,1.08,0.85,1.93,1.01,1.85
17,Tottenham,61.5,1,121,990,11.0,1,1,38,21,0,0,26,0,1.5,21.3,1.3,37.0,294,608,1.91,1.55,3.45,1.91,3.45,1.94,1.43,3.37,1.94,3.37
18,West Ham,45.5,1,121,990,11.0,0,0,17,10,2,2,29,2,0.9,13.5,0.8,23.3,206,365,1.09,0.45,1.55,0.91,1.36,1.37,0.89,2.26,1.23,2.12
19,Wolves,44.5,1,121,990,11.0,2,2,29,16,0,0,31,0,1.3,11.5,1.2,21.2,148,291,1.45,1.18,2.64,1.45,2.64,1.04,0.88,1.93,1.04,1.93
