Unnamed: 0,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,Arsenal,55.1,1,209,1710,19.0,3,0,65,35,2,2,42,3,2.4,31.6,2.4,56.3,384,868,1.95,1.47,3.42,1.84,3.32,1.74,1.3,3.04,1.66,2.96
1,Aston Villa,49.9,1,209,1710,19.0,2,1,48,25,2,3,44,2,1.8,26.8,0.8,48.0,341,653,1.42,1.11,2.53,1.32,2.42,1.54,1.11,2.65,1.41,2.52
2,Bournemouth,45.5,1,209,1710,19.0,2,2,49,24,5,6,46,0,2.0,32.7,1.5,58.2,346,783,1.53,1.05,2.58,1.26,2.32,1.97,1.34,3.31,1.72,3.06
3,Brentford,47.8,1,209,1710,19.0,1,1,54,31,2,2,31,1,-0.6,25.9,1.3,46.2,287,700,1.74,1.11,2.84,1.63,2.74,1.44,1.07,2.51,1.36,2.43
4,Brighton,52.9,1,209,1710,19.0,2,2,47,28,0,0,40,1,1.8,26.3,1.9,45.0,411,815,1.47,1.0,2.47,1.47,2.47,1.38,0.98,2.37,1.38,2.37
5,Chelsea,58.0,1,209,1710,19.0,0,0,67,35,3,3,58,1,1.9,36.1,1.1,64.2,441,793,2.0,1.53,3.53,1.84,3.37,2.02,1.48,3.5,1.9,3.38
6,Crystal Palace,43.8,1,209,1710,19.0,2,1,34,18,1,1,45,1,2.0,25.1,1.3,45.4,269,630,1.0,0.79,1.79,0.95,1.74,1.36,1.07,2.43,1.32,2.39
7,Everton,40.1,1,198,1620,18.0,0,0,20,13,0,0,38,1,0.9,17.4,0.8,30.8,251,507,0.72,0.39,1.11,0.72,1.11,0.97,0.75,1.71,0.97,1.71
8,Fulham,51.3,1,209,1710,19.0,2,2,52,26,1,2,46,2,1.1,24.1,0.9,44.9,404,772,1.42,1.32,2.74,1.37,2.68,1.35,1.09,2.45,1.27,2.36
9,Ipswich Town,41.4,1,209,1710,19.0,2,1,30,16,1,1,51,2,1.5,16.9,0.8,30.0,261,485,0.89,0.68,1.58,0.84,1.53,0.93,0.69,1.62,0.89,1.58
10,Leicester City,46.2,1,209,1710,19.0,0,0,40,20,2,2,47,0,1.3,17.4,1.0,32.5,299,553,1.16,0.95,2.11,1.05,2.0,0.99,0.79,1.78,0.91,1.71
11,Liverpool,56.9,1,198,1620,18.0,5,4,80,41,4,4,39,1,3.1,38.3,2.7,68.7,385,858,2.5,1.94,4.44,2.28,4.22,2.3,1.69,3.99,2.13,3.82
12,Manchester City,61.7,1,209,1710,19.0,2,1,54,31,1,2,40,1,1.2,32.4,1.0,60.2,611,1047,1.68,1.16,2.84,1.63,2.79,1.79,1.46,3.25,1.71,3.17
13,Manchester Utd,53.8,1,209,1710,19.0,0,0,37,18,2,2,45,2,0.8,25.0,0.6,46.5,315,704,1.05,0.89,1.95,0.95,1.84,1.4,1.13,2.53,1.32,2.45
14,Newcastle Utd,51.0,1,209,1710,19.0,2,1,56,30,1,2,39,1,1.9,30.6,1.4,55.6,345,774,1.63,1.32,2.95,1.58,2.89,1.69,1.32,3.01,1.61,2.93
15,Nott'ham Forest,39.8,1,209,1710,19.0,2,2,43,24,2,2,47,2,1.6,21.7,1.1,37.9,333,526,1.37,0.89,2.26,1.26,2.16,1.22,0.85,2.08,1.14,1.99
16,Southampton,52.5,1,209,1710,19.0,1,1,20,12,0,2,56,3,0.9,17.7,0.9,32.8,349,604,0.63,0.42,1.05,0.63,1.05,1.02,0.8,1.82,0.93,1.73
17,Tottenham,57.9,1,209,1710,19.0,2,2,71,39,0,1,41,1,2.3,34.2,1.4,61.6,473,926,2.05,1.68,3.74,2.05,3.74,1.84,1.44,3.28,1.8,3.24
18,West Ham,46.8,1,209,1710,19.0,0,0,34,19,3,3,46,2,0.3,24.5,0.4,42.4,335,640,1.16,0.63,1.79,1.0,1.63,1.41,0.95,2.35,1.29,2.23
19,Wolves,47.2,1,209,1710,19.0,2,2,58,31,0,0,46,1,0.7,19.4,0.6,36.2,279,557,1.63,1.42,3.05,1.63,3.05,1.02,0.88,1.9,1.02,1.9
