,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,vs Arsenal,44.5,22,242,1980,22.0,21,15,36,19,2,2,57,0,19.6,18.1,13.2,31.2,380,572,0.95,0.68,1.64,0.86,1.55,0.89,0.6,1.49,0.82,1.42
1,vs Aston Villa,50.3,22,242,1980,22.0,34,23,57,33,1,2,60,1,26.9,25.3,19.0,44.2,397,781,1.55,1.05,2.59,1.5,2.55,1.22,0.86,2.08,1.15,2.01
2,vs Bournemouth,54.1,22,242,1980,22.0,26,20,46,25,1,1,58,2,27.8,27.0,21.5,48.5,403,773,1.18,0.91,2.09,1.14,2.05,1.26,0.98,2.24,1.23,2.2
3,vs Brentford,52.6,22,242,1980,22.0,38,28,66,37,1,1,47,2,37.5,36.7,28.7,65.4,521,1011,1.73,1.27,3.0,1.68,2.95,1.7,1.31,3.01,1.67,2.97
4,vs Brighton,47.6,22,242,1980,22.0,29,18,47,25,4,4,58,3,32.2,29.1,25.0,54.1,347,712,1.32,0.82,2.14,1.14,1.95,1.46,1.14,2.6,1.32,2.46
5,vs Chelsea,41.7,22,242,1980,22.0,27,18,45,22,5,6,64,2,30.8,26.0,21.6,47.7,340,672,1.23,0.82,2.05,1.0,1.82,1.4,0.98,2.38,1.18,2.17
6,vs Crystal Palace,56.3,22,242,1980,22.0,26,21,47,26,0,1,46,2,30.1,29.3,24.1,53.3,408,891,1.18,0.95,2.14,1.18,2.14,1.37,1.09,2.46,1.33,2.42
7,vs Everton,59.5,21,231,1890,21.0,28,24,52,28,0,2,21,1,29.0,27.3,22.4,49.7,387,905,1.33,1.14,2.48,1.33,2.48,1.38,1.07,2.45,1.3,2.37
8,vs Fulham,47.1,22,242,1980,22.0,29,25,54,28,1,1,46,3,26.6,25.8,20.1,45.9,348,773,1.32,1.14,2.45,1.27,2.41,1.21,0.91,2.12,1.17,2.08
9,vs Ipswich Town,59.4,22,242,1980,22.0,43,27,70,38,5,5,36,1,45.0,41.1,33.1,74.2,475,940,1.95,1.23,3.18,1.73,2.95,2.05,1.5,3.55,1.87,3.37
10,vs Leicester City,53.9,22,242,1980,22.0,46,35,81,45,1,1,43,2,43.1,42.3,32.3,74.7,429,1068,2.09,1.59,3.68,2.05,3.64,1.96,1.47,3.43,1.92,3.39
11,vs Liverpool,42.5,21,231,1890,21.0,20,16,36,20,0,1,56,0,18.8,17.8,14.4,32.2,347,623,0.95,0.76,1.71,0.95,1.71,0.89,0.68,1.58,0.85,1.53
12,vs Manchester City,38.6,22,242,1980,22.0,28,22,50,25,3,3,50,1,31.3,29.0,24.4,53.4,341,525,1.27,1.0,2.27,1.14,2.14,1.42,1.11,2.54,1.32,2.43
13,vs Manchester Utd,46.3,22,242,1980,22.0,31,22,53,28,3,4,44,1,33.2,30.1,24.5,54.6,386,679,1.41,1.0,2.41,1.27,2.27,1.51,1.11,2.62,1.37,2.48
14,vs Newcastle Utd,48.7,22,242,1980,22.0,25,24,49,25,0,0,64,1,27.1,27.1,21.5,48.6,404,783,1.14,1.09,2.23,1.14,2.23,1.23,0.98,2.21,1.23,2.21
15,vs Nott'ham Forest,60.4,22,242,1980,22.0,22,17,39,21,1,1,66,2,24.1,23.3,18.3,41.6,578,1195,1.0,0.77,1.77,0.95,1.73,1.1,0.83,1.93,1.06,1.89
16,vs Southampton,48.0,22,242,1980,22.0,50,34,84,47,3,3,40,1,51.1,48.9,38.5,87.5,461,871,2.27,1.55,3.82,2.14,3.68,2.32,1.75,4.08,2.22,3.98
17,vs Tottenham,42.4,22,242,1980,22.0,33,22,55,31,2,2,55,3,36.9,35.3,27.1,62.5,367,715,1.5,1.0,2.5,1.41,2.41,1.68,1.23,2.91,1.61,2.84
18,vs West Ham,53.1,22,242,1980,22.0,41,33,74,38,3,3,33,0,39.1,36.8,31.8,68.6,481,970,1.86,1.5,3.36,1.73,3.23,1.78,1.45,3.22,1.67,3.12
19,vs Wolves,53.0,22,242,1980,22.0,48,36,84,43,5,6,55,1,38.0,33.3,27.8,61.1,486,934,2.18,1.64,3.82,1.95,3.59,1.73,1.26,2.99,1.51,2.78
