Gameweek,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11
2,Havertz,Alexander-Arnold,Salah,Mazraoui,Joelinton,Pope,Wood,Pedro Porro,Onana,Wissa,Saka
3,Alexander-Arnold,Diogo J.,M.Salah,Haaland,Kovačić,Mazraoui,Joelinton,Pope,Wood,Pedro Porro,Welbeck
4,Digne,Alexander-Arnold,Luis Díaz,M.Salah,Haaland,Pope,Onana,João Pedro,Veltman,Welbeck,Madueke
5,N.Jackson,Palmer,Calvert-Lewin,McNeil,Konaté,Luis Díaz,M.Salah,Aina,Murillo,Sels,Watkins
6,Gabriel,N.Jackson,Sánchez,McNeil,Alexander-Arnold,Luis Díaz,Haaland,Watkins,Sinisterra,Mbeumo,Colwill
7,Gabriel,McNeil,Delap,Muric,Justin,Mavididi,Konaté,Haaland,Watkins,Johnson,Martinelli
8,Pickford,Young,Delap,Justin,Haaland,Kovačić,Dalot,Wood,Johnson,Maddison,Mbeumo
9,Palmer,Keane,McNeil,Pickford,Delap,Buonanotte,Justin,M.Salah,Wood,Watkins,AÃ¯t-Nouri
10,Saka,Keane,Pickford,Young,M.Salah,Wood,Antonio,Bowen,AÃ¯t-Nouri,Cunha,Mbeumo
11,Keane,Jones,M.Salah,Gvardiol,B.Fernandes,Isak,Pope,Strand Larsen,Kerkez,Evanilson,Mbeumo
12,Pickford,Young,M.Salah,B.Fernandes,Isak,Cunha,Kerkez,Kluivert,Evanilson,Mbeumo,F.KadÄ±oÄŸlu
13,Saka,Pickford,Young,Davis,Delap,Szmodics,M.Salah,Solanke,Pedro Porro,Cunha,J.Gomes
14,Saka,M.Salah,B.Fernandes,Wan-Bissaka,Emerson,Fabianski,Cunha,Strand Larsen,Kerkez,Kluivert,Evanilson
15,Saka,Saliba,Kelleher,M.Salah,J.Timber,Wan-Bissaka,Cunha,Kluivert,Evanilson,João Pedro,Mitoma
16,Enzo,Palmer,Saka,Saliba,Kelleher,Salah,Timber,Wan Bissaka,Cunha,Strand Larsen,João Pedro
