,Player ID,Name,Last_Name,Team,Position,Cost_Today,GW Points,Form,Gameweek,Avail,GW16,GW17,GW18,GW19,GW20,NGW1,NGW2,NGW3,NGW4,NGW5,F_1,F_2,F_3,F_4,F_5,FDI_1,FDI_2,FDI_3,FDI_4,FDI_5
6869,458,Kobbie,Mainoo,Man Utd,MID,47.0,1.0,1.12,15.0,a,BOU (H),AVL (A),NEW (H),WOL (H),LEE (A),0.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,1.3333333333333333,1.3333333333333333,2.0,inf,1.12,0.84,0.84,0.56
6884,459,Manuel,Ugarte Ribeiro,Man Utd,MID,47.0,0.0,1.08,15.0,a,BOU (H),AVL (A),NEW (H),WOL (H),LEE (A),0.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,1.3333333333333333,1.3333333333333333,2.0,inf,1.08,0.81,0.81,0.54
6899,460,Toby,Collyer,Man Utd,MID,45.0,0.0,1.06,15.0,u,BOU (H),AVL (A),NEW (H),WOL (H),LEE (A),0.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,1.3333333333333333,1.3333333333333333,2.0,inf,1.06,0.795,0.795,0.53
6914,461,Jayce,Fitzgerald,Man Utd,MID,44.0,0.0,1.06,15.0,a,BOU (H),AVL (A),NEW (H),WOL (H),LEE (A),0.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,1.3333333333333333,1.3333333333333333,2.0,inf,1.06,0.795,0.795,0.53
6929,462,Jack,Fletcher,Man Utd,MID,43.0,0.0,1.06,15.0,a,BOU (H),AVL (A),NEW (H),WOL (H),LEE (A),0.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,1.3333333333333333,1.3333333333333333,2.0,inf,1.06,0.795,0.795,0.53
6944,463,Sékou,Koné,Man Utd,MID,43.0,0.0,1.06,15.0,a,BOU (H),AVL (A),NEW (H),WOL (H),LEE (A),0.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,1.3333333333333333,1.3333333333333333,2.0,inf,1.06,0.795,0.795,0.53
6959,464,Jack,Moorhouse,Man Utd,MID,45.0,0.0,1.06,15.0,u,BOU (H),AVL (A),NEW (H),WOL (H),LEE (A),0.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,1.3333333333333333,1.3333333333333333,2.0,inf,1.06,0.795,0.795,0.53
6974,465,Rasmus,Højlund,Man Utd,FWD,63.0,0.0,1.06,15.0,u,BOU (H),AVL (A),NEW (H),WOL (H),LEE (A),0.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,1.3333333333333333,1.3333333333333333,2.0,inf,1.06,0.795,0.795,0.53
6989,466,Joshua,Zirkzee,Man Utd,FWD,58.0,0.0,1.32,15.0,a,BOU (H),AVL (A),NEW (H),WOL (H),LEE (A),0.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,1.3333333333333333,1.3333333333333333,2.0,inf,1.32,0.99,0.99,0.66
7004,467,Chido,Obi,Man Utd,FWD,43.0,0.0,1.06,15.0,a,BOU (H),AVL (A),NEW (H),WOL (H),LEE (A),0.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,1.3333333333333333,1.3333333333333333,2.0,inf,1.06,0.795,0.795,0.53
7019,468,Ethan,Wheatley,Man Utd,FWD,45.0,0.0,1.06,15.0,u,BOU (H),AVL (A),NEW (H),WOL (H),LEE (A),0.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,1.3333333333333333,1.3333333333333333,2.0,inf,1.06,0.795,0.795,0.53
7034,469,Nick,Pope,Newcastle,GK,51.0,0.0,1.12,15.0,i,SUN (A),CHE (H),MUN (A),BUR (A),CRY (H),1.0,1.0,0.0,0.0,0.3333333333333333,1.0,2.0,2.0,2.0,2.3333333333333335,1.12,0.56,0.56,0.56,0.48
7049,470,Martin,Dúbravka,Burnley,GK,40.0,3.0,1.22,15.0,a,FUL (H),BOU (A),EVE (H),NEW (H),BHA (A),0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,2.0,3.66,1.83,1.22,1.22,0.61
7064,471,Mark,Gillespie,Newcastle,GK,39.0,0.0,1.06,15.0,a,SUN (A),CHE (H),MUN (A),BUR (A),CRY (H),1.0,1.0,0.0,0.0,0.3333333333333333,1.0,2.0,2.0,2.0,2.3333333333333335,1.06,0.53,0.53,0.53,0.4543
7079,472,Odysseas,Vlachodimos,Newcastle,GK,40.0,0.0,1.06,15.0,u,SUN (A),CHE (H),MUN (A),BUR (A),CRY (H),1.0,1.0,0.0,0.0,0.3333333333333333,1.0,2.0,2.0,2.0,2.3333333333333335,1.06,0.53,0.53,0.53,0.4543
7094,473,Lewis,Hall,Newcastle,DEF,52.0,1.0,1.28,15.0,a,SUN (A),CHE (H),MUN (A),BUR (A),CRY (H),1.0,1.0,0.0,0.0,0.3333333333333333,1.0,2.0,2.0,2.0,2.3333333333333335,1.28,0.64,0.64,0.64,0.5486
7109,474,Fabian,Schär,Newcastle,DEF,53.0,2.0,1.22,15.0,a,SUN (A),CHE (H),MUN (A),BUR (A),CRY (H),1.0,1.0,0.0,0.0,0.3333333333333333,1.0,2.0,2.0,2.0,2.3333333333333335,1.22,0.61,0.61,0.61,0.5229
7124,475,Sven,Botman,Newcastle,DEF,49.0,0.0,1.08,15.0,d,SUN (A),CHE (H),MUN (A),BUR (A),CRY (H),1.0,1.0,0.0,0.0,0.3333333333333333,1.0,2.0,2.0,2.0,2.3333333333333335,1.08,0.54,0.54,0.54,0.4629
7139,476,Dan,Burn,Newcastle,DEF,51.0,7.0,1.42,15.0,a,SUN (A),CHE (H),MUN (A),BUR (A),CRY (H),1.0,1.0,0.0,0.0,0.3333333333333333,1.0,2.0,2.0,2.0,2.3333333333333335,1.42,0.71,0.71,0.71,0.6086
7154,477,Tino,Livramento,Newcastle,DEF,49.0,1.0,1.22,15.0,a,SUN (A),CHE (H),MUN (A),BUR (A),CRY (H),1.0,1.0,0.0,0.0,0.3333333333333333,1.0,2.0,2.0,2.0,2.3333333333333335,1.22,0.61,0.61,0.61,0.5229
7169,478,Kieran,Trippier,Newcastle,DEF,49.0,0.0,1.06,15.0,i,SUN (A),CHE (H),MUN (A),BUR (A),CRY (H),1.0,1.0,0.0,0.0,0.3333333333333333,1.0,2.0,2.0,2.0,2.3333333333333335,1.06,0.53,0.53,0.53,0.4543
7184,479,Emil,Krafth,Newcastle,DEF,43.0,0.0,1.06,15.0,i,SUN (A),CHE (H),MUN (A),BUR (A),CRY (H),1.0,1.0,0.0,0.0,0.3333333333333333,1.0,2.0,2.0,2.0,2.3333333333333335,1.06,0.53,0.53,0.53,0.4543
7199,480,Jamaal,Lascelles,Newcastle,DEF,43.0,0.0,1.06,15.0,a,SUN (A),CHE (H),MUN (A),BUR (A),CRY (H),1.0,1.0,0.0,0.0,0.3333333333333333,1.0,2.0,2.0,2.0,2.3333333333333335,1.06,0.53,0.53,0.53,0.4543
7214,481,Alex,Murphy,Newcastle,DEF,38.0,0.0,1.06,15.0,a,SUN (A),CHE (H),MUN (A),BUR (A),CRY (H),1.0,1.0,0.0,0.0,0.3333333333333333,1.0,2.0,2.0,2.0,2.3333333333333335,1.06,0.53,0.53,0.53,0.4543
