,Team,Per 90 MinutesxG+xAG,PerformanceG+A
0,vs Arsenal,0.71,0
1,vs Aston Villa,3.37,1
2,vs Bournemouth,1.84,1
3,vs Brentford,2,0
4,vs Brighton,0.69,0
5,vs Chelsea,1.32,3
6,vs Crystal Palace,2.23,3
7,vs Everton,2.86,6
8,vs Fulham,4.46,2
9,vs Ipswich Town,4.48,3
10,vs Leicester City,2.29,2
11,vs Liverpool,0.78,0
12,vs Manchester City,1.87,0
13,vs Manchester Utd,0.81,0
14,vs Newcastle Utd,3.26,0
15,vs Nott'ham Forest,1.69,1
16,vs Southampton,0.51,2
17,vs Tottenham,1.94,2
18,vs West Ham,3.62,4
19,vs Wolves,2.42,4
