,Last_Name,Team,Form
0,Pickford,Everton,4.0
1,Gabriel,Arsenal,4.5
2,Aina,Nottingham Forest,3.0
3,Gvardiol,Man City,3.5
4,M.Salah,Liverpool,9.5
5,B.Fernandes,Man Utd,7.25
6,Palmer,Chelsea,10.5
7,Enzo,Chelsea,7.0
8,Evanilson,Bournemouth,4.5
9,Isak,Newcastle,7.75
10,João Pedro,Brighton,2.75
11,Henderson,Crystal Palace,3.0
12,Buonanotte,Leicester,3.0
13,Robinson,Fulham,3.75
14,Digne,Aston Villa,1.5
