Player ID,Name,Last_Name,Team,team_abbr,Position,Cost_Today,GW Points,Minutes,KO_time,Goals,Assists,Clean Sheets,Goals Conceded,Penalties Saved,Penalties Missed,YC,RC,Saves,Total Bonus Points,Total BPS,Influence,Creativity,Threat,ICT Index,xG,xA,xGi,xGc,Transfers In GW,Transfers Out GW,Gameweek,Avail,Opponent,Difficulty
1,David,Raya Martín,Arsenal,ARS,GK,57,6,90,2025-10-18T16:30:00Z,0,0,1,0,0,0,0,0,0,0,21,4.6,0.0,0.0,0.5,0.00,0.00,0.00,0.44,208192,87710,8,a,FUL (A),3
2,Kepa,Arrizabalaga Revuelta,Arsenal,ARS,GK,43,0,0,2025-10-18T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,442,4209,8,a,FUL (A),3
3,Karl,Hein,Arsenal,ARS,GK,40,0,0,2025-10-18T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,2704,8,u,FUL (A),3
4,Tommy,Setford,Arsenal,ARS,GK,40,0,0,2025-10-18T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,915,1798,8,a,FUL (A),3
5,Gabriel,dos Santos Magalhães,Arsenal,ARS,DEF,63,12,90,2025-10-18T16:30:00Z,0,1,1,0,0,0,0,0,0,3,33,33.4,11.6,15.0,6.0,0.24,0.02,0.26,0.44,480852,70793,8,a,FUL (A),3
6,William,Saliba,Arsenal,ARS,DEF,60,6,90,2025-10-18T16:30:00Z,0,0,1,0,0,0,0,0,0,0,26,17.4,2.8,2.0,2.2,0.00,0.05,0.05,0.44,47792,54199,8,a,FUL (A),3
7,Riccardo,Calafiori,Arsenal,ARS,DEF,57,6,90,2025-10-18T16:30:00Z,0,0,1,0,0,0,0,0,0,0,26,12.6,8.0,9.0,3.0,0.04,0.02,0.06,0.44,86772,78813,8,a,FUL (A),3
8,Jurriën,Timber,Arsenal,ARS,DEF,59,6,90,2025-10-18T16:30:00Z,0,0,1,0,0,0,0,0,0,0,27,16.8,31.8,6.0,5.5,0.00,0.15,0.15,0.44,553581,44130,8,a,FUL (A),3
9,Jakub,Kiwior,Arsenal,ARS,DEF,54,0,0,2025-10-18T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,322,8,u,FUL (A),3
10,Myles,Lewis-Skelly,Arsenal,ARS,DEF,52,0,0,2025-10-18T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,3195,18132,8,a,FUL (A),3
11,Benjamin,White,Arsenal,ARS,DEF,54,0,0,2025-10-18T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,1852,4229,8,a,FUL (A),3
13,Brayden,Clarke,Arsenal,ARS,DEF,39,0,0,2025-10-18T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,3347,3950,8,a,FUL (A),3
14,Maldini,Kacurri,Arsenal,ARS,DEF,39,0,0,2025-10-18T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,1785,8,u,FUL (A),3
