Player ID,Name,Last_Name,Team,team_abbr,Position,Cost_Today,GW Points,Minutes,KO_time,Goals,Assists,Clean Sheets,Goals Conceded,Penalties Saved,Penalties Missed,YC,RC,Saves,Total Bonus Points,Total BPS,Influence,Creativity,Threat,ICT Index,xG,xA,xGi,xGc,Transfers In GW,Transfers Out GW,Gameweek,Avail,Opponent,Difficulty
1,David,Raya Martín,Arsenal,ARS,GK,60,2,90,2025-12-13T20:00:00Z,0,0,0,1,0,0,0,0,1,0,8,13.6,0.1,0.0,1.4,0.00,0.00,0.00,0.38,429199,57691,16,a,WOL (H),3
2,Kepa,Arrizabalaga Revuelta,Arsenal,ARS,GK,41,0,0,2025-12-13T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,811,2302,16,a,WOL (H),3
3,Karl,Hein,Arsenal,ARS,GK,40,0,0,2025-12-13T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,1348,16,u,WOL (H),3
4,Tommy,Setford,Arsenal,ARS,GK,39,0,0,2025-12-13T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,2455,1951,16,a,WOL (H),3
5,Gabriel,dos Santos Magalhães,Arsenal,ARS,DEF,62,0,0,2025-12-13T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,5998,348765,16,i,WOL (H),3
6,William,Saliba,Arsenal,ARS,DEF,60,2,90,2025-12-13T20:00:00Z,0,0,0,1,0,0,0,0,0,0,14,16.4,5.1,4.0,2.6,0.00,0.02,0.02,0.38,26086,163758,16,a,WOL (H),3
7,Riccardo,Calafiori,Arsenal,ARS,DEF,57,0,0,2025-12-13T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,19643,708958,16,a,WOL (H),3
8,Jurriën,Timber,Arsenal,ARS,DEF,65,2,90,2025-12-13T20:00:00Z,0,0,0,1,0,0,0,0,0,0,7,8.0,16.5,10.0,3.5,0.19,0.02,0.21,0.38,370255,559772,16,a,WOL (H),3
9,Jakub,Kiwior,Arsenal,ARS,DEF,54,0,0,2025-12-13T20:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,41,16,u,WOL (H),3
10,Myles,Lewis-Skelly,Arsenal,ARS,DEF,51,1,59,2025-12-13T20:00:00Z,0,0,0,1,0,0,0,0,0,0,8,8.0,23.7,10.0,4.2,0.05,0.03,0.08,0.23,55885,6546,16,a,WOL (H),3
