Player ID,Name,Last_Name,Team,team_abbr,Position,Cost_Today,GW Points,Minutes,KO_time,Goals,Assists,Clean Sheets,Goals Conceded,Penalties Saved,Penalties Missed,YC,RC,Saves,Total Bonus Points,Total BPS,Influence,Creativity,Threat,ICT Index,xG,xA,xGi,xGc,Transfers In GW,Transfers Out GW,Gameweek,Avail,Opponent,Difficulty
1,David,Raya Martín,Arsenal,ARS,GK,59,3,90,2025-11-30T16:30:00Z,0,0,0,1,0,0,0,0,3,0,12,20.0,0.0,0.0,2.0,0.00,0.00,0.00,0.79,41034,78344,13,a,CHE (A),4
2,Kepa,Arrizabalaga Revuelta,Arsenal,ARS,GK,42,0,0,2025-11-30T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,238,1416,13,a,CHE (A),4
3,Karl,Hein,Arsenal,ARS,GK,40,0,0,2025-11-30T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,773,13,u,CHE (A),4
4,Tommy,Setford,Arsenal,ARS,GK,40,0,0,2025-11-30T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,280,649,13,a,CHE (A),4
5,Gabriel,dos Santos Magalhães,Arsenal,ARS,DEF,64,0,0,2025-11-30T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,3915,1024683,13,i,CHE (A),4
6,William,Saliba,Arsenal,ARS,DEF,60,0,0,2025-11-30T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,74221,30698,13,d,CHE (A),4
7,Riccardo,Calafiori,Arsenal,ARS,DEF,58,0,45,2025-11-30T16:30:00Z,0,0,0,0,0,0,1,0,0,0,5,15.0,1.2,0.0,1.6,0.00,0.01,0.01,0.31,47042,81003,13,a,CHE (A),4
8,Jurriën,Timber,Arsenal,ARS,DEF,63,2,90,2025-11-30T16:30:00Z,0,0,0,1,0,0,0,0,0,0,8,10.2,3.1,6.0,1.9,0.30,0.03,0.33,0.79,370539,47350,13,a,CHE (A),4
9,Jakub,Kiwior,Arsenal,ARS,DEF,54,0,0,2025-11-30T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,41,13,u,CHE (A),4
10,Myles,Lewis-Skelly,Arsenal,ARS,DEF,51,0,45,2025-11-30T16:30:00Z,0,0,0,1,0,0,1,0,0,0,-1,0.4,2.2,0.0,0.3,0.00,0.02,0.02,0.48,1262,5307,13,a,CHE (A),4
11,Benjamin,White,Arsenal,ARS,DEF,53,0,0,2025-11-30T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,751,1311,13,a,CHE (A),4
13,Brayden,Clarke,Arsenal,ARS,DEF,38,0,0,2025-11-30T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,1798,1782,13,a,CHE (A),4
14,Maldini,Kacurri,Arsenal,ARS,DEF,39,0,0,2025-11-30T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,344,13,u,CHE (A),4
15,Josh,Nichols,Arsenal,ARS,DEF,38,0,0,2025-11-30T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,247,636,13,a,CHE (A),4
16,Bukayo,Saka,Arsenal,ARS,MID,101,5,90,2025-11-30T16:30:00Z,0,1,0,1,0,0,0,0,0,0,21,22.0,16.6,27.0,6.6,0.19,0.58,0.77,0.79,82727,117746,13,a,CHE (A),4
17,Martin,Ødegaard,Arsenal,ARS,MID,78,1,33,2025-11-30T16:30:00Z,0,0,0,0,0,0,0,0,0,0,3,1.4,2.8,0.0,0.4,0.00,0.04,0.04,0.27,2085,1679,13,a,CHE (A),4
18,Noni,Madueke,Arsenal,ARS,MID,68,1,33,2025-11-30T16:30:00Z,0,0,0,0,0,0,0,0,0,0,2,0.0,2.1,4.0,0.6,0.00,0.03,0.03,0.27,3452,784,13,a,CHE (A),4
19,Gabriel,Martinelli Silva,Arsenal,ARS,MID,68,1,56,2025-11-30T16:30:00Z,0,0,0,1,0,0,0,0,0,0,3,2.2,1.3,9.0,1.3,0.11,0.01,0.12,0.52,2608,2337,13,a,CHE (A),4
20,Leandro,Trossard,Arsenal,ARS,MID,69,0,0,2025-11-30T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,36751,22869,13,d,CHE (A),4
21,Declan,Rice,Arsenal,ARS,MID,70,4,90,2025-11-30T16:30:00Z,0,0,0,1,0,0,0,0,0,0,16,28.0,19.3,0.0,4.7,0.00,0.07,0.07,0.79,214309,70925,13,a,CHE (A),4
22,Mikel,Merino Zazón,Arsenal,ARS,MID,59,9,90,2025-11-30T16:30:00Z,1,0,0,1,0,0,0,0,0,2,28,34.2,2.3,35.0,7.2,0.65,0.02,0.67,0.79,10669,12087,13,a,CHE (A),4
23,Fábio,Ferreira Vieira,Arsenal,ARS,MID,54,0,0,2025-11-30T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,17,13,u,CHE (A),4
24,Christian,Nørgaard,Arsenal,ARS,MID,52,0,0,2025-11-30T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,121,513,13,a,CHE (A),4
25,Ethan,Nwaneri,Arsenal,ARS,MID,51,0,0,2025-11-30T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,155,600,13,a,CHE (A),4
26,Martín,Zubimendi Ibáñez,Arsenal,ARS,MID,54,0,56,2025-11-30T16:30:00Z,0,0,0,1,0,0,1,0,0,0,1,2.2,11.4,0.0,1.4,0.00,0.01,0.01,0.52,6998,30997,13,a,CHE (A),4
28,Ismeal,Kabia,Arsenal,ARS,MID,45,0,0,2025-11-30T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,276,13,u,CHE (A),4
